,https://roic.ai/company/LHX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,2216600000,2079000000,2062600000,2213600000,3052700000,3040100000,3004000000,3099100000,3336100000,3444100000,3621200000,3797200000,3890200000,1743500000,1807400000,1955100000,1875800000,2092700000,2518600000,3000600000,3474800000,4243000000,5311000000,5005000000,5206100000,5924600000,5451300000,5111700000,5012000000,5083000000,7467000000,5900000000,6182000000,12856000000,- -,17814000000
2,COGS,- -,1353800000,1223200000,1246300000,1368300000,1791200000,1866300000,1866200000,1936200000,2121400000,2163200000,2233900000,2335700000,2375000000,1214800000,1294500000,1431100000,1378100000,1575600000,1888300000,2176800000,2372700000,2871100000,3681700000,3420200000,3334400000,3810500000,3569300000,3385000000,3310500000,3362000000,5132000000,3811000000,3931000000,9088000000,- -,12438000000
3,Gross Profit,- -,862800000,855800000,816300000,845300000,1261500000,1173800000,1137800000,1162900000,1214700000,1280900000,1387300000,1461500000,1515200000,528700000,512900000,524000000,497700000,517100000,630300000,823800000,1102100000,1371900000,1629300000,1584800000,1871700000,2114100000,1882000000,1726700000,1701500000,1721000000,2335000000,2089000000,2251000000,3768000000,- -,5376000000
4,Gross Profit Ratio,- -,0.3892,0.4116,0.3958,0.3819,0.4132,0.3861,0.3788,0.3752,0.3641,0.3719,0.3831,0.3849,0.3895,0.3032,0.2838,0.2680,0.2653,0.2471,0.2503,0.2745,0.3172,0.3233,0.3068,0.3166,0.3595,0.3568,0.3452,0.3378,0.3395,0.3386,0.3127,0.3541,0.3641,0.2931,- -,0.3018
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,654800000,610600000,603000000,565100000,861300000,957500000,817300000,823000000,830800000,835800000,911900000,963800000,976900000,384300000,415200000,414400000,400200000,431900000,421000000,502600000,695400000,830700000,953800000,791300000,958900000,1143900000,940900000,914500000,819600000,1008000000,1186000000,1016000000,1129000000,2586000000,- -,3280000000
9,Other Expenses,- -,134800000,139800000,128000000,115600000,183600000,184100000,171200000,157300000,153400000,165300000,170700000,183500000,210200000,63500000,68600000,-57800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,789600000,750400000,731000000,680700000,1044900000,1141600000,988500000,980300000,984200000,1001100000,1082600000,1147300000,1187100000,447800000,483800000,356600000,400200000,431900000,421000000,502600000,695400000,830700000,953800000,791300000,958900000,1143900000,940900000,914500000,819600000,1008000000,1186000000,1016000000,1129000000,2586000000,- -,3280000000
11,COGS and Expenses,- -,2143400000,1973600000,1977300000,2049000000,2836100000,3007900000,2854700000,2916500000,3105600000,3164300000,3316500000,3483000000,3562100000,1662600000,1778300000,1787700000,1778300000,2007500000,2309300000,2679400000,3068100000,3701800000,4635500000,4211500000,4293300000,4954400000,4510200000,4299500000,4130100000,4370000000,6318000000,4827000000,5060000000,11674000000,- -,15718000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,1500000,2800000,2500000,2200000,2800000,2000000,2000000,2000000,2000000,13000000,- -,- -
