,https://roic.ai/company/VRAY,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,3159000,- -,10390000,22237000,34042000,80962000,87782000,57017000,70119000
2,COGS,8187000,- -,14544000,25866000,27710000,74359000,93260000,61076000,69784000
3,Gross Profit,-5028000,- -,-4154000,-3629000,6332000,6603000,-5478000,-4059000,335000
4,Gross Profit Ratio,-1.5916,- -,-0.3998,-0.1632,0.1860,0.0816,-0.0624,-0.0712,0.0048
5,Research and Development Exp.,8780000,- -,10449000,11442000,14709000,16520000,23794000,25008000,31849000
6,General and Administrative Exp.,9508000,24429,21685000,23503000,31375000,50113000,65717000,61729000,56091000
7,Selling and Marketing Exp.,3781000,- -,5139000,5601000,8412000,15062000,25806000,15181000,16044000
8,"Selling, General and Administrative Exp.",13289000,24429,26824000,29104000,39787000,65175000,91523000,76910000,72135000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,22069000,24429,37273000,40546000,54496000,81695000,115317000,101918000,103984000
11,COGS and Expenses,30256000,24429,51817000,66412000,82206000,156054000,208577000,162994000,173768000
12,Interest Income ,4000,- -,2000,2000,5000,8000,1721000,791000,13000
13,Interest Expense (Gain),97000,- -,3452000,5951000,7247000,7701000,4327000,3307000,4241000
14,Depreciation and Amortization,1149000,- -,1256000,1708000,2197000,3499000,4655000,6419000,5984000
15,EBITDA,-25976000,-24429,-40286000,-42977000,-62732000,-65196000,-111217000,-98182000,-99823000
16,EBITDA ratio,-8.2229,-Infinity,-3.8774,-1.9327,-1.8428,-0.8053,-1.2670,-1.7220,-1.4236
17,Operating Income,-27097000,-24429,-41427000,-44175000,-48164000,-75092000,-120795000,-105977000,-103649000
18,Operating Income ratio,-8.5777,-Infinity,-3.9872,-1.9866,-1.4148,-0.9275,-1.3761,-1.8587,-1.4782
19,Total Other Income Expenses (Gains),-125000,- -,-3567000,-6461000,-24012000,-1304000,596000,-1931000,-6399000
20,Income Before Tax,-27222000,-24429,-44994000,-50636000,-72176000,-76396000,-120199000,-107908000,-110048000
21,Income Before Tax Ratio,-8.6173,-Infinity,-4.3305,-2.2771,-2.1202,-0.9436,-1.3693,-1.8926,-1.5694
22,Income Tax expense (Gain),- -,- -,1000,- -,- -,- -,- -,- -,- -
23,Net Income,-27222000,-24429,-44995000,-50636000,-72176000,-76396000,-120199000,-107908000,-110048000
24,Net Income ratio,-8.6173,-Infinity,-4.3306,-2.2771,-2.1202,-0.9436,-1.3693,-1.8926,-1.5694
25,EPS,-34.59,-37.87,-2.58,-1.26,-1.23,-0.98,-1.18,-0.73,-0.74
26,EPS Diluted,-34.59,-37.87,-2.58,-1.26,-1.23,-0.98,-1.18,-0.73,-0.74
27,Weighted Average Shares Outstanding,815340,892315,17432434,40068307,58457868,81123140,102001954,147895561,147895561
28,Weighted Average Shares Outstanding Diluted,815340,892315,17432434,40068307,58457868,81123140,102001954,147895561,147895561
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1597313/000159731315000002/0001597313-15-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1597313/000156459017004690/0001564590-17-004690-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459018005299/0001564590-18-005299-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459019007939/0001564590-19-007939-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459020010463/0001564590-20-010463-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459021011089/0001564590-21-011089-index.htm,https://www.sec.gov/Archives/edgar/data/1597313/000162828022003905/0001628280-22-003905-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,3208,7927,20667000,14198000,57389000,167432000,226783000,156720000,218348000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3208,7927,20667000,14198000,57389000,167432000,226783000,156720000,218348000
34,Net Receivables,- -,- -,830000,4200000,20326000,36867000,16817000,11769000,21659000
35,Inventory,- -,2521,8073000,8082000,19375000,49462000,55031000,46641000,29617000
36,Other Current Assets,2521,- -,14047000,9454000,25601000,23923000,13233000,9295000,13923000
37,Total Current Assets,5729,10448,43617000,35934000,122691000,277684000,311864000,224425000,283547000
38,PP&E,- -,- -,7306000,11560000,11564000,13958000,35119000,34191000,29903000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,200000,97000,78000,- -,- -,50,- -
41,Intangible Assets,- -,- -,200000,97000,78000,- -,55000,50000,44000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1034000,1173000,1378000,3328000,2981000,2886000,8313000
45,Total Non-Current Assets,- -,- -,8540000,12830000,13020000,17286000,38155000,37127000,38260000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5729,10448,52157000,48764000,135711000,294970000,350019000,261552000,321807000
48,Accounts Payable,- -,80,6238000,6182000,13685000,13833000,18503000,12794000,9199000
49,Short-Term Debt,2700,7200,- -,- -,- -,- -,3820000,2089000,5783000
50,Tax Payable,- -,- -,219000,13000,149000,782000,1066000,1398000,- -
51,Deferred Revenue,- -,- -,18379000,25915000,37971000,33699000,20119000,25557000,34704000
52,Other Current Liabilities,- -,- -,3533000,5132000,4536000,6357000,16626000,16471000,26555000
53,Total Current Liabilities,2700,7280,28150000,37229000,56192000,53889000,59068000,56911000,76241000
54,Long-Term Debt,- -,- -,29016000,44290000,44504000,55364000,53995000,56940000,62097000
55,Deferred Revenue,- -,- -,345000,3918000,3238000,5744000,3553000,2572000,4232000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1603000,6980000,29790000,12664000,17229000,14863000,9442000
58,Total Non-Current Liabilities,- -,- -,30964000,55188000,77532000,73772000,74777000,74375000,75771000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,12743000,11132000,10627000
61,Total Liabilities,2700,7280,59114000,92417000,133724000,127661000,133845000,131286000,152012000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3500,4343,372000,426000,666000,952000,1462000,1476000,1782000
64,Retained Earnings,-471,-24900,-197041000,-247677000,-319853000,-398977000,-519176000,-627084000,-737132000
65,Other Comprehensive Income/Loss,- -,- -,- -,-12167000,-14334000,-17755000,-22403000,- -,- -
66,Other Total Stockholders Equity,- -,23725,- -,215765000,335508000,583089000,756291000,755874000,905145000
67,Total Stockholders Equity,3029,3168,-6957000,-43653000,1987000,167309000,216174000,130266000,169795000
68,Total Liabilities And Stockholders Equity,5729,10448,52157000,48764000,135711000,294970000,350019000,261552000,321807000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5729,10448,52157000,48764000,135711000,294970000,350019000,261552000,321807000
