,https://roic.ai/company/LIND,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,209985000,242346000,266504000,309734000,343091000,82356000,147107000
2,COGS,- -,- -,- -,- -,95417000,118977000,135526000,153743000,166608000,72931000,124484000
3,Gross Profit,- -,- -,- -,- -,114568000,123369000,130978000,155991000,176483000,9425000,22623000
4,Gross Profit Ratio,- -,- -,- -,- -,0.5456,0.5091,0.4915,0.5036,0.5144,0.1144,0.1538
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,39097000,51896000,60529000,62898000,62744000,45508000,65445000
7,Selling and Marketing Exp.,- -,- -,- -,- -,34980000,39072000,42354000,46987000,54772000,20231000,28484000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,74077000,90968000,102883000,109885000,117516000,65739000,93929000
9,Other Expenses,- -,- -,748654,1052701,11645000,18420000,17351000,20768000,25769000,32084000,39525000
10,Operating Expenses,- -,- -,748654,1052701,85722000,109388000,120234000,130653000,143285000,97823000,133454000
11,COGS and Expenses,2477,4768,748654,1052701,181139000,228365000,255760000,284396000,309893000,170754000,257938000
12,Interest Income ,- -,- -,37894,82082,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,10260,41689,10901000,10146000,9736000,10830000,12288000,16692000,24578000
14,Depreciation and Amortization,- -,- -,- -,- -,11645000,18420000,17351000,20768000,25864000,32133000,39546000
15,EBITDA,-2477,-4768,-710760,-970619,39639000,30230000,28428000,43566000,56695000,-59717000,-57101000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,0.1888,0.1247,0.1067,0.1407,0.1652,-0.7251,-0.3882
17,Operating Income,-2477,-4768,-748654,-1052701,15502000,13981000,10744000,25338000,33198000,-88398000,-110831000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,0.0738,0.0577,0.0403,0.0818,0.0968,-1.0734,-0.7534
