,https://roic.ai/company/FNV,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,3281000,151041000,199700000,233300000,411200000,427000000,400900000,442400000,443600000,610200000,675000000,653200000,844100000,1020200000,1300000000
2,COGS,175000,8137000,6600000,8000000,63300000,59200000,60200000,72900000,93100000,379600000,415000000,365900000,408000000,399800000,477900000
3,Gross Profit,3106000,142904000,193100000,225300000,347900000,367800000,340700000,369500000,350500000,230600000,260000000,287300000,436100000,620400000,822100000
4,Gross Profit Ratio,0.9467,0.9461,0.9670,0.9657,0.8461,0.8614,0.8498,0.8352,0.7901,0.3779,0.3852,0.4398,0.5166,0.6081,0.6324
5,Research and Development Exp.,- -,1409000,2200000,2500000,2600000,2600000,3000000,3000000,2700000,3400000,3600000,- -,- -,- -,- -
6,General and Administrative Exp.,1006000,13845000,14500000,15900000,18000000,17400000,15200000,16400000,15100000,20700000,21300000,22600000,28800000,26800000,30800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1006000,13845000,14500000,15900000,18000000,17400000,15200000,16400000,15100000,20700000,21300000,22600000,28800000,26800000,30800000
9,Other Expenses,32864000,87525000,89019000,92634000,130600000,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,33870000,102779000,105719000,111034000,151200000,20000000,18200000,18600000,17800000,24100000,24900000,22600000,28800000,26800000,30800000
11,COGS and Expenses,34045000,110916000,112600000,124600000,377500000,288600000,351300000,286100000,392100000,454800000,444100000,464400000,433900000,426600000,508700000
12,Interest Income ,- -,5323000,1887000,3891000,4300000,9600000,3500000,3900000,5300000,3500000,5400000,3100000,3500000,3700000,3700000
13,Interest Expense (Gain),- -,1745000,1729000,2263000,2300000,1100000,1900000,1600000,2900000,3600000,3400000,4600000,7600000,400000,300000
14,Depreciation and Amortization,- -,- -,88945000,92612000,130600000,126700000,129300000,163100000,216300000,273800000,273000000,247700000,263200000,- -,299600000
15,EBITDA,-33079000,37755000,189374000,202975000,172000000,282700000,165200000,321700000,267700000,445300000,505300000,439400000,676700000,339900000,1157700000
16,EBITDA ratio,-10.0820,0.2500,0.9483,0.8700,0.4183,0.6621,0.4121,0.7272,0.6035,0.7298,0.7486,0.6727,0.8017,0.3332,0.8905
17,Operating Income,-30764000,31637000,87133000,108682000,28000000,138400000,49600000,156300000,53500000,155400000,235400000,188800000,410200000,336500000,860700000
18,Operating Income ratio,-9.3764,0.2095,0.4363,0.4658,0.0681,0.3241,0.1237,0.3533,0.1206,0.2547,0.3487,0.2890,0.4860,0.3298,0.6621
19,Total Other Income Expenses (Gains),-2864000,4373000,11467000,-582000,11100000,16500000,-15600000,700000,-5000000,12500000,600000,300000,-4300000,3000000,-2900000
20,Income Before Tax,-33628000,36010000,98600000,108100000,39100000,154900000,34000000,157000000,48500000,167900000,236000000,189100000,405900000,339500000,857800000
21,Income Before Tax Ratio,-10.2493,0.2384,0.4937,0.4634,0.0951,0.3628,0.0848,0.3549,0.1093,0.2752,0.3496,0.2895,0.4809,0.3328,0.6598
22,Income Tax expense (Gain),- -,-4337000,17800000,33900000,45900000,52300000,22300000,50300000,23900000,45700000,34200000,48100000,61800000,13300000,124100000
23,Net Income,-33079000,40347000,80900000,74200000,-6800000,102600000,11700000,106700000,24600000,122200000,194700000,139000000,344100000,326200000,733700000
24,Net Income ratio,-10.0820,0.2671,0.4051,0.3180,-0.0165,0.2403,0.0292,0.2412,0.0555,0.2003,0.2884,0.2128,0.4077,0.3197,0.5644
25,EPS,-0.38,0.41,0.76,0.65,-0.05,0.72,0.08,0.71,0.16,0.70,1.06,0.75,1.83,1.71,3.90
26,EPS Diluted,-0.38,0.41,0.75,0.64,-0.05,0.71,0.08,0.70,0.16,0.69,1.06,0.75,1.83,1.71,3.90
27,Weighted Average Shares Outstanding,86073000,98006000,106683000,113986000,125400000,143100000,146800000,150500000,156900000,175200000,182900000,186100000,187700000,190300000,188000000
28,Weighted Average Shares Outstanding Diluted,86073000,98593000,107799000,115118000,125400000,144300000,147800000,151500000,157400000,176400000,183300000,186400000,188000000,190700000,188000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456346/000110465912022490/0001104659-12-022490-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000110465913022281/0001104659-13-022281-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1456346/000110465916104247/0001104659-16-104247-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837017002025/0001558370-17-002025-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837018002485/0001558370-18-002485-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837019002489/0001558370-19-002489-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837020002894/0001558370-20-002894-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12894000,73249000,122649000,413887000,794100000,631700000,770000000,592500000,149200000,253000000,511100000,69700000,132100000,534200000,539300000
