,https://roic.ai/company/PINC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,680758000,768285000,869290000,910549000,1007029000,1162594000,1454673000,1661256000,1217638000,1299592000,1721152000
2,COGS,119875000,189719000,237413000,307625000,396910000,457056000,680048000,798291000,355630000,432791000,883818000
3,Gross Profit,560883000,578566000,631877000,602924000,610119000,705538000,774625000,862965000,862008000,866801000,837334000
4,Gross Profit Ratio,0.8239,0.7531,0.7269,0.6622,0.6059,0.6069,0.5325,0.5195,0.7079,0.6670,0.4865
5,Research and Development Exp.,8685000,12583000,9370000,3389000,2937000,2925000,3107000,1423000,1224000,2376000,3338000
6,General and Administrative Exp.,- -,- -,- -,294421000,332004000,403611000,405471000,443639000,438985000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,294421000,332004000,403611000,405471000,443639000,438985000,- -,- -
9,Other Expenses,246326000,243894000,249840000,3062000,9136000,33054000,48327000,-121727000,53285000,490805000,577079000
10,Operating Expenses,255011000,256477000,259210000,300872000,344077000,439590000,456905000,323335000,493494000,493181000,580417000
11,COGS and Expenses,374886000,446196000,496623000,608497000,740987000,896646000,1136953000,1121626000,849124000,925972000,1464235000
12,Interest Income ,1045000,- -,965000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-874000,- -,-1019000,-866000,1021000,4512000,5300000,2471000,11313000,11964000
14,Depreciation and Amortization,22987000,25398000,29220000,39823000,54322000,84156000,107211000,126759000,140164000,152827000,121062000
15,EBITDA,30111000,36690000,46322000,94845000,128541000,176512000,306962000,424594000,285217000,387065000,366605000
16,EBITDA ratio,0.0442,0.0478,0.0533,0.1042,0.1276,0.1518,0.2110,0.2556,0.2342,0.2978,0.2130
17,Operating Income,305872000,322089000,372667000,302052000,266042000,265948000,317720000,539630000,368514000,373620000,256917000
18,Operating Income ratio,0.4493,0.4192,0.4287,0.3317,0.2642,0.2288,0.2184,0.3248,0.3026,0.2875,0.1493
19,Total Other Income Expenses (Gains),11092000,12808000,12145000,58274000,5085000,18934000,213571000,-22826000,-375000,10067000,-6276000
20,Income Before Tax,316964000,334897000,384812000,360326000,271127000,284882000,531291000,516804000,368139000,383687000,250641000
21,Income Before Tax Ratio,0.4656,0.4359,0.4427,0.3957,0.2692,0.2450,0.3652,0.3111,0.3023,0.2952,0.1456
22,Income Tax expense (Gain),4704000,8229000,9726000,27709000,36342000,49721000,81814000,259234000,33462000,92561000,-53943000
23,Net Income,2420000,3937000,7376000,28332000,38743000,41614000,113425000,33301000,109120000,130364000,287522000
24,Net Income ratio,0.0036,0.0051,0.0085,0.0311,0.0385,0.0358,0.0780,0.0200,0.0896,0.1003,0.1671
25,EPS,0.09,0.14,0.26,-105.85,-24.25,19.32,1.54,3.57,-0.15,8.93,2.24
