,https://roic.ai/company/PBIO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15500000,22300000,26100000,29300000,19469954,21826107,22764637,23295690,412616,105526,210289,645870,852263,1244910,1340032,987729,1238217,1503288,1374744,1797691,1976487,2240498,2457871,1809993,- -,- -
2,COGS,8600000,12100000,14800000,16900000,11241999,13120766,14262566,14865136,572323,177350,165233,209050,401017,402340,376514,342865,416415,567828,652438,609054,834012,1273354,1280270,1197061,582854,1884766
3,Gross Profit,6900000,10200000,11300000,12400000,8227955,8705341,8502071,8430554,-159707,-71824,45056,436820,451246,842570,963518,644864,821802,935460,722306,1188637,1142475,967144,1177601,612932,-582854,-1884766
4,Gross Profit Ratio,0.4452,0.4574,0.4330,0.4232,0.4226,0.3988,0.3735,0.3619,-0.3871,-0.6806,0.2143,0.6763,0.5295,0.6768,0.7190,0.6529,0.6637,0.6223,0.5254,0.6612,0.5780,0.4317,0.4791,0.3386,-Infinity,-Infinity
5,Research and Development Exp.,- -,1300000,2500000,3300000,2443779,2303350,2611060,1816273,419936,498584,1429711,2022730,1810590,1175136,1232566,969473,965623,1035426,952555,1105295,1183011,988597,1208160,1157222,1143420,1101509
6,General and Administrative Exp.,5400000,6600000,8200000,8400000,7578834,6892581,- -,- -,- -,- -,- -,- -,1920465,1809133,1924814,2034458,2605186,2474938,2386872,2902950,2822752,3416261,3436956,4580615,3430321,3818892
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1686590,1054869,1204892,931073,714635,752288,721229,745574,872365,1209334,1009568,680629,649783,324728
8,"Selling, General and Administrative Exp.",5400000,6600000,8200000,8400000,7578834,6892581,- -,- -,- -,- -,- -,- -,3607055,2864002,3129706,2965531,3319821,3227226,3108101,3648524,3695117,4625595,4446524,5261244,4080104,4143620
9,Other Expenses,600000,900000,1300000,1600000,1609454,- -,7394917,7628181,1802588,1848707,2673461,3561258,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,582854,942383
10,Operating Expenses,6000000,8800000,12000000,13300000,11632067,9195931,10005977,9444454,2222524,2347291,4103172,5583988,5417645,4039138,4362272,3935004,4285444,4262652,4060656,4753819,4878128,5614192,5654684,6418466,5806378,6187512
11,COGS and Expenses,14600000,20900000,26800000,30200000,22874066,22316697,24268543,24309590,2794847,2524641,4268405,5793038,5818662,4441478,4738786,4277869,4701859,4830480,4713094,5362873,5712140,6887546,6934954,7615527,5806378,6187512
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57954,4990,2303,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),200000,- -,100000,- -,1617311,438008,247971,291283,- -,- -,- -,- -,- -,- -,- -,136595,- -,- -,1303129,4146416,4501186,6055420,4168214,5281480,8344236,14450241
14,Depreciation and Amortization,600000,900000,1300000,1600000,1609454,1415253,1302106,1246672,146266,106552,146256,179446,199999,204341,197431,141315,107519,79563,65714,25288,17939,8576,94271,123596,127301,110128
15,EBITDA,1600000,2600000,-3600000,300000,-3622254,5316676,65009,252163,11917501,1309495,-3012209,-1496429,-4708446,-2987237,-2954541,-2718402,-3344700,-4004864,-3243697,-3243594,1812141,-4651565,-5436833,-6473009,-6261931,-7962150
16,EBITDA ratio,0.1032,0.1166,-0.1379,0.0102,-0.1860,0.2436,0.0029,0.0108,28.8828,12.4092,-14.3241,-2.3169,-5.5246,-2.3996,-2.2048,-2.7522,-2.7012,-2.6641,-2.3595,-1.8043,0.9168,-2.0761,-2.2120,-3.5763,-Infinity,-Infinity
17,Operating Income,900000,1400000,-700000,-900000,-3404112,-490590,-1503906,-1013900,-2382231,-2419115,-4058116,-5147168,-4966399,-3196568,-3398754,-3290140,-3463642,-3327192,-3338350,-3565182,-3735653,-4647048,-4477083,-5805534,-4585787,-8072278
18,Operating Income ratio,0.0581,0.0628,-0.0268,-0.0307,-0.1748,-0.0225,-0.0661,-0.0435,-5.7735,-22.9244,-19.2978,-7.9694,-5.8273,-2.5677,-2.5363,-3.3310,-2.7973,-2.2133,-2.4283,-1.9832,-1.8900,-2.0741,-1.8215,-3.2075,-Infinity,-Infinity
