,https://roic.ai/company/ICCH,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,39832759,41822810,44870942,48178157,51163691,59918342,54877974,61440675
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,61440675
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,263482,314120,464383,555109,545986,579708,641763,723350
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",263482,314120,464383,555109,545986,579708,641763,723350
9,Other Expenses,- -,- -,- -,46444891,49454014,53420292,1439266237,1676220650
10,Operating Expenses,- -,- -,- -,47000000,50000000,54000000,1439908000,1676944000
11,COGS and Expenses,37468236,38806340,40883576,47098021,50164308,54443340,50299617,56482794
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),133779,136295,226095,225379,140877,128790,207719,235001
14,Depreciation and Amortization,511294,505555,817774,822621,733493,794506,684744,708378
15,EBITDA,3009596,3658320,5031235,2128136,1873753,6004856,5470820,5901260
16,EBITDA ratio,0.0756,0.0875,0.1121,0.0442,0.0366,0.1002,0.0997,0.0960
17,Operating Income,2364523,3016470,3987366,1089049,- -,- -,-1595378000,- -
18,Operating Income ratio,0.0594,0.0721,0.0889,0.0226,- -,- -,-29.0714,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,-8913,196649,-53297,1599956357,348709
20,Income Before Tax,2364523,3016470,3987366,1080136,999383,5081560,4578357,4957881
21,Income Before Tax Ratio,0.0594,0.0721,0.0889,0.0224,0.0195,0.0848,0.0834,0.0807
22,Income Tax expense (Gain),779149,861742,1176969,372285,106087,787215,1046993,667733
23,Net Income,1585374,2154728,2810397,707851,893296,4294345,3531364,4290148
