,https://roic.ai/company/MIGI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43863
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9904
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33958
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7742
5,Research and Development Exp.,- -,- -,- -,- -,- -,1827000,1759000,721000,812000,199000,450000,694000,492000,-434000000,- -
6,General and Administrative Exp.,- -,13613,15960,14876,- -,684000,1511000,425000,573000,432000,985000,2920000,2654000,-2008000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13350,13613,15960,14876,- -,684000,1511000,425000,573000,432000,985000,2920000,2654000,1941000,16061
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2009941000,60568
10,Operating Expenses,- -,- -,- -,- -,- -,2511000,3270000,1146000,1385000,631000,1435000,3614000,3146000,-2442000000,76629
11,COGS and Expenses,13350,21857,15960,14876,- -,2511000,3270000,1146000,1385000,631000,1481000,3630000,3170000,-2442000000,86533
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),5196,5779,5395,7101,- -,- -,21000,52000,86000,116000,47000,56000,45000,6000,-1644
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1000,- -,1000,- -,1000,2000,1000,2000,14113730
15,EBITDA,-13350,-21857,-40960,-14876,- -,-2511000,-2815000,-1143000,-1390000,-800000,-2604000,-1479000,-1915000,- -,14066902
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,320.7034
17,Operating Income,-13350,-21857,-15960,-14876,- -,-2511000,-3270000,-1146000,-1385000,-631000,-1481000,-3630000,-3170000,-2442000,-42670585
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-972.8226
19,Total Other Income Expenses (Gains),- -,- -,25000,- -,- -,648000,433000,-49000,-92000,-285000,-1485000,351000,-280000,-4926558000,42625401
20,Income Before Tax,- -,- -,- -,- -,- -,-1863000,-2837000,-1195000,-1477000,-916000,-2966000,-3279000,-3450000,-4929000000,-45184
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.0301
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278
23,Net Income,-18546,-27636,3645,-21977,- -,-1863000,-2837000,-1195000,-1477000,-916000,-2966000,-3279000,-3450000,-4929000000,-45462
24,Net Income ratio,-Infinity,-Infinity,Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.0365
25,EPS,-0.18,-10.80,0.03,-10.80,- -,-43.20,-64.80,-26.40,-33.60,-21.60,-8.60,-6.10,-3.60,-3.20,-0.00
26,EPS Diluted,-0.18,-10.80,0.03,-10.80,- -,-64.80,-64.80,-26.40,-33.60,-21.60,-8.60,-6.10,-3.60,-3.20,-0.00
27,Weighted Average Shares Outstanding,10528,10528,10528,10528,- -,43505,43505,43505,43505,43505,343884,564926,1051968,1666962,10519682
28,Weighted Average Shares Outstanding Diluted,10528,10528,10528,10528,- -,45505,43505,43505,43505,43505,343884,564926,1051968,1666962,10519682
29,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1218683/000121390019005537/0001213900-19-005537-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390020008074/0001213900-20-008074-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390021012577/0001213900-21-012577-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390022013830/0001213900-22-013830-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,727000,422000,9000,42000,13000,215000,3183000,718000,247000,5467
32,Short-Term Investments,- -,- -,- -,- -,- -,828000,1175000,794000,658000,530000,323000,32000,10000,2834000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,1555000,1597000,803000,700000,543000,538000,3215000,728000,3081000,5467
34,Net Receivables,- -,- -,- -,- -,- -,81000,- -,- -,- -,- -,- -,75000,286000,- -,5607
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4150,- -,- -,- -,- -,249000,20000,209000,- -,7000,52000,105000,133000,79000,373
37,Total Current Assets,4150,- -,- -,- -,- -,1885000,1617000,1012000,700000,550000,590000,3395000,1147000,3160000,11447
38,PP&E,- -,- -,- -,- -,- -,- -,1000,1000,- -,- -,5000,8000,29000,7000,80905
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,401000,- -,- -,- -,- -,- -,- -,- -,- -,327
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2834000,52615
45,Total Non-Current Assets,- -,- -,- -,- -,- -,401000,1000,1000,- -,- -,5000,8000,29000,2841000,133847
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
