,https://roic.ai/company/EVRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1354100000,1198900000,1166500000,1166100000,1127600000,1149800000,1162200000,1556300000,1909400000,1618000000,1572100000,2046800000,2151800000,2034100000,2036200000,2368476000,2186262000,1771118000,1461143000,1464489000,1583278000,1605743000,1726834000,1838996000,1858231000,2056171000,2170991000,2261470000,2370654000,2601703000,2459164000,2562087000,2571003000,4275900000,5147800000,4913400000,5586700000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,562400000,510900000,648400000,967100000,823300000,663000000,1035832000,999550000,506822000,390312000,419788000,528229000,483959000,544421000,694348000,534864000,583361000,630793000,1202861000,1172461000,1291562000,1120397000,1088572000,1123340000,2454400000,2734800000,2525200000,2954900000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,1055600000,1061200000,1398400000,1184700000,1210800000,1373200000,1332644000,1186712000,1264296000,1070831000,1044701000,1055049000,1121784000,1182413000,1144648000,1323367000,1472810000,1540198000,1058609000,1198193000,1310141000,1338767000,1473515000,1447663000,1821500000,2413000000,2388200000,2631800000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6524,0.6750,0.6832,0.5506,0.5953,0.6744,0.5627,0.5428,0.7138,0.7329,0.7134,0.6664,0.6986,0.6847,0.6224,0.7122,0.7163,0.7094,0.4681,0.5054,0.5036,0.5444,0.5751,0.5631,0.4260,0.4687,0.4861,0.4711
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312900000,263200000,342700000,343163000,334862000,839144000,160825000,173498000,166060000,171001000,178587000,184427000,199961000,207607000,184695000,226012000,224133000,250439000,250278000,261451000,249567000,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,690400000,697100000,1005400000,-135600000,717100000,756100000,763850000,795879000,649968000,439781000,581312000,588261000,644013000,666435000,675576000,768464000,792346000,843074000,270464000,394875000,426744000,467492000,530181000,539377000,887900000,1227200000,1244300000,1276900000
