,https://roic.ai/company/CMRE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,426348000,399939000,353200000,382200000,386200000,414200000,484000000,490378000,468189000,412433000,380397000,478109000,460319000,793639000
2,COGS,152085000,117590000,105300000,117500000,120900000,122600000,128100000,123697000,111182000,109541000,119619000,126674000,248698000,351772000
3,Gross Profit,274263000,282349000,247900000,264700000,265300000,291600000,355900000,366681000,357007000,302892000,260778000,351435000,211621000,441867000
4,Gross Profit Ratio,0.6433,0.7060,0.7019,0.6926,0.6869,0.7040,0.7353,0.7478,0.7625,0.7344,0.6855,0.7351,0.4597,0.5568
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,16149000,13947000,12500000,20300000,19200000,25100000,26200000,36275000,33349000,28210000,28696000,30749000,32631000,46440000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16149000,13947000,12500000,20300000,19200000,25100000,26200000,36275000,33349000,28210000,28696000,30749000,32631000,46440000
9,Other Expenses,78611000,76815000,79517000,73872000,16000,-3000,-23000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,94760000,90762000,92017000,94172000,19216000,25097000,26177000,36275000,33349000,28210000,28696000,30749000,32631000,46440000
11,COGS and Expenses,246845000,208352000,197300000,211500000,231300000,245200000,269300000,272465000,302134000,275418000,263239000,304986000,281329000,398212000
12,Interest Income ,5575000,2672000,1449000,477000,1495000,543000,815000,1373000,1630000,2643000,3454000,3349000,1827000,1587000
13,Interest Expense (Gain),68420000,86817000,-74500000,-79100000,-68500000,-64200000,-102100000,-73711000,-84870000,-64446000,-49865000,-74299000,63252000,86047000
14,Depreciation and Amortization,77342000,75756000,70887000,78803000,80333000,89958000,109811000,106627000,107722000,104877000,104438000,113653000,108892000,- -
15,EBITDA,245541000,279502000,77587000,87303000,92933000,128858000,122811000,176680000,104554000,113307000,121812000,138353000,181021000,521168000
16,EBITDA ratio,0.5759,0.6989,0.2197,0.2284,0.2406,0.3111,0.2537,0.3603,0.2233,0.2747,0.3202,0.2894,0.3933,0.6567
17,Operating Income,179503000,191587000,155877000,170662000,154873000,169015000,214691000,217913000,166055000,137015000,117158000,173123000,60328000,441350000
18,Operating Income ratio,0.4210,0.4790,0.4413,0.4465,0.4010,0.4081,0.4436,0.4444,0.3547,0.3322,0.3080,0.3621,0.1311,0.5561
19,Total Other Income Expenses (Gains),-16879000,9487000,-74677000,-83062000,-73773000,-65915000,-99591000,-74149000,-84353000,-64139000,-49919000,-74124000,-51451000,-6229000
20,Income Before Tax,- -,- -,81200000,87600000,81100000,103100000,115100000,143764000,81702000,72876000,67239000,98999000,8877000,435121000
21,Income Before Tax Ratio,- -,- -,0.2299,0.2292,0.2100,0.2489,0.2378,0.2932,0.1745,0.1767,0.1768,0.2071,0.0193,0.5483
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,99779000,116929000,81200000,87600000,81100000,103100000,115100000,143764000,81702000,72876000,67239000,98999000,8877000,435121000
24,Net Income ratio,0.2340,0.2924,0.2299,0.2292,0.2100,0.2489,0.2378,0.2932,0.1745,0.1767,0.1768,0.2071,0.0193,0.5483
25,EPS,2.12,2.49,1.65,1.45,1.20,1.36,1.38,1.68,0.79,0.52,0.33,0.59,-0.18,3.76
26,EPS Diluted,2.12,2.49,1.65,1.45,1.20,1.36,1.38,1.68,0.79,0.52,0.33,0.59,-0.18,3.76
27,Weighted Average Shares Outstanding,47000000,47000000,49113425,60300000,67612842,74800000,74800000,75027474,77243252,100527907,110395134,115747452,120696130,115747450
28,Weighted Average Shares Outstanding Diluted,47000000,47000000,49113425,60300000,67612842,74800000,74800000,75027474,77243252,100527907,110395134,115747452,120696130,115747450
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1503584/000093041311002161/c64544_20f.htm,https://www.sec.gov/Archives/edgar/data/1503584/000093041312001233/0000930413-12-001233-index.html,https://www.sec.gov/Archives/edgar/data/1503584/000093041313001312/0000930413-13-001312-index.html,https://www.sec.gov/Archives/edgar/data/1503584/000093041314000779/c76444_20f.htm,https://www.sec.gov/Archives/edgar/data/1503584/000093041315001051/c80459_20f.htm,https://www.sec.gov/Archives/edgar/data/1503584/000093041316006664/c83084_20f.htm,https://www.sec.gov/Archives/edgar/data/1503584/000093041317001032/0000930413-17-001032-index.html,https://www.sec.gov/Archives/edgar/data/1503584/000093041318000609/0000930413-18-000609-index.html,https://www.sec.gov/Archives/edgar/data/1503584/000093041319000881/0000930413-19-000881-index.html,https://www.sec.gov/Archives/edgar/data/1503584/000093041320000573/0000930413-20-000573-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,90262000,12282000,159774000,97996000,267321000,93379000,113089000,100105000,164898000,178986000,113714000,148928000,143922000,276002000
32,Short-Term Investments,- -,8188000,6080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,90262000,20470000,165854000,97996000,267321000,93379000,113089000,100105000,164898000,178986000,113714000,148928000,143922000,276002000
34,Net Receivables,9201000,4230000,5404000,8811000,11407000,20662000,9082000,11486000,7712000,8873000,16782000,16580000,10755000,32309000
35,Inventory,12587000,11479000,9534000,9335000,9398000,11005000,11565000,10578000,11415000,9662000,11020000,10546000,10455000,21365000
36,Other Current Assets,9445000,12126000,30420000,22709000,11798000,11517000,24239000,22887000,25804000,29114000,29252000,21190000,26918000,96448000
37,Total Current Assets,121495000,48305000,211212000,138851000,299924000,136563000,157975000,145056000,209829000,226635000,170768000,197244000,192050000,426124000
38,PP&E,1572116000,1465644000,1535440000,1767260000,1921897000,2428259000,2349367000,2247616000,2073157000,1995174000,2608687000,2620259000,2649608000,3841495000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222000,1030000,839000,667000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222000,1030000,839000,667000
42,Investments,35864000,6190000,- -,- -,- -,23732000,73579000,117931000,153126000,161897000,131082000,111681000,85040000,19872000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,86025000,190161000,82130000,76434000,89513000,97288000,133819000,127958000,122312000,106592000,139052000,81744000,82979000,118883000
45,Total Non-Current Assets,1694005000,1661995000,1617570000,1843694000,2011410000,2549279000,2556765000,2493505000,2348595000,2263663000,2880043000,2814714000,2818466000,3980917000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1815500000,1710300000,1828782000,1982545000,2311334000,2685842000,2714740000,2638561000,2558424000,2490298000,3050811000,3011958000,3010516000,4407041000
48,Accounts Payable,3826000,8822000,4128000,4057000,5882000,5814000,6296000,4047000,3848000,6314000,8586000,6215000,7582000,18865000
49,Short-Term Debt,94735000,93856000,114597000,153176000,162169000,206717000,206459000,199793000,227336000,239192000,183461000,227555000,163632000,289041000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
