,https://roic.ai/company/TPCS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,20266402,19086206,31805146,38087735,28346751,32284235,33266778,32472919,21068063,18233214,16853952,18550674,18729994,16702558,16007288,15595558
2,COGS,17632576,15543055,23472922,25970626,22245255,22368320,28182584,25914345,21799856,15925742,11360206,12454542,14753693,12118190,12868086,12131274
3,Gross Profit,2633826,3543151,8332224,12117109,6101496,9915915,5084194,6558574,-731793,2307472,5493746,6096132,3976301,4584368,3139202,3464284
4,Gross Profit Ratio,0.1300,0.1856,0.2620,0.3181,0.2152,0.3071,0.1528,0.2020,-0.0347,0.1266,0.3260,0.3286,0.2123,0.2745,0.1961,0.2221
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,2461102,3347184,5171190,- -,8160984,- -,- -,3385009,4336987,3009002,2746543,2785486,2841036
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,2461102,3347184,5171190,- -,8160984,- -,- -,3385009,4336987,3009002,2746543,2785486,2841036
9,Other Expenses,1907746,2097559,1930559,- -,- -,- -,8447794,- -,6112909,4533181,- -,- -,- -,- -,495000,- -
10,Operating Expenses,1907746,2097559,1930559,2461102,3347184,5171190,8447794,8160984,6112909,4533181,3385009,4336987,3009002,2746543,3280486,2841036
11,COGS and Expenses,19540322,17640614,25403481,28431728,25592439,27539510,36668344,34075329,27912765,20458923,14745215,16791529,17762695,14864733,15653572,14972310
12,Interest Income ,- -,- -,- -,- -,15851,10459,20035,2189,3598,121,30,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,472026,439101,542035,267577,309799,440634,1514465,752280,644021,412988,354825,296076,202337
14,Depreciation and Amortization,456383,873320,483358,566836,424888,372758,681434,846012,953428,839508,747553,689293,704284,749755,717579,704049
15,EBITDA,70423,1403645,1641725,10227725,3207051,5190662,-2643313,-783795,-5886802,-1390713,2857519,3579164,1675850,2628613,599045,1331897
16,EBITDA ratio,0.0035,0.0735,0.0516,0.2685,0.1131,0.1608,-0.0795,-0.0241,-0.2794,-0.0763,0.1695,0.1929,0.0895,0.1574,0.0374,0.0854
17,Operating Income,726080,1445592,6401665,9656007,2754312,4744725,-3363600,-1602410,-6844702,-2225709,2108737,2881432,967299,1837825,-141284,623248
18,Operating Income ratio,0.0358,0.0757,0.2013,0.2535,0.0972,0.1470,-0.1011,-0.0493,-0.3249,-0.1221,0.1251,0.1553,0.0516,0.1100,-0.0088,0.0400
19,Total Other Income Expenses (Gains),-1112040,-915267,-528162,-467144,-411250,-468856,-266691,-337196,-436162,-1518977,-751051,-635582,-408721,-313792,-273326,-197737
20,Income Before Tax,-385960,530325,5873503,9188863,2343062,4275869,-3630291,-1939606,-7280864,-3744686,1357686,2245850,558578,1524033,-414610,425511
21,Income Before Tax Ratio,-0.0190,0.0278,0.1847,0.2413,0.0827,0.1324,-0.1091,-0.0597,-0.3456,-0.2054,0.0806,0.1211,0.0298,0.0912,-0.0259,0.0273
22,Income Tax expense (Gain),42188,240100,-2357568,3259872,298327,1588890,-1469218,472331,-185473,-160505,-768,-2834319,824486,423357,-73041,104880
23,Net Income,-428148,290225,3515935,5928991,2044735,2686979,-2123106,-2411937,-7095391,-3584181,1358454,5080169,-265908,1100676,-341569,320631
24,Net Income ratio,-0.0211,0.0152,0.1105,0.1557,0.0721,0.0832,-0.0638,-0.0743,-0.3368,-0.1966,0.0806,0.2739,-0.0142,0.0659,-0.0213,0.0206
25,EPS,-0.05,-0.04,0.32,0.43,0.15,0.19,-0.13,-0.13,-0.34,-0.15,0.05,0.18,-0.01,0.04,-0.01,0.01
