,https://roic.ai/company/FPH,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,35582000,39368000,139431000,48990000,184380000,153619000,224394000
2,COGS,12408000,21850000,106900000,28874000,131170000,111366000,- -
3,Gross Profit,23174000,17518000,32531000,20116000,53210000,42253000,- -
4,Gross Profit Ratio,0.6513,0.4450,0.2333,0.4106,0.2886,0.2751,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,32651000,1716000,122274000,98983000,103586000,83504000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",32651000,1716000,122274000,98983000,103586000,83504000,77118000
9,Other Expenses,-5109000,118951000,- -,- -,- -,- -,- -
10,Operating Expenses,27542000,120667000,122274000,98983000,103586000,83504000,77118000
11,COGS and Expenses,39950000,142517000,123588000,127857000,169886000,194870000,221411000
12,Interest Income ,- -,- -,2577000,11767000,7844000,1369000,94000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,-179000,3042000,1508000,13260000,20633000,14142000,- -
15,EBITDA,-3410000,-38112000,74743000,-12254000,32111000,15458000,12985000
16,EBITDA ratio,-0.0958,-0.9681,0.5361,-0.2501,0.1742,0.1006,0.0579
17,Operating Income,4368000,103149000,89743000,- -,- -,- -,- -
18,Operating Income ratio,0.1228,2.6201,0.6436,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-8736000,-207654000,-65547000,20105000,10219000,44089000,- -
20,Income Before Tax,-4368000,-104505000,24196000,-58762000,24713000,2838000,12985000
21,Income Before Tax Ratio,-0.1228,-2.6546,0.1735,-1.1995,0.1340,0.0185,0.0579
22,Income Tax expense (Gain),-546000,-7888000,- -,9200000,2445000,1744000,-325000
23,Net Income,-2685000,-33266000,73235000,-34714000,9033000,-428000,13310000
24,Net Income ratio,-0.0755,-0.8450,0.5252,-0.7086,0.0490,-0.0028,0.0593
25,EPS,-0.07,-0.35,1.17,-0.53,0.13,-0.01,0.20
26,EPS Diluted,-0.07,-0.35,1.17,-0.53,0.13,-0.01,0.20
27,Weighted Average Shares Outstanding,38478671,38478671,62339289,65026345,66285734,66745957,67429394
28,Weighted Average Shares Outstanding Diluted,38478671,38478671,62339289,65026345,145515664,69023866,67429394
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1574197/000157419718000004/0001574197-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000005/0001574197-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000004/0001574197-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419721000007/0001574197-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419722000016/0001574197-22-000016-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,108657000,62304000,848478000,495694000,346833000,298144000,140004000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,321274000
33,Cash and Short-Term Investments,108657000,62304000,848478000,495694000,346833000,298144000,461278000
34,Net Receivables,5032000,43101000,- -,49834000,68133000,78055000,- -
35,Inventory,259872000,1360451000,1425892000,1696084000,1889761000,1990859000,687235000
36,Other Current Assets,-1116000,2343000,5986000,7375000,1741000,1330000,- -
37,Total Current Assets,372445000,1468199000,2280356000,2248987000,2306468000,2368388000,1148513000
38,PP&E,33759000,34409000,29656000,- -,23047000,20919000,31466000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,127593000,127593000,95917000,80350000,71747000,51405000
41,Intangible Assets,- -,127593000,127593000,95917000,80350000,71747000,51405000
42,Investments,25000000,438309000,530007000,532899000,533239000,442850000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10647000,46072000,10743000,46089000,61596000,58081000,- -
45,Total Non-Current Assets,69406000,646383000,697999000,674905000,698232000,593597000,82871000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,441851000,2114582000,2978355000,2923892000,3004700000,2961985000,859789000
48,Accounts Payable,75838000,114080000,167620000,161139000,167711000,135331000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,619116000
50,Tax Payable,- -,- -,- -,169509000,- -,- -,174126000
51,Deferred Revenue,- -,- -,- -,- -,- -,12578000,- -
52,Other Current Liabilities,- -,253947000,157838000,178509000,181633000,169670000,- -
53,Total Current Liabilities,75838000,368027000,325458000,339648000,349344000,317579000,619116000
54,Long-Term Debt,8577000,172079000,560618000,659696000,616046000,617581000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7888000,- -,- -,9183000,11628000,12578000,12998000
57,Other Non-Current Liabilities,1115000,66363000,186670000,66848000,143882000,129149000,227675000
58,Total Non-Current Liabilities,17580000,238442000,747288000,735727000,771556000,759308000,240673000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,16282000,15176000,- -
61,Total Liabilities,93418000,606469000,1072746000,1075375000,1120900000,1076887000,859789000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
