,https://roic.ai/company/EVR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,60120000,86317000,125635000,207997000,321599000,194655000,313139000,378897000,524264000,642373000,765428000,915858000,1223273000,1440052000,1704349000,2053235000,1995731000,2250313000,3277911000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,16432000,21248000,29491000,82110000,309851000,159786000,224447000,274584000,389155000,470333000,531104000,608349000,879935000,998332000,1068084000,1307246000,1323687000,1452500000,1928011000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16432000,21248000,29491000,82110000,309851000,159786000,224447000,274584000,389155000,470333000,531104000,608349000,879935000,998332000,1068084000,1307246000,1323687000,1452500000,1928011000
9,Other Expenses,- -,- -,- -,31890000,67149000,38214000,43553000,61416000,91845000,104667000,103896000,125651000,169065000,172668000,179916000,210754000,236313000,- -,- -
10,Operating Expenses,- -,- -,- -,114000000,377000000,198000000,268000000,336000000,481000000,575000000,635000000,734000000,1049000000,1171000000,1248000000,1518000000,1560000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,250000,145000,209000,9265000,24141000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,8500000,18451000,30278000,24269000,22841000,19391000,15301000,14005000,15544000,16975000,16738000,19996000,17771000,20139000,21414000,17586000
14,Depreciation and Amortization,626000,667000,778000,4507000,17421000,4619000,5872000,11541000,20401000,18784000,16699000,18773000,29636000,25223000,26032000,29374000,35730000,30002000,28655000
15,EBITDA,35875000,52558000,67302000,91142000,13778000,30363000,48103000,59216000,69468000,93882000,147655000,189947000,166504000,268792000,429924000,532905000,448351000,530141000,1034383000
16,EBITDA ratio,0.5967,0.6089,0.5357,0.4382,0.0428,0.1560,0.1536,0.1563,0.1325,0.1461,0.1929,0.2074,0.1361,0.1867,0.2523,0.2595,0.2247,0.2356,0.3156
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14161000
20,Income Before Tax,35240000,51920000,66532000,94132000,-54935000,-9384000,19778000,33685000,36731000,70387000,138501000,176127000,134720000,267815000,437649000,551371000,448707000,540831000,1116599000
21,Income Before Tax Ratio,0.5862,0.6015,0.5296,0.4526,-0.1708,-0.0482,0.0632,0.0889,0.0701,0.1096,0.1809,0.1923,0.1101,0.1860,0.2568,0.2685,0.2248,0.2403,0.3406
