,https://roic.ai/company/PBR-A,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,16358000000,26955000000,24549000000,22612000000,30797000000,37452000000,56324000000,72347000000,87735000000,118257000000,91869000000,120052000000,145915000000,144103000000,141462000000,143657000000,97314000000,81405000000,88827000000,95584000000,76589000000,53683000000,83966000000
2,COGS,8780000000,13449000000,13211000000,11941000000,15416000000,20916000000,30837000000,40995000000,49789000000,72865000000,49251000000,70694000000,99595000000,107534000000,108254000000,109477000000,67485000000,55417000000,60147000000,61517000000,45732000000,29195000000,43164000000
3,Gross Profit,7578000000,13506000000,11338000000,10671000000,15381000000,16536000000,25487000000,31352000000,37946000000,45392000000,42618000000,49358000000,46320000000,36569000000,33208000000,34180000000,29829000000,25988000000,28680000000,34067000000,30857000000,24488000000,40802000000
4,Gross Profit Ratio,0.4633,0.5011,0.4619,0.4719,0.4994,0.4415,0.4525,0.4334,0.4325,0.3838,0.4639,0.4111,0.3174,0.2538,0.2347,0.2379,0.3065,0.3192,0.3229,0.3564,0.4029,0.4562,0.4859
5,Research and Development Exp.,108000000,152000000,132000000,147000000,201000000,248000000,399000000,727000000,881000000,941000000,681000000,993000000,4084000000,1143000000,1132000000,1099000000,630000000,523000000,572000000,642000000,576000000,355000000,563000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,8270000000,7739000000,9729000000,5161000000,7666000000,7448000000,8151000000,5140000000,6308000000,5074000000,5288000000,5682000000,551000000,3026000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5346000000,4927000000,4904000000,6827000000,4627000000,3963000000,4538000000,4631000000,4476000000,4884000000,4229000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,8270000000,7739000000,9729000000,10507000000,12593000000,12352000000,14978000000,9767000000,10271000000,9612000000,9919000000,10158000000,5435000000,7255000000
9,Other Expenses,3396000000,4194000000,3775000000,4031000000,4209000000,5822000000,7773000000,10337000000,15353000000,10368000000,12010000000,14076000000,460000000,4171000000,3736000000,4548000000,4623000000,161000000,4816000000,56000000,1621000000,1274000000,593000000
