,https://roic.ai/company/MORN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,74973000,91230000,109619000,139496000,179658000,227114000,315175000,435107000,502457000,478996000,555351000,631400000,658288000,698266000,760071000,788800000,798600000,911700000,1019900000,1179000000,1389500000,1699300000
2,COGS,- -,- -,39035000,43521000,54709000,64408000,86975000,113777000,130085000,128616000,157068000,182132000,195347000,271437000,318638000,330100000,344300000,386600000,411100000,483100000,556400000,698400000
3,Gross Profit,- -,- -,70584000,95975000,124949000,162706000,228200000,321330000,372372000,350380000,398283000,449268000,462941000,426829000,441433000,458700000,454300000,525100000,608800000,695900000,833100000,1000900000
4,Gross Profit Ratio,- -,- -,0.6439,0.6880,0.6955,0.7164,0.7240,0.7385,0.7411,0.7315,0.7172,0.7115,0.7032,0.6113,0.5808,0.5815,0.5689,0.5760,0.5969,0.5902,0.5996,0.5890
5,Research and Development Exp.,- -,- -,11881000,14663000,- -,19654000,29494000,35116000,40340000,38378000,49244000,53157000,51436000,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,36504000,54145000,- -,88306000,106204000,147703000,85266000,82949000,92843000,108084000,108857000,106868000,108865000,107100000,105200000,129800000,147800000,210700000,272000000,318400000
7,Selling and Marketing Exp.,- -,- -,24992000,30798000,- -,- -,- -,- -,81651000,71772000,95473000,106699000,108884000,103614000,111088000,96600000,97600000,134300000,148500000,177900000,206400000,274800000
8,"Selling, General and Administrative Exp.",- -,- -,61496000,84943000,98989000,88306000,106204000,147703000,166917000,154721000,188316000,214783000,217741000,210482000,219953000,203700000,202800000,264100000,296300000,388600000,478400000,593200000
9,Other Expenses,- -,- -,5547000,7123000,8225000,8266000,14975000,21257000,25996000,31961000,39664000,42913000,43096000,45693000,54886000,64400000,70700000,91200000,96700000,117700000,139500000,150700000
10,Operating Expenses,- -,- -,78924000,106729000,107214000,116226000,150673000,204076000,233253000,225060000,277224000,310853000,312273000,256175000,274839000,268100000,273500000,355300000,393000000,506300000,617900000,743900000
11,COGS and Expenses,- -,- -,117959000,150250000,161923000,180634000,237648000,317853000,363338000,353676000,434292000,492985000,507620000,527612000,593477000,598200000,617800000,741900000,804100000,989400000,1174300000,1442300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,3016000,- -,3679000,5464000,2940000,2562000,1800000,1800000,1900000,2300000,2400000,1600000,1700000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,82000,- -,1318000,311000,228000,512000,500000,1500000,5500000,4100000,11100000,11100000,10400000
14,Depreciation and Amortization,- -,- -,5547000,7123000,8225000,8266000,14975000,21257000,25996000,31961000,39664000,42913000,43096000,45693000,54886000,64400000,70700000,91200000,96700000,117700000,139500000,150700000
15,EBITDA,-39149000,-14571000,5682000,-1824000,28608000,59607000,99712000,146434000,170291000,161594000,168790000,186246000,204364000,225481000,169377000,260200000,296900000,276500000,331600000,326400000,433900000,417000000
16,EBITDA ratio,-0.5222,-0.1597,0.0518,-0.0131,0.1592,0.2625,0.3164,0.3365,0.3389,0.3374,0.3039,0.2950,0.3104,0.3229,0.2228,0.3299,0.3718,0.3033,0.3251,0.2768,0.3123,0.2454
17,Operating Income,-62074000,-16391000,-8340000,-10754000,17735000,46480000,77527000,117254000,139119000,125320000,121059000,138415000,150668000,170654000,105594000,190600000,180800000,169800000,215800000,189600000,215200000,257000000
18,Operating Income ratio,-0.8280,-0.1797,-0.0761,-0.0771,0.0987,0.2047,0.2460,0.2695,0.2769,0.2616,0.2180,0.2192,0.2289,0.2444,0.1389,0.2416,0.2264,0.1862,0.2116,0.1608,0.1549,0.1512
19,Total Other Income Expenses (Gains),20728000,676000,4463000,1110000,1805000,3199000,4164000,6229000,3855000,2934000,6732000,1709000,2957000,7356000,8304000,3100000,44100000,11300000,17100000,8900000,67800000,-6500000
20,Income Before Tax,-41346000,-15715000,-3877000,-9644000,19540000,49679000,81691000,123483000,142974000,128254000,127791000,140124000,153625000,178010000,113898000,193700000,224900000,181100000,232900000,198500000,283000000,250500000
21,Income Before Tax Ratio,-0.5515,-0.1723,-0.0354,-0.0691,0.1088,0.2187,0.2592,0.2838,0.2845,0.2678,0.2301,0.2219,0.2334,0.2549,0.1499,0.2456,0.2816,0.1986,0.2284,0.1684,0.2037,0.1474
22,Income Tax expense (Gain),-10511000,-5276000,-311000,2950000,11574000,20224000,32975000,51255000,51763000,47095000,42756000,43658000,52878000,56031000,35678000,62700000,63700000,42900000,47800000,45600000,59700000,62600000
23,Net Income,-28638000,-9295000,446000,-11897000,8809000,31117000,51762000,73922000,92532000,82456000,86370000,98357000,108079000,123529000,78301000,132600000,161000000,136900000,183000000,152000000,223600000,193300000
