,https://roic.ai/company/HCAT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,73081000,112574000,154941000,188845000,241926000
2,COGS,43642000,59852000,75345000,98077000,124354000
3,Gross Profit,29439000,52722000,79596000,90768000,117572000
4,Gross Profit Ratio,0.4028,0.4683,0.5137,0.4806,0.4860
5,Research and Development Exp.,28470000,38592000,46252000,53517000,62733000
6,General and Administrative Exp.,14697000,22690000,31713000,59240000,85934000
7,Selling and Marketing Exp.,25920000,44123000,47284000,55411000,75027000
8,"Selling, General and Administrative Exp.",40617000,66813000,78997000,114651000,160961000
9,Other Expenses,5892000,7412000,9212000,18725000,37528000
10,Operating Expenses,74979000,112817000,134461000,186893000,261222000
11,COGS and Expenses,118621000,172669000,209806000,284970000,385576000
12,Interest Income ,542000,602000,2810000,2094000,- -
13,Interest Expense (Gain),1469000,2587000,6261000,11572000,-16458000
14,Depreciation and Amortization,5892000,7412000,9212000,18725000,37528000
15,EBITDA,-39648000,-52120000,-44481000,-85914000,-139038000
16,EBITDA ratio,-0.5425,-0.4630,-0.2871,-0.4549,-0.5747
17,Operating Income,-45540000,-60095000,-54865000,-96125000,-143650000
18,Operating Income ratio,-0.6231,-0.5338,-0.3541,-0.5090,-0.5938
19,Total Other Income Expenses (Gains),-1469000,-2024000,-5089000,-20086000,-16458000
20,Income Before Tax,-47009000,-62119000,-59954000,-116211000,-160108000
21,Income Before Tax Ratio,-0.6432,-0.5518,-0.3869,-0.6154,-0.6618
22,Income Tax expense (Gain),26000,-135000,142000,-1194000,-6898000
23,Net Income,-47035000,-61984000,-60096000,-115017000,-153210000
24,Net Income ratio,-0.6436,-0.5506,-0.3879,-0.6091,-0.6333
25,EPS,-2.12,-2.31,-12.86,-2.91,-3.23
26,EPS Diluted,-2.12,-2.31,-12.86,-2.91,-3.23
27,Weighted Average Shares Outstanding,27766697,26852264,18741000,39541000,47495000
28,Weighted Average Shares Outstanding Diluted,27766697,26852264,18741000,39541000,47495000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1636422/000163642220000016/0001636422-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1636422/000163642221000026/0001636422-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1636422/000163642222000011/0001636422-22-000011-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,22978000,28431000,18032000,91954000,193227000
32,Short-Term Investments,28484000,4761000,210245000,178917000,251754000
33,Cash and Short-Term Investments,51462000,33192000,228277000,270871000,444981000
34,Net Receivables,17053000,27696000,27570000,48296000,48801000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,2870000,5970000,8392000,10632000,14609000
37,Total Current Assets,71385000,66858000,264239000,329799000,508391000
38,PP&E,5381000,11020000,8082000,12863000,44449000
39,Goodwill,3694000,3694000,3694000,107822000,169972000
40,Intangible Assets,29565000,28304000,25535000,98921000,104788000
41,Intangible Assets,33259000,31998000,29229000,206743000,274760000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,243000,1099000,810000,- -,4496000
45,Total Non-Current Assets,38883000,44117000,38121000,219606000,323705000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,110268000,110975000,302360000,549405000,832096000
48,Accounts Payable,833000,1812000,3622000,5332000,4693000
49,Short-Term Debt,- -,- -,- -,23669000,6850000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,10718000,24755000,30653000,47145000,56632000
52,Other Current Liabilities,19215000,15239000,13942000,11890000,24876000
53,Total Current Liabilities,30766000,41806000,48217000,88036000,93051000
54,Long-Term Debt,9618000,18814000,48200000,168994000,180942000
55,Deferred Revenue,- -,7280000,1459000,- -,929000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,329359000,417843000,3840000,- -,35076000
58,Total Non-Current Liabilities,338977000,443937000,53499000,168994000,216947000
59,Other Liabilities,- -,- -,- -,382599000,- -
60,Capital Lease Obligations,3006000,6805000,4460000,26291000,- -
61,Total Liabilities,369743000,485743000,101716000,301641000,309998000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,5000,5000,37000,43000,53000
64,Retained Earnings,-259468000,-374772000,-610514000,- -,-878860000
65,Other Comprehensive Income/Loss,-5533000,-7694000,-9795000,61000,-67000
66,Other Total Stockholders Equity,5521000,7693000,820916000,275995000,1400972000
67,Total Stockholders Equity,-259475000,-374768000,200644000,276099000,522098000
68,Total Liabilities And Stockholders Equity,110268000,110975000,302360000,577740000,832096000
69,Minority Interest,- -,- -,- -,-28335000,- -
70,Total Liabilities & Equity,110268000,110975000,302360000,549405000,832096000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1636422/000163642220000016/0001636422-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1636422/000163642221000026/0001636422-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1636422/000163642222000011/0001636422-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-47035000,-61984000,-60096000,-115017000,-153210000
74,Depreciation and Amortization,5892000,7412000,9212000,18725000,37528000
75,Deferred Income Tax,14000,- -,40000,-1273000,-7134000
76,Stock Based Compensation,4241000,4198000,17844000,37957000,65145000
77,Change in Working Capital,-166000,-15567000,190970000,25741000,173577000
78,Accounts Receivable,4442000,-3627000,127000,-16448000,102000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,8243000,5202000
81,Other Working Capital,40619000,25052000,216022000,241763000,415340000
82,Other Non-Cash Items,225000,25645000,-190154000,7719000,-139029000
83,Cash Provided by Operating Activities,-36829000,-40296000,-32184000,-26148000,-23123000
84,CAPEX,-3344000,-2503000,-4334000,-7775000,-17094000
85,Acquisitions Net,- -,- -,- -,-101657000,-46763000
86,Purchases of Investments,-46422000,-13993000,-256007000,-189526000,-261363000
87,Sales/Maturities of Investments,72127000,37870000,50677000,219069000,186893000
88,Other Investing Activites,-831000,-199000,62000,-2676000,-7995000
89,Cash Used for Investing Activites,22408000,21403000,-209602000,-82565000,-139678000
90,Debt Repayment,- -,- -,-21821000,- -,- -
91,Common Stock Issued,- -,- -,194649000,- -,- -
92,Common Stock Repurchased,- -,-8712000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,24871000,33058000,58553000,182609000,264084000
95,Cash Used/Provided by Financing Activities,24871000,24346000,231381000,182609000,264084000
96,Effect of Forex Changes on Cash,- -,- -,6000,26000,-10000
97,Net Change In Cash,10450000,5453000,-10399000,73922000,101273000
98,Cash at the End of Period,22978000,28431000,18032000,- -,193227000
99,Cash at the Beginning of Period,12528000,22978000,28431000,- -,91954000
100,Free Cash Flow,-40173000,-42799000,-36518000,-33923000,-40217000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1636422/000163642220000016/0001636422-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1636422/000163642221000026/0001636422-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1636422/000163642222000011/0001636422-22-000011-index.htm
102,false,,,,,
