,https://roic.ai/company/NP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,915500000,744000000,473100000,462700000,772100000,733400000,594300000,990500000,732300000,573900000,657700000,696000000,808800000,844500000,902700000,887700000,941500000,979900000,1034900000,938500000,792600000,1028500000
2,COGS,616700000,601200000,341000000,352200000,647900000,655900000,502300000,852900000,633200000,472300000,537700000,570600000,649700000,678900000,725500000,692300000,727000000,781200000,851500000,755100000,639400000,865200000
3,Gross Profit,298800000,142800000,132100000,110500000,124200000,77500000,92000000,137600000,99100000,101600000,120000000,125400000,159100000,165600000,177200000,195400000,214500000,198700000,183400000,183400000,153200000,163300000
4,Gross Profit Ratio,0.3264,0.1919,0.2792,0.2388,0.1609,0.1057,0.1548,0.1389,0.1353,0.1770,0.1825,0.1802,0.1967,0.1961,0.1963,0.2201,0.2278,0.2028,0.1772,0.1954,0.1933,0.1588
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,45800000,53200000,56900000,82400000,75200000,69100000,69300000,68200000,80900000,79600000,86700000,86500000,93000000,97100000,97700000,97200000,89600000,118800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,45800000,53200000,56900000,82400000,75200000,69100000,69300000,68200000,80900000,79600000,86700000,86500000,93000000,97100000,97700000,97200000,89600000,118800000
9,Other Expenses,28700000,32700000,29400000,34000000,118300000,-4700000,-7800000,-5500000,43200000,-1000000,-4400000,600000,1400000,1100000,-100000,1000000,400000,-800000,2700000,1700000,- -,-2600000
10,Operating Expenses,28700000,32700000,29400000,34000000,164100000,48500000,49100000,76900000,118400000,68100000,64900000,68800000,82300000,80700000,86600000,87500000,93400000,96300000,100400000,98900000,89600000,116200000
11,COGS and Expenses,645400000,633900000,370400000,386200000,812000000,704400000,551400000,929800000,751600000,540400000,602600000,639400000,732000000,759600000,812100000,779800000,820400000,877500000,951900000,854000000,729000000,981400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,300000,100000,200000,300000,200000,100000,100000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,23400000,20500000,15600000,13500000,11200000,11400000,11700000,11200000,12700000,13000000,11800000,12600000,17900000
14,Depreciation and Amortization,- -,- -,- -,- -,36000000,29800000,30200000,45300000,35800000,34500000,31300000,31000000,28800000,29400000,30000000,31500000,32000000,33300000,36100000,38900000,36700000,42700000
15,EBITDA,169100000,110100000,101800000,68100000,-5300000,-19200000,149200000,59400000,-119700000,51700000,220700000,87700000,103700000,116000000,117800000,123700000,145800000,137700000,89400000,117200000,30600000,30900000
16,EBITDA ratio,0.1847,0.1480,0.2152,0.1472,-0.0069,-0.0262,0.2511,0.0600,-0.1635,0.0901,0.3356,0.1260,0.1282,0.1374,0.1305,0.1393,0.1549,0.1405,0.0864,0.1249,0.0386,0.0300
17,Operating Income,270100000,110100000,102700000,76500000,-39900000,-30800000,168400000,66900000,-19300000,16400000,55100000,56600000,70400000,83800000,87500000,101400000,114100000,104300000,54100000,78300000,-6100000,-11800000
18,Operating Income ratio,0.2950,0.1480,0.2171,0.1653,-0.0517,-0.0420,0.2834,0.0675,-0.0264,0.0286,0.0838,0.0813,0.0870,0.0992,0.0969,0.1142,0.1212,0.1064,0.0523,0.0834,-0.0077,-0.0115
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-1400000,-18200000,-16500000,-25100000,-25000000,-23200000,-20300000,-15300000,-13400000,-11000000,-11100000,-11500000,-11100000,-12600000,-13000000,-11800000,-12600000,-17900000
20,Income Before Tax,270100000,110100000,102700000,76500000,-41300000,-49000000,151900000,41800000,-44300000,-6800000,34800000,41300000,57000000,72800000,76400000,89900000,103000000,91700000,41100000,66500000,-18700000,-29700000
21,Income Before Tax Ratio,0.2950,0.1480,0.2171,0.1653,-0.0535,-0.0668,0.2556,0.0422,-0.0605,-0.0118,0.0529,0.0593,0.0705,0.0862,0.0846,0.1013,0.1094,0.0936,0.0397,0.0709,-0.0236,-0.0289
22,Income Tax expense (Gain),- -,35500000,39500000,29200000,-14900000,-19300000,56500000,3900000,3000000,-5000000,9800000,12000000,17100000,23400000,7700000,29400000,29600000,11400000,3900000,11100000,-2900000,-4800000
23,Net Income,169100000,74600000,62300000,38900000,-26400000,-29700000,62500000,10200000,-158500000,-1200000,159100000,29100000,44300000,52000000,68700000,51100000,73000000,80300000,36400000,55400000,-15800000,-24900000
24,Net Income ratio,0.1847,0.1003,0.1317,0.0841,-0.0342,-0.0405,0.1052,0.0103,-0.2164,-0.0021,0.2419,0.0418,0.0548,0.0616,0.0761,0.0576,0.0775,0.0819,0.0352,0.0590,-0.0199,-0.0242
25,EPS,11.47,5.06,4.23,2.64,-1.79,-2.02,4.24,0.69,-10.82,-0.08,10.74,1.90,2.73,3.18,4.09,3.02,4.31,4.74,2.15,3.27,-0.96,-1.49
26,EPS Diluted,11.47,5.06,4.23,2.64,-1.79,-2.02,4.21,0.67,-10.82,-0.08,10.21,1.81,2.68,3.12,4.03,2.98,4.24,4.68,2.12,3.26,-0.96,-1.49
27,Weighted Average Shares Outstanding,14742807,14743083,14738000,14738000,14738000,14739000,14757000,14874000,14642000,14655000,14744000,14974000,15752000,16072000,16584000,16754000,16773000,16805000,16850000,16848000,16813000,16821000
28,Weighted Average Shares Outstanding Diluted,14742807,14743083,14738000,14738000,14738000,14739000,14847000,15141000,14642000,14655000,15512000,15649000,16072000,16403000,16872000,17012000,17087000,17052000,16968000,16906000,16813000,16821000
