,https://roic.ai/company/AC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,21549000,20422000,21029000,22842000,31227000,26915000,22779000,31265000,18983000,20924000
2,COGS,20864000,23322000,22298000,26343000,30968000,30644000,26607000,32184000,19436000,24457000
3,Gross Profit,685000,-2900000,-1269000,-3501000,259000,-3729000,-3828000,-919000,-453000,-3533000
4,Gross Profit Ratio,0.0318,-0.1420,-0.0603,-0.1533,0.0083,-0.1385,-0.1680,-0.0294,-0.0239,-0.1688
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4635000,4996000,1884000,4622000,4057000,6592000,26607000,5713000,3101000,8426000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4635000,4996000,1884000,4622000,4057000,6592000,- -,5713000,3101000,8426000
9,Other Expenses,8771000,6624000,6771000,6189000,8434000,10065000,9652000,9126000,8915000,7117000
10,Operating Expenses,13406000,11620000,8655000,10811000,12491000,16657000,9652000,14839000,12016000,15543000
11,COGS and Expenses,34270000,34942000,30953000,37154000,43459000,47301000,36259000,47023000,31452000,40000000
12,Interest Income ,4419000,5865000,4416000,4720000,12669000,10501000,13384000,13407000,8675000,12109000
13,Interest Expense (Gain),1928000,1908000,1376000,1260000,590000,227000,262000,217000,180000,310000
14,Depreciation and Amortization,10000,17000,14000,13000,17000,16000,21000,30000,52000,379000
15,EBITDA,12550000,41848000,5165000,-523000,14701000,6660000,-69294000,51561000,28422000,77597000
16,EBITDA ratio,0.5824,2.0492,0.2456,-0.0229,0.4708,0.2474,-3.0420,1.6492,1.4972,3.7085
17,Operating Income,-12721000,-14520000,-9924000,-14312000,-12232000,-20386000,-13480000,-15758000,-12469000,-19076000
18,Operating Income ratio,-0.5903,-0.7110,-0.4719,-0.6266,-0.3917,-0.7574,-0.5918,-0.5040,-0.6569,-0.9117
19,Total Other Income Expenses (Gains),23503000,54906000,9542000,11736000,26577000,26650000,-55381000,70666000,42352000,100415000
20,Income Before Tax,10782000,40386000,-382000,-2576000,14345000,6264000,-68861000,54908000,29883000,81339000
21,Income Before Tax Ratio,0.5003,1.9776,-0.0182,-0.1128,0.4594,0.2327,-3.0230,1.7562,1.5742,3.8874
22,Income Tax expense (Gain),3106000,13157000,775000,-1685000,3876000,-2420000,-11478000,12126000,9374000,17705000
23,Net Income,7506000,26766000,3000000,-111000,10218000,8837000,-58099000,39188000,18816000,59203000
24,Net Income ratio,0.3483,1.3106,0.1427,-0.0049,0.3272,0.3283,-2.5506,1.2534,0.9912,2.8294
25,EPS,0.30,1.06,0.39,-0.00,0.41,0.37,-2.52,1.73,0.84,2.65
26,EPS Diluted,0.29,1.05,0.39,-0.00,0.41,0.37,-2.52,1.73,0.84,2.65
27,Weighted Average Shares Outstanding,25335000,25335000,25335000,24887000,24870000,23792000,23070000,22534000,22369000,22369000
28,Weighted Average Shares Outstanding Diluted,25558000,25558000,25558000,25170000,25175000,23923000,23070000,22534000,22369000,22369000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1642122/000106034916000045/0001060349-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000106034917000008/0001060349-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036118012653/0001140361-18-012653-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036119004627/0001140361-19-004627-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036120005911/0001140361-20-005911-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036121009678/0001140361-21-009678-index.htm,https://www.sec.gov/Archives/edgar/data/1642122/000114036122009943/0001140361-22-009943-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,199536000,285530000,205750000,314093000,293112000,409564000,348588000,39509000,319048000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,344453000,60996000
33,Cash and Short-Term Investments,- -,199536000,285530000,205750000,314093000,293112000,409564000,348588000,383962000,380044000
34,Net Receivables,- -,54927000,78954000,68863000,23895000,56486000,30332000,38101000,36766000,60887000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,175040000,175109000
37,Total Current Assets,- -,254463000,364484000,274613000,337988000,349598000,439896000,386689000,595768000,616040000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,3254000,3254000,3254000,3422000,3422000,3519000,3519000,3519000,3519000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,3254000,3254000,3254000,3422000,3422000,3519000,3519000,3519000,3519000
42,Investments,- -,140031000,147183000,223727000,261043000,291505000,260864000,605040000,544486000,562095000
43,Tax Assets,- -,- -,- -,- -,- -,- -,9422000,2004000,2207000,- -
44,Other Non-Current Assets,- -,190972000,239773000,335154000,350150000,362390000,240732000,13654000,28565000,21682000
45,Total Non-Current Assets,- -,334257000,390210000,562135000,614615000,657317000,514537000,624217000,578777000,587296000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,588720000,754694000,836748000,952603000,1006915000,954433000,1010906000,1174545000,1203336000
48,Accounts Payable,- -,10001000,43397000,50648000,2396000,13281000,5511000,14889000,6496000,9339000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,22465000,16363000,5669000,6978000,5484000,3577000,3676000,9746000,8575000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,69060000,48139000,18061000,61971000,23526000,23300000,31778000,42261000,38010000
53,Total Current Liabilities,- -,79061000,91536000,68709000,64367000,36807000,28811000,46667000,48757000,47349000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,14284000,80231000,16490000,14214000,51961000,59374000,66804000,224399000,18185000
58,Total Non-Current Liabilities,- -,14284000,80231000,16490000,14214000,51961000,59374000,66804000,224399000,18185000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,93345000,171767000,85199000,78581000,88768000,88185000,113471000,273156000,65534000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,6000,- -,- -
63,Common Stock,- -,- -,- -,25000,25000,25000,25000,19000,25000,25000
64,Retained Earnings,- -,- -,- -,2072000,7327000,13800000,-39889000,-701000,13649000,68435000
65,Other Comprehensive Income/Loss,- -,11604000,9178000,-1857000,1317000,6712000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,495375000,573927000,748956000,865353000,897610000,906112000,897108000,885264000,- -
67,Total Stockholders Equity,- -,495375000,582927000,749196000,874022000,918147000,866248000,896432000,898938000,937102000
68,Total Liabilities And Stockholders Equity,- -,588720000,754694000,834395000,952603000,1006915000,954433000,1009903000,1172094000,1002636000
69,Minority Interest,- -,- -,- -,2353000,- -,- -,- -,1003000,2451000,200700000
70,Total Liabilities & Equity,- -,588720000,754694000,836748000,952603000,1006915000,954433000,1010906000,1174545000,1203336000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1642122/000106034916000045/0001060349-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000106034917000008/0001060349-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036118012653/0001140361-18-012653-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036119004627/0001140361-19-004627-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036120005911/0001140361-20-005911-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036121009678/0001140361-21-009678-index.htm,https://www.sec.gov/Archives/edgar/data/1642122/000114036122009943/0001140361-22-009943-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,7506000,26766000,3000000,-111000,10218000,8837000,-58099000,42782000,20509000,63634000
74,Depreciation and Amortization,10000,17000,14000,13000,17000,16000,21000,30000,52000,379000
75,Deferred Income Tax,- -,- -,- -,-6450000,-1378000,-3168000,-12825000,7360000,-209000,8742000
76,Stock Based Compensation,3432000,510000,1921000,4931000,2464000,5879000,72000,- -,- -,- -
77,Change in Working Capital,-16966000,175446000,97546000,-67044000,67717000,39170000,98294000,-48190000,-299830000,261310000
78,Accounts Receivable,-246000,-1295000,1106000,-949000,-4907000,4045000,1345000,-5188000,2236000,-916000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3633000,-4345000,33396000,44516000,-48231000,10885000,-7770000,9378000,-8393000,- -
81,Other Working Capital,-44000,175402000,272948000,205904000,273621000,312791000,411085000,3611000,-4206000,- -
82,Other Non-Cash Items,3246000,-161933000,-161123000,21311000,-72450000,-118354000,49517000,-46316000,109000,-95871000
83,Cash Provided by Operating Activities,-2772000,40806000,-58642000,-47350000,6588000,-67620000,76980000,-44334000,-279369000,238194000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-6518000,-11084000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,589000,- -,- -
86,Purchases of Investments,-1268000,-4683000,-1428000,-43271000,-5107000,-4900000,-12350000,-4989000,-2749000,-8738000
87,Sales/Maturities of Investments,3135000,34085000,5267000,1537000,992000,1166000,2086000,5860000,14761000,74023000
88,Other Investing Activites,- -,- -,- -,- -,- -,-15000000,15000000,- -,-175000000,- -
89,Cash Used for Investing Activites,1867000,29402000,3839000,-41734000,-4115000,-18734000,4736000,-5058000,-174072000,65285000
90,Debt Repayment,- -,- -,-10000000,-16000000,- -,- -,- -,-2126000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-44000,-41630000,-21221000,-7011000,-4135000,-7441000,-7644000
93,Dividends Paid,- -,- -,- -,- -,-2504000,-4768000,-4666000,-4513000,-6716000,-4417000
94,Other Financing Activites,-88439000,-50518000,150797000,25325000,150006000,91362000,46366000,-810000,165106000,-2333000
95,Cash Used/Provided by Financing Activities,-88439000,-50518000,140797000,9281000,105872000,65373000,34689000,-11584000,150949000,-14394000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-89344000,19690000,85994000,-79780000,108343000,-20981000,116452000,-60976000,-302492000,289085000
98,Cash at the End of Period,179846000,199536000,285530000,205750000,314093000,293112000,409764000,348788000,39509000,328594000
99,Cash at the Beginning of Period,269190000,179846000,199536000,285530000,205750000,314093000,293312000,409764000,342001000,39509000
100,Free Cash Flow,-2772000,40806000,-58642000,-47350000,6588000,-67620000,76980000,-50852000,-290453000,238194000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1642122/000106034916000045/0001060349-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000106034917000008/0001060349-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036118012653/0001140361-18-012653-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036119004627/0001140361-19-004627-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036120005911/0001140361-20-005911-index.html,https://www.sec.gov/Archives/edgar/data/1642122/000114036121009678/0001140361-21-009678-index.htm,https://www.sec.gov/Archives/edgar/data/1642122/000114036122009943/0001140361-22-009943-index.htm
102,false,,,,,,,,,,
