,https://roic.ai/company/CYCN,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,4507000,2296000,3942000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,2296000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,78803000,87716000,95140000,56414000,37636000
6,General and Administrative Exp.,15119000,27536000,34404000,28816000,20620000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15119000,27536000,34404000,28816000,20620000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,93922000,115252000,129544000,85230000,58256000
11,COGS and Expenses,93922000,115252000,129544000,83561000,58256000
12,Interest Income ,- -,- -,2029000,588000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,16000
14,Depreciation and Amortization,1745000,1528000,2700000,2297000,472000
15,EBITDA,-92177000,-113724000,-120308000,-75505000,-51159000
16,EBITDA ratio,-Infinity,-Infinity,-26.6936,-32.8855,-12.9779
17,Operating Income,-93922000,-115252000,-125037000,-81265000,-55195000
18,Operating Income ratio,-Infinity,-Infinity,-27.7428,-35.3942,-14.0018
19,Total Other Income Expenses (Gains),- -,- -,2029000,3463000,3548000
20,Income Before Tax,-93922000,-115252000,-123008000,-77802000,-51647000
21,Income Before Tax Ratio,-Infinity,-Infinity,-27.2927,-33.8859,-13.1017
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-93922000,-115252000,-123008000,-77802000,-51647000
24,Net Income ratio,-Infinity,-Infinity,-27.2927,-33.8859,-13.1017
25,EPS,-3.44,-4.22,-4.49,-2.56,-1.19
26,EPS Diluted,-3.44,-4.22,-4.49,-2.56,-1.19
27,Weighted Average Shares Outstanding,27304000,27304462,27380000,30403000,43291000
28,Weighted Average Shares Outstanding Diluted,27304000,27304462,27380000,30403000,43291000
