,https://roic.ai/company/NBRV,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,6500000,7748000,2864000,28895000
2,COGS,- -,- -,- -,- -,- -,- -,70000,766000,13148000
3,Gross Profit,- -,- -,- -,- -,- -,- -,7678000,2098000,15747000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.9910,0.7325,0.5450
5,Research and Development Exp.,10113508,8591128,22729758,47994000,49615000,82288000,26415000,15102000,-12630000
6,General and Administrative Exp.,3914773,3457123,7766820,13436000,29472000,41743000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3914773,3457123,7766820,13436000,29472000,41743000,62485000,55285000,51645000
9,Other Expenses,- -,- -,- -,- -,-5319000,-3156000,-1733000,-2163000,- -
10,Operating Expenses,14028280,12048251,30496578,61430000,73768000,120875000,87167000,68224000,39015000
11,COGS and Expenses,6741418,9893477,26836201,55047000,73768000,120875000,87237000,68990000,52163000
12,Interest Income ,307934,2432,13120,343000,318000,49000,255000,86000,- -
13,Interest Expense (Gain),5546963,6984776,4369930,75000,43000,133000,3644000,1735000,901000
14,Depreciation and Amortization,197465,152002,150876,233000,432000,510000,770000,820000,356000
15,EBITDA,28059322,-9749988,-23254543,-54416000,-73336000,-114088000,-78249000,-66790000,-48683000
16,EBITDA ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.5520,-10.0993,-23.3205,-1.6848
17,Operating Income,22314894,-9765796,-23977216,-55047000,-73768000,-114375000,-79489000,-66126000,-48528000
18,Operating Income ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.5962,-10.2593,-23.0887,-1.6795
19,Total Other Income Expenses (Gains),-5763760,-6416898,-7847725,-515000,767000,-356000,-3174000,-3219000,-432000
20,Income Before Tax,16551134,-16182694,-31824940,-55562000,-73001000,-114731000,-82663000,-69345000,-48960000
21,Income Before Tax Ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.6509,-10.6689,-24.2126,-1.6944
22,Income Tax expense (Gain),1071557,87553,-438414,-672000,1355000,49000,101000,139000,-490000
23,Net Income,15479577,-16270247,-31386526,-54890000,-74356000,-114780000,-82764000,-69484000,-49450000
24,Net Income ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.6585,-10.6820,-24.2612,-1.7114
25,EPS,5.69,-10.26,-29.65,-25.56,-24.90,-22.60,-11.20,-5.41,-0.34
26,EPS Diluted,5.24,-10.26,-29.65,-25.56,-24.90,-22.60,-11.20,-5.41,-0.34
27,Weighted Average Shares Outstanding,2720423,1081121,2116778,2147832,2983066,5079576,7419948,12845089,144690904
28,Weighted Average Shares Outstanding Diluted,2720423,1081121,2116778,2147832,2983066,5079576,7419948,12845089,144690904
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1641640/000104746918001768/0001047469-18-001768-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000104746919001138/0001047469-19-001138-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837020002547/0001558370-20-002547-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837021002824/0001558370-21-002824-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837022004615/0001558370-22-004615-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,4544450,2152342,36600485,32778000,86769000,102003000,86019000,41359000,47659000
32,Short-Term Investments,- -,- -,75311045,51106000,110000,225000,175000,16000,16000
33,Cash and Short-Term Investments,4544450,2152342,111911530,83884000,86879000,102228000,86194000,41375000,47675000
34,Net Receivables,1333923,1729170,4213588,5561000,5402000,5371000,2744000,3909000,12751000
35,Inventory,- -,- -,- -,- -,- -,- -,682000,5823000,14509000
36,Other Current Assets,541302,147138,612249,1176000,1558000,1154000,1550000,6111000,5330000
37,Total Current Assets,6419675,4028649,116737367,90621000,93839000,108753000,91170000,57218000,80265000
38,PP&E,497114,381828,417642,519000,- -,- -,2474000,768000,233000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,27617,- -,- -,- -,- -,- -,- -,- -,31000
41,Intangible Assets,27617,12160,3280,270000,172000,98000,91000,80000,31000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,618809,1410000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,407357,396420,431854,420000,1752000,1567000,378000,370000,380000
45,Total Non-Current Assets,932089,790408,1471585,2619000,1924000,1665000,2943000,1218000,644000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7351763,4819057,118208952,93240000,95763000,110418000,94113000,58436000,80909000
48,Accounts Payable,520589,355076,2939890,2551000,5136000,3304000,4673000,2889000,4372000
