,https://roic.ai/company/NILE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13800000,18900000,18700000,15354018,17882730,10329857,8775000,7369000,- -,169242000,251587000,319264000,- -,295329000,302134000,332889000,400035000,450008000,- -,473516000,7596000,10175000,27154219,26511640,23871277
2,COGS,9800000,13800000,14400000,10776479,12747454,11939985,6310000,5374000,- -,131590000,200734000,254060000,- -,235333000,236790000,260949000,324977000,366357000,- -,386874000,4890000,6325000,21774658,20452292,16356741
3,Gross Profit,4000000,5100000,4300000,4577539,5135276,-1610128,2465000,1995000,- -,37652000,50853000,65204000,- -,59996000,65344000,71940000,75058000,83651000,- -,86642000,2706000,3850000,5379561,6059348,7514536
4,Gross Profit Ratio,0.2899,0.2698,0.2299,0.2981,0.2872,-0.1559,0.2809,0.2707,- -,0.2225,0.2021,0.2042,- -,0.2031,0.2163,0.2161,0.1876,0.1859,- -,0.1830,0.3562,0.3784,0.1981,0.2286,0.3148
5,Research and Development Exp.,- -,900000,1400000,952690,1166015,1065872,749000,558000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,709000,1120000,1430538,1861103,1848866
6,General and Administrative Exp.,- -,- -,- -,- -,- -,3123874,- -,- -,- -,22795000,34296000,42792000,- -,44005000,45997000,50654000,62771000,69343000,- -,72430000,2300000,6992000,19842378,19670995,12526855
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,863898,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,916000,1721000,3010790,1631809,1177321
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,3987772,- -,- -,- -,22795000,34296000,42792000,- -,44005000,45997000,50654000,62771000,69343000,- -,72430000,3216000,8713000,22853168,21302804,13704176
9,Other Expenses,2000000,1800000,3500000,3304184,3719812,- -,2242000,2502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,-2000000
10,Operating Expenses,2000000,2700000,4900000,4256874,4885827,5053644,2991000,3060000,- -,22795000,34296000,42792000,- -,44005000,45997000,50654000,62771000,69343000,- -,72430000,3925000,9833000,24283706,27163907,13553042
11,COGS and Expenses,11800000,16500000,19300000,15033353,17633281,16993629,9301000,8434000,- -,154385000,235030000,296852000,- -,279338000,282787000,311603000,387748000,435700000,- -,459304000,8815000,16158000,46058364,47616199,29909783
12,Interest Income ,- -,- -,- -,- -,29920,12829,- -,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3351226,104869
13,Interest Expense (Gain),200000,- -,200000,- -,90992,63461,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13453344,7262646,9648820
14,Depreciation and Amortization,100000,200000,400000,500691,475987,450752,298000,131000,- -,1510000,- -,1772000,- -,2110000,2593000,3129000,3368000,3141000,- -,3607000,161000,255000,2906905,4490144,587185
15,EBITDA,2200000,2600000,-300000,650882,766146,-6227624,58000,-909000,- -,17139000,19980000,28359000,- -,19966000,22271000,24667000,16334000,17706000,- -,18226000,-981000,-10439000,-15950231,-21268915,-22516418
16,EBITDA ratio,0.1594,0.1376,-0.0160,0.0424,0.0428,-0.6029,0.0066,-0.1234,- -,0.1013,0.0794,0.0888,- -,0.0676,0.0737,0.0741,0.0408,0.0393,- -,0.0385,-0.1291,-1.0259,-0.5874,-0.8022,-0.9432
17,Operating Income,2000000,2400000,-600000,320665,249449,-6663772,-526000,-1065000,- -,-1245000,116000,53000,- -,391000,-102000,495000,-94000,-317000,- -,-542000,-1219000,-5983000,-19605456,-26941797,-6033473
18,Operating Income ratio,0.1449,0.1270,-0.0321,0.0209,0.0139,-0.6451,-0.0599,-0.1445,- -,-0.0074,0.0005,0.0002,- -,0.0013,-0.0003,0.0015,-0.0002,-0.0007,- -,-0.0011,-0.1605,-0.5880,-0.7220,-1.0162,-0.2528
19,Total Other Income Expenses (Gains),-100000,- -,-300000,-170474,-50282,-78065,286000,25000,- -,16874000,19864000,26534000,- -,17465000,19780000,21043000,13060000,14882000,- -,15161000,77000,-4990000,-13453344,-6112324,-27380198
20,Income Before Tax,1900000,2400000,-900000,150191,199167,-6741837,-240000,-1040000,- -,15629000,19980000,26587000,- -,17856000,19678000,21538000,12966000,14565000,- -,14619000,-1142000,-10973000,-33058800,-33054121,-33413671
21,Income Before Tax Ratio,0.1377,0.1270,-0.0481,0.0098,0.0111,-0.6527,-0.0274,-0.1411,- -,0.0923,0.0794,0.0833,- -,0.0605,0.0651,0.0647,0.0324,0.0324,- -,0.0309,-0.1503,-1.0784,-1.2174,-1.2468,-1.3997
22,Income Tax expense (Gain),700000,1000000,-300000,123000,104000,298883,-530000,-77000,- -,5642000,6916000,9128000,- -,6226000,6878000,7396000,4574000,3690000,- -,4888000,-20000,-78000,-76599,-108293,-23794
23,Net Income,1200000,1400000,-600000,27191,95167,-7040720,290000,-963000,- -,9987000,13064000,17459000,- -,11630000,12800000,14142000,8392000,10875000,- -,9731000,-1122000,-10616000,-32233881,-32913412,-32728629
24,Net Income ratio,0.0870,0.0741,-0.0321,0.0018,0.0053,-0.6816,0.0330,-0.1307,- -,0.0590,0.0519,0.0547,- -,0.0394,0.0424,0.0425,0.0210,0.0242,- -,0.0206,-0.1477,-1.0433,-1.1871,-1.2415,-1.3710
25,EPS,656.00,432.00,-168.00,8.00,24.00,-1656.00,48.00,-152.00,- -,-160.00,16.00,14.40,- -,67.20,-17.60,58.40,-38.40,-73.60,- -,-77.60,-128.00,-704.00,-446.00,-22.97,-3.41
26,EPS Diluted,496.00,328.00,-168.00,8.00,24.00,-1656.00,48.00,-152.00,- -,-160.00,15.20,14.40,- -,66.40,-17.60,56.80,-38.40,-73.60,- -,-77.60,-128.00,-704.00,-446.00,-22.97,-3.41
27,Weighted Average Shares Outstanding,2941,3241,3571,3399,3965,4252,5638,6482,- -,7394,8188,8403,- -,8269,8409,8335,8567,8566,- -,8503,8766,15986,72497,1433464,9606493
28,Weighted Average Shares Outstanding Diluted,2941,4268,3571,3399,3965,4252,5682,6482,- -,7394,8618,8403,- -,8360,8409,8514,8567,8566,- -,8503,8766,15986,72497,1433464,9606493
