,https://roic.ai/company/SHVLF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,796,90412,2678,102,14,- -,- -,- -,18499000,27066000,24050000,23201000,39465000,57039000,30246000,33136000,28405000,- -,27228000,27807000,32795000,24820000,26799000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,12324000,23761000,18878000,13765000,25664000,35349000,21948000,24548000,27760000,- -,26402000,32735000,32759000,22836000,20397000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,6175000,3305000,5172000,9436000,13801000,21690000,8298000,8588000,645000,- -,826000,-4928000,36000,1984000,6402000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.3338,0.1221,0.2151,0.4067,0.3497,0.3803,0.2744,0.2592,0.0227,- -,0.0303,-0.1772,0.0011,0.0799,0.2389
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1905000,2469000,1869000,3231000,- -,3640000,- -,- -,- -,4990000,3794000,3473000,2951000
7,Selling and Marketing Exp.,23902,43917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",23902,43917,- -,- -,- -,- -,- -,- -,- -,- -,1905000,2469000,1869000,3231000,- -,3640000,- -,- -,4250000,4990000,3794000,3473000,2951000
9,Other Expenses,239693,285815,265944,177393,135323,257486,708989,919027,6611000,4280000,58000,47000,35000,- -,2685000,- -,4100000,- -,- -,433000,495000,- -,47000
10,Operating Expenses,263595,329732,265944,177393,135323,257486,708989,919027,6611000,4280000,1963000,2516000,1904000,3231000,2685000,3640000,4100000,- -,4250000,5423000,4289000,3473000,2998000
11,COGS and Expenses,263595,329732,265944,177393,135323,257486,708989,919027,18935000,28041000,20841000,16281000,27568000,38580000,24633000,28188000,31860000,- -,30652000,38158000,37048000,26309000,23395000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,2000,4000,73000,- -,83000,- -,- -,- -,6000
13,Interest Expense (Gain),1306,- -,- -,- -,- -,555,- -,- -,- -,- -,553000,282000,189000,394000,543000,102000,- -,- -,536000,61000,311000,554000,123000
14,Depreciation and Amortization,1054,971,971,971,972,971,9531,11828,1437000,2185000,58000,47000,35000,4480000,5002000,6004000,6688000,- -,5628000,5032000,3899000,3836000,4456000
15,EBITDA,-348612,-978975,-463622,-627395,-855011,-256515,-699458,-907199,788000,837000,2172000,-3751000,-1438000,22710000,9598000,11137000,4978000,- -,10525000,-12852000,-5365000,1939000,6022000
16,EBITDA ratio,-437.9548,-10.8279,-173.1225,-6150.9314,-61072.2143,-Infinity,-Infinity,-Infinity,0.0426,0.0309,0.0903,-0.1617,-0.0364,0.3981,0.3173,0.3361,0.1753,- -,0.3866,-0.4622,-0.1636,0.0781,0.2247
17,Operating Income,-264105,-239320,-263266,-596883,-837483,-257486,-708989,-919027,-675000,-975000,2656000,6638000,11568000,18459000,5613000,4948000,-3455000,- -,-3424000,-10351000,-4253000,-1489000,3404000
18,Operating Income ratio,-331.7902,-2.6470,-98.3069,-5851.7941,-59820.2143,-Infinity,-Infinity,-Infinity,-0.0365,-0.0360,0.1104,0.2861,0.2931,0.3236,0.1856,0.1493,-0.1216,- -,-0.1258,-0.3722,-0.1297,-0.0600,0.1270
19,Total Other Income Expenses (Gains),-46421,-735741,-199333,-450312,-719426,12633,29695,29039,26000,-373000,-278000,-10718000,-13230000,-623000,-1560000,83000,1745000,- -,7785000,-7594000,-5322000,-962000,-1961000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-649000,-1348000,2378000,-4080000,-1662000,17836000,4053000,5031000,-1710000,- -,4361000,-17945000,-9575000,-2451000,1443000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.0351,-0.0498,0.0989,-0.1759,-0.0421,0.3127,0.1340,0.1518,-0.0602,- -,0.1602,-0.6453,-0.2920,-0.0988,0.0538
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1569000,1219000,650000,-352000,2361000,3501000,-649000,2066000,-1920000,- -,-2861000,-5945000,2229000,1178000,-1449000
23,Net Income,-350972,-979946,-464593,-628366,-855983,-245408,-679294,-889988,-2218000,-2567000,911000,-3728000,-4023000,14335000,4702000,2965000,210000,- -,7222000,-12000000,-11804000,-3629000,2892000
24,Net Income ratio,-440.9196,-10.8387,-173.4851,-6160.4510,-61141.6429,-Infinity,-Infinity,-Infinity,-0.1199,-0.0948,0.0379,-0.1607,-0.1019,0.2513,0.1555,0.0895,0.0074,- -,0.2652,-0.4315,-0.3599,-0.1462,0.1079
25,EPS,-0.12,-0.28,-1.20,-1.60,-0.20,-0.44,-0.28,-0.28,-0.24,-0.16,0.08,-0.20,-0.20,0.44,0.12,0.08,0.01,- -,0.15,-0.24,-0.24,-0.07,0.06
26,EPS Diluted,-0.12,-0.28,-1.20,-1.60,-0.20,-0.44,-0.28,-0.28,-0.24,-0.16,0.04,-0.20,-0.20,0.40,0.12,0.08,0.01,- -,0.15,-0.24,-0.24,-0.07,0.06
27,Weighted Average Shares Outstanding,2924767,3499807,410954,413454,4279915,538028,2352268,3076708,9164129,15171809,15172697,18621327,22004008,31226610,35317406,35860886,37446362,- -,49146851,49220824,49646851,49646851,49646851
28,Weighted Average Shares Outstanding Diluted,2924767,3499807,410954,413454,4279915,538028,2352268,3076708,9164129,15171809,24482411,18621327,22004008,35373259,36964906,36090619,37446362,- -,49146851,49220824,49646851,49646851,51896851
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1301713/000130171317000031/0001301713-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000119312518231670/0001193125-18-231670-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000119312519205460/0001193125-19-205460-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000156459020033911/0001564590-20-033911-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000156459021039227/0001564590-21-039227-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,913,507805,1205224,628663,9055000,2890000,1018000,824000,712000,1675000,5638000,5454000,3370000,- -,5558000,2321000,2549000,2105000,4392000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,5000,5000,17000,- -,- -,761000,1250000,1612000,2710000,4324000,2615000,- -,4005000,- -,- -,- -,779000
33,Cash and Short-Term Investments,- -,- -,- -,- -,913,507805,1210224,633663,9072000,2890000,1018000,1585000,1962000,3287000,8348000,9778000,5985000,- -,9563000,2321000,2549000,2105000,5171000
34,Net Receivables,- -,- -,- -,- -,3068,7848,19340,25830,1647000,2664000,1697000,1150000,1779000,3518000,1979000,3409000,3435000,- -,4777000,3348000,3096000,2250000,1170000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1149000,1517000,974000,1065000,2199000,2432000,1689000,2464000,2037000,- -,2921000,3499000,1488000,1663000,1781000
