,https://roic.ai/company/HQI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,83563,284623,444564,415085,372211,71270000,98720000,79230000,51560000,69436838,81920000,98432059,93748261,91839850,88498943,93259510,98072200,97388820,15876460,13809125,22759793
2,COGS,- -,- -,- -,- -,- -,51050000,72180000,59670000,38580000,52290151,63280000,73538819,69500997,66320090,64733358,69580410,72641610,72450300,- -,- -,170548
3,Gross Profit,83563,284623,444564,415085,372211,20220000,26540000,19560000,12980000,17146687,18640000,24893240,24247264,25519760,23765585,23679100,25430590,24938520,15876460,- -,22589245
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,0.2837,0.2688,0.2469,0.2517,0.2469,0.2275,0.2529,0.2586,0.2779,0.2685,0.2539,0.2593,0.2561,1.0000,- -,0.9925
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,21680000,30540000,-822588000,-75298000,12678340,17310000,- -,- -,18491560,- -,21774420,21347680,23433200,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,846458000,91108000,242434,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,21680000,30540000,23870000,15810000,12920774,17310000,- -,- -,18491560,- -,21774420,21347680,23433200,- -,- -,13363957
9,Other Expenses,178065,327399,313506,201690,568683,340000,19980000,12440000,1310000,2670581,440000,22414036,19879024,1347530,20775256,298300,386410,323850,13092429,8829628,- -
10,Operating Expenses,178065,327399,313506,201690,568683,22020000,50520000,36310000,17120000,15591355,17750000,22414036,19879024,19839090,20775256,22072720,21734090,23757050,13092429,8829628,13363957
11,COGS and Expenses,178065,327399,313506,201690,568683,73070000,122700000,95980000,55700000,67881506,81030000,95952855,89380021,86159180,85508614,91653130,94375700,96207350,13092429,8829628,13534505
12,Interest Income ,- -,- -,- -,- -,- -,87891,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412457
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,848890,1877081,1011448,1124197,804036,503626,248729,176537,25018,11619,2116,559585,49664,-157234
14,Depreciation and Amortization,- -,- -,- -,- -,- -,347652,1526056,868208,786142,569905,431425,370768,351240,540746,171511,298300,386413,323852,400132,129182,1563088
15,EBITDA,-116047,-84566,41126,123867,-200122,-2072348,-24513944,-15902902,-3296777,21001,1495622,3692228,3932865,6221495,3161840,1904688,3733912,1505328,4150734,6279298,13893852
16,EBITDA ratio,-1.3887,-0.2971,0.0925,0.2984,-0.5377,-0.0291,-0.2483,-0.2007,-0.0639,0.0003,0.0183,0.0375,0.0420,0.0677,0.0357,0.0204,0.0381,0.0155,0.2614,0.4547,0.6105
17,Operating Income,-94502,-42776,131058,213395,-196472,-1803526,-23972713,-16747916,-3617005,1555332,886536,2479204,4368240,6487451,2990329,1606379,3696495,1181475,2784031,4979497,7662200
18,Operating Income ratio,-1.1309,-0.1503,0.2948,0.5141,-0.5279,-0.0253,-0.2428,-0.2114,-0.0702,0.0224,0.0108,0.0252,0.0466,0.0706,0.0338,0.0172,0.0377,0.0121,0.1754,0.3606,0.3367
