,https://roic.ai/company/FTK,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,3181668,1793709,1561793,12561499,13260503,14844431,21881289,52869036,100642000,158008000,226063000,112550000,146982000,258785000,312828000,371065000,449157000,334359000,262832000,317098000,177773000,119353000,53141000,43268000
2,COGS,- -,2438720,1149343,1164927,9078121,8711032,9264091,12529631,30946376,59464000,90297000,135307000,83166000,94012000,152965000,181209000,223538000,266198000,219249000,172154000,227288000,169024000,157690000,91678000,41023000
3,Gross Profit,- -,742948,644366,396866,3483378,4549471,5580340,9351658,21922660,41178000,67711000,90756000,29384000,52970000,105820000,131619000,147527000,182959000,115110000,90678000,89810000,8749000,-38337000,-38537000,2245000
4,Gross Profit Ratio,- -,0.2335,0.3592,0.2541,0.2773,0.3431,0.3759,0.4274,0.4147,0.4092,0.4285,0.4015,0.2611,0.3604,0.4089,0.4207,0.3976,0.4073,0.3443,0.3450,0.2832,0.0492,-0.3212,-0.7252,0.0519
5,Research and Development Exp.,- -,4158,- -,- -,34938,139371,46654,300074,555261,656000,849000,1931000,2118000,1441000,2337000,3182000,3752000,4976000,7455000,9320000,13645000,10356000,8863000,7213000,5537000
6,General and Administrative Exp.,- -,1393903,735065,712981,3767873,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66415000,78197000,87146000,95483000,80150000,78728000,31467000,27975000,16311000,- -
7,Selling and Marketing Exp.,- -,1530574,1015172,877776,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37236000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2924477,1750237,1590757,3767873,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66415000,78197000,87146000,95483000,80150000,115964000,31467000,27975000,16311000,- -
9,Other Expenses,- -,93103,62246,122812,744305,8781921,5502280,6039495,11253779,21669000,37176000,51881000,41869000,48508000,54595000,4410000,7273000,9738000,11006000,8530000,-37236000,- -,- -,- -,29175000
10,Operating Expenses,- -,3021738,1812483,1713569,4547116,8921292,5548934,6339569,11809040,22325000,38025000,53812000,43987000,49949000,56932000,74007000,89222000,101860000,113944000,98000000,92373000,41823000,36838000,23524000,34712000
11,COGS and Expenses,- -,5460458,2961826,2878496,13625237,17632324,14813025,18869200,42755416,81789000,128322000,189119000,127153000,143961000,209897000,255216000,312760000,368058000,333193000,270154000,319661000,210847000,194528000,115202000,34712000
12,Interest Income ,- -,- -,- -,- -,43819,2217,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,173783,415431,639918,618438,691568,827085,1005000,3501000,10233000,15431000,20215000,15960000,8103000,2092000,1610000,1762000,1979000,2168000,2866000,2019000,60000,78000
14,Depreciation and Amortization,- -,93103,62246,122812,744305,704731,713531,689901,1768268,2750000,6537000,13874000,14186000,13768000,10105000,11583000,15109000,17848000,18024000,10429000,12159000,9216000,8465000,3412000,1011000
15,EBITDA,- -,-2339701,-1151162,-1189598,-248199,-4118183,-6052138,3748254,11967908,21688000,37179000,-16973000,-19072000,-15027000,65335000,65144000,74151000,98342000,-1330000,-35485000,-4226000,-65474000,-21996000,-139157000,-29397000
16,EBITDA ratio,- -,-0.7354,-0.6418,-0.7617,-0.0198,-0.3106,-0.4077,0.1713,0.2264,0.2155,0.2353,-0.0751,-0.1695,-0.1022,0.2525,0.2082,0.1998,0.2189,-0.0040,-0.1350,-0.0133,-0.3683,-0.1843,-2.6186,-0.6794
17,Operating Income,- -,-2278790,-1168117,-1316703,-1063738,-4371821,-5089227,3012089,10113620,18853000,29686000,-30751000,-33103000,-6267000,48888000,58621000,58726000,80888000,-19173000,-7304000,-2855000,-69811000,-76625000,-143648000,-31456000
18,Operating Income ratio,- -,-0.7162,-0.6512,-0.8431,-0.0847,-0.3297,-0.3428,0.1377,0.1913,0.1873,0.1879,-0.1360,-0.2941,-0.0426,0.1889,0.1874,0.1583,0.1801,-0.0573,-0.0278,-0.0090,-0.3927,-0.6420,-2.7031,-0.7270
19,Total Other Income Expenses (Gains),- -,-30452,89528,4293,27415,-566,-10214281,-645304,-741065,-920000,-2545000,-10329000,-15586000,-42743000,-9618000,-13163000,-1776000,-2004000,-1943000,10448000,-1356000,-10846000,-311000,1019000,890000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,2366785,9372555,17933000,27141000,-41080000,-48689000,-49010000,39270000,45458000,56950000,78884000,-21116000,3144000,-4211000,-80657000,-76936000,-142629000,-30566000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.1082,0.1773,0.1782,0.1718,-0.1817,-0.4326,-0.3334,0.1517,0.1453,0.1535,0.1756,-0.0632,0.0120,-0.0133,-0.4537,-0.6446,-2.6840,-0.7064
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,213096,1652403,6583000,10414000,-9139000,2016000,-5545000,7862000,-4333000,20772000,25281000,-7654000,1237000,8842000,-7216000,-201000,-6179000,40000
23,Net Income,- -,-2432804,-1213408,-1486193,-1407935,-5462832,-7384107,2153689,7720152,11350000,16727000,-31941000,-50705000,-43465000,31408000,49791000,36178000,53603000,-13462000,-49130000,-27395000,-70340000,-32279000,-136450000,-30526000
24,Net Income ratio,- -,-0.7646,-0.6765,-0.9516,-0.1121,-0.4120,-0.4974,0.0984,0.1460,0.1128,0.1059,-0.1413,-0.4505,-0.2957,0.1214,0.1592,0.0975,0.1193,-0.0403,-0.1869,-0.0864,-0.3957,-0.2704,-2.5677,-0.7055
25,EPS,- -,-4.39,-1.65,-1.65,-0.20,-0.55,-0.61,0.16,0.53,0.66,0.91,-1.69,-2.70,-1.94,0.60,1.03,0.70,0.98,-0.25,-0.88,-0.48,-1.21,-0.55,-2.00,-0.45
26,EPS Diluted,- -,-4.39,-1.65,-1.65,-0.20,-0.55,-0.61,0.15,0.47,0.61,0.88,-1.69,-2.70,-1.94,0.56,0.97,0.67,0.97,-0.25,-0.88,-0.48,-1.21,-0.55,-2.00,-0.45
27,Weighted Average Shares Outstanding,- -,567261,808906,863686,6966935,9935316,11952474,13318790,14606408,17290000,18338000,18867000,19595000,25731000,44229000,48185000,51346000,54511000,54459000,56087000,57580000,57995000,58750000,68312000,68312000
28,Weighted Average Shares Outstanding Diluted,- -,567261,808906,863686,6966935,9935316,11952474,14026274,16510586,18588000,18958000,18867000,19595000,25731000,47638000,53554000,53841000,55526000,54459000,56350000,57580000,57995000,58750000,68312000,68312000
