,https://roic.ai/company/BLBD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,919128000,932010000,990602000,1024976000,1018874000,879221000,683995000
2,COGS,- -,- -,- -,- -,798733000,802654000,863234000,902988000,885400000,783021000,611854000
3,Gross Profit,- -,- -,- -,- -,120395000,129356000,127368000,121988000,133474000,96200000,72141000
4,Gross Profit Ratio,- -,- -,- -,- -,0.1310,0.1388,0.1286,0.1190,0.1310,0.1094,0.1055
5,Research and Development Exp.,- -,- -,- -,- -,- -,5400000,- -,8500000,11500000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,5683000,84561000,97311000,72831000,78411000,78142000,74206000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,5683000,84561000,102711000,72831000,88755000,89642000,74206000,65619000
9,Other Expenses,- -,- -,- -,- -,- -,-5400000,- -,-10344000,-11500000,- -,54209933000
10,Operating Expenses,- -,- -,- -,5683000,84561000,102711000,72831000,86911000,89642000,74206000,54275552000
11,COGS and Expenses,- -,- -,- -,5683000,883294000,905365000,936065000,989899000,975042000,857227000,54887406000
12,Interest Income ,- -,- -,- -,33000,113000,133000,140000,70000,9000,11000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,19078000,16412000,7251000,6661000,12879000,12252000,-9682000
14,Depreciation and Amortization,- -,- -,- -,- -,8790000,8046000,8180000,9042000,10383000,14400000,13446000
15,EBITDA,- -,- -,- -,-5683000,47242000,37162000,56064000,41803000,55135000,37318000,1786000
16,EBITDA ratio,- -,- -,- -,-Infinity,0.0514,0.0399,0.0566,0.0408,0.0541,0.0424,0.0026
17,Operating Income,- -,- -,- -,-5683000,35834000,26645000,54537000,33233000,43832000,21994000,6522000
18,Operating Income ratio,- -,- -,- -,-Infinity,0.0390,0.0286,0.0551,0.0324,0.0430,0.0250,0.0095
19,Total Other Income Expenses (Gains),- -,- -,- -,33000,-18965000,-16818000,-17252000,-6360000,-14201000,-11503000,-8500000
20,Income Before Tax,- -,- -,- -,-5650000,16869000,9827000,37285000,26873000,29631000,10491000,-1978000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,0.0184,0.0105,0.0376,0.0262,0.0291,0.0119,-0.0029
22,Income Tax expense (Gain),- -,- -,- -,- -,4442000,5804000,11832000,-4720000,7573000,-1519000,1191000
23,Net Income,- -,- -,- -,-5650000,14932000,6900000,28801000,30820000,24300000,12185000,-3169000
24,Net Income ratio,- -,- -,- -,-Infinity,0.0162,0.0074,0.0291,0.0301,0.0238,0.0139,-0.0046
25,EPS,- -,- -,- -,-1.53,0.60,0.14,0.79,1.15,0.92,0.45,-0.01
26,EPS Diluted,- -,- -,- -,-1.53,0.59,0.14,0.74,1.08,0.90,0.45,-0.01
27,Weighted Average Shares Outstanding,- -,- -,3700000,3700000,21182885,21252616,23343772,25259595,26455436,26850999,27139054
28,Weighted Average Shares Outstanding Diluted,- -,- -,3700000,3700000,25497602,21315619,24877729,28616862,27043814,27086555,27139054
29,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1589526/000121390015001423/0001213900-15-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952615000089/0001589526-15-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952616000199/0001589526-16-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952617000057/0001589526-17-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952618000102/0001589526-18-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952619000054/0001589526-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952620000112/0001589526-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952621000140/0001589526-21-000140-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2000,119000,52861000,52309000,62616000,60260000,70959000,44507000,11709000
32,Short-Term Investments,- -,- -,- -,- -,12505000,12944000,- -,11123000,11106000,14320000,- -
33,Cash and Short-Term Investments,- -,- -,2000,119000,65366000,65253000,62616000,71383000,82065000,58827000,11709000
34,Net Receivables,- -,- -,- -,- -,13746000,20315000,10148000,24067000,10537000,7623000,9967000
35,Inventory,- -,- -,- -,- -,49180000,53806000,76155000,57333000,78830000,56523000,125206000
36,Other Current Assets,- -,- -,346000,18000,605000,-6840000,11528000,-2940000,659000,-6077000,9191000
37,Total Current Assets,- -,- -,348000,137000,128897000,132534000,160447000,149843000,172091000,116896000,156073000
38,PP&E,- -,- -,- -,- -,28933000,33466000,34708000,66054000,104696000,103372000,110968000
39,Goodwill,- -,- -,- -,- -,18825000,18825000,18825000,18825000,18825000,18825000,18825000
40,Intangible Assets,- -,- -,- -,- -,60378000,59491000,57481000,55472000,54720000,51632000,49443000
41,Intangible Assets,- -,- -,- -,- -,79203000,78316000,76306000,74297000,73545000,70457000,68268000
42,Investments,- -,- -,- -,10000000,12505000,12944000,11625000,11123000,11106000,14320000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,11755000,197000,168000,- -,4413000
44,Other Non-Current Assets,- -,- -,- -,105033000,18365000,20606000,975000,5916000,3807000,-14320000,16298000
45,Total Non-Current Assets,- -,- -,- -,115033000,139006000,145332000,135369000,157587000,193322000,173829000,199947000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,348000,115170000,267903000,277866000,295816000,307430000,365413000,290725000,356020000
48,Accounts Payable,- -,- -,- -,1391000,79333000,80646000,87331000,95780000,102266000,57602000,72270000
49,Short-Term Debt,- -,- -,121000,- -,11750000,11750000,8000000,9900000,10616000,11180000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,4862000,5666000,6776000,8159000,8632000,8540000,7832000
52,Other Current Liabilities,- -,- -,202000,3281000,37470000,32459000,36649000,35018000,48168000,34326000,44680000
53,Total Current Liabilities,- -,- -,323000,4672000,133415000,130521000,138756000,148857000,169682000,111648000,124782000
54,Long-Term Debt,- -,- -,- -,- -,176596000,140366000,143224000,132290000,177147000,9900000,149573000
55,Deferred Revenue,- -,- -,- -,- -,9283000,10521000,12519000,15032000,15413000,- -,12312000
56,Deferred Tax Liabilities,- -,- -,- -,- -,15466000,11468000,- -,197000,168000,- -,3673000
57,Other Non-Current Liabilities,- -,- -,- -,3738000,54373000,71964000,59827000,39390000,70814000,- -,-26446000
58,Total Non-Current Liabilities,- -,- -,- -,3738000,255718000,234319000,215570000,186909000,263542000,9900000,139112000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,157249000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,4637000,7159000,- -
61,Total Liabilities,- -,- -,323000,8410000,389133000,364840000,354326000,335766000,433224000,258997000,263894000
62,Preferred Stock,- -,- -,- -,- -,50000000,50000000,40000000,9300000,- -,- -,- -
63,Common Stock,- -,- -,- -,101760000,2000,2000,2000,3000,3000,3000,3000
