,https://roic.ai/company/WIX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,9850000,24600000,43676000,80473000,141841000,203518000,290103000,425636000,603704000,761088000,988760000,1269657000
2,COGS,2223000,5290000,9233000,15257000,26108000,34970000,45287000,69391000,126947000,196907000,315699000,488579000
3,Gross Profit,7627000,19310000,34443000,65216000,115733000,168548000,244816000,356245000,476757000,564181000,673061000,781078000
4,Gross Profit Ratio,0.7743,0.7850,0.7886,0.8104,0.8159,0.8282,0.8439,0.8370,0.7897,0.7413,0.6807,0.6152
5,Research and Development Exp.,7315000,14746000,16782000,29660000,57832000,77647000,105368000,153635000,198912000,250791000,320278000,424937000
6,General and Administrative Exp.,1819000,5338000,3662000,8307000,15803000,139536000,26968000,48186000,59297000,393640000,111915000,169648000
7,Selling and Marketing Exp.,9848000,21586000,29057000,53776000,97742000,- -,156512000,204435000,249178000,- -,438210000,512027000
8,"Selling, General and Administrative Exp.",11667000,26924000,32719000,62083000,113545000,139536000,183480000,252621000,308475000,393640000,550125000,681675000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-0,-0,- -,- -
10,Operating Expenses,18982000,41670000,49501000,91743000,171377000,217183000,288848000,406256000,507387000,644431000,870403000,1106612000
11,COGS and Expenses,21205000,46960000,58734000,107000000,197485000,252153000,334135000,475647000,634334000,841338000,1186102000,1595191000
12,Interest Income ,21000,147000,54000,154000,415000,242000,847000,1182000,9607000,19792000,16391000,- -
13,Interest Expense (Gain),- -,- -,- -,262000,- -,- -,- -,- -,10004000,20938000,29954000,- -
14,Depreciation and Amortization,119000,592000,871000,1200000,2815000,5635000,5285000,8407000,11508000,16714000,17187000,18881000
15,EBITDA,-11255000,-21936000,-13702000,-25686000,-50699000,-42934000,-38504000,-49642000,-12227000,-46164000,-103024000,-34126000
16,EBITDA ratio,-1.1426,-0.8917,-0.3137,-0.3192,-0.3574,-0.2110,-0.1327,-0.1166,-0.0203,-0.0607,-0.1042,-0.0269
17,Operating Income,-11355000,-22360000,-15058000,-26527000,-55644000,-48635000,-44032000,-50011000,-30630000,-80250000,-197342000,-325534000
18,Operating Income ratio,-1.1528,-0.9089,-0.3448,-0.3296,-0.3923,-0.2390,-0.1518,-0.1175,-0.0507,-0.1054,-0.1996,-0.2564
19,Total Other Income Expenses (Gains),-19000,-168000,485000,-621000,2130000,66000,243000,-4939000,-3283000,-3566000,47177000,272527000
20,Income Before Tax,-11374000,-22528000,-14573000,-27148000,-53514000,-48569000,-43789000,-54950000,-33913000,-83816000,-150165000,-53007000
21,Income Before Tax Ratio,-1.1547,-0.9158,-0.3337,-0.3374,-0.3773,-0.2386,-0.1509,-0.1291,-0.0562,-0.1101,-0.1519,-0.0417
22,Income Tax expense (Gain),115000,212000,399000,1572000,3052000,2765000,3107000,-1776000,3381000,2598000,14989000,64202000
23,Net Income,-11489000,-22740000,-14972000,-28720000,-56566000,-51334000,-46896000,-56273000,-37120000,-86414000,-165154000,-117209000
24,Net Income ratio,-1.1664,-0.9244,-0.3428,-0.3569,-0.3988,-0.2522,-0.1617,-0.1322,-0.0615,-0.1135,-0.1670,-0.0923
25,EPS,-0.38,-1.75,-0.50,-3.33,-1.49,-1.30,-1.12,-1.24,-0.77,-1.71,-3.98,-2.15
26,EPS Diluted,-0.38,-1.75,-0.50,-3.33,-1.49,-1.30,-1.12,-1.24,-0.77,-1.71,-3.98,-2.15
27,Weighted Average Shares Outstanding,29932266,30159852,29932266,11597826,37847093,39408928,42032818,45552199,48017188,50504698,54425056,54425056
28,Weighted Average Shares Outstanding Diluted,29932266,30159852,29932266,11597826,37847093,39408928,42032818,45552199,48017188,50504698,54425056,54425056
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576789/000117891315001113/zk1516473.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891316005065/zk1618248.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891317000947/0001178913-17-000947-index.html,https://www.sec.gov/Archives/edgar/data/1576789/000117891318001017/0001178913-18-001017-index.html,https://www.sec.gov/Archives/edgar/data/1576789/000117891319001094/zk1922873.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891320001005/wix20f2019.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10374000,7510000,101300000,40200000,39226000,93064000,85230000,331057000,268103000,168858000,451355000
32,Short-Term Investments,- -,- -,- -,- -,45811000,70773000,78240000,148112000,372611000,458397000,867065000,868202000
33,Cash and Short-Term Investments,- -,10374000,7510000,101300000,86011000,109999000,171304000,233342000,703668000,726500000,1035923000,1319557000
34,Net Receivables,- -,290000,870000,700000,1050000,6461000,8279000,11400000,13528000,16987000,23670000,30367000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,5463000,4832000,8000000,16064000,15840000,18277000,20195000,13088000,20360000,41591000,39889000
37,Total Current Assets,- -,16127000,13212000,110000000,103125000,132300000,197860000,264937000,730284000,763847000,1101184000,1389813000
38,PP&E,- -,2210000,2282000,4200000,7205000,8734000,8750000,16201000,21947000,110955000,124269000,151532000
39,Goodwill,- -,- -,- -,- -,1736000,1736000,1736000,17800000,17800000,17800000,24235000,- -
40,Intangible Assets,- -,- -,- -,- -,4474000,4463000,3716000,27252000,24429000,19841000,19281000,- -
41,Intangible Assets,- -,- -,- -,- -,6210000,6199000,5452000,45052000,42229000,37641000,43516000,89547000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,47225000,177298000,536877000,387341000
43,Tax Assets,- -,- -,- -,- -,732000,890000,634000,764000,602000,1585000,- -,- -
44,Other Non-Current Assets,- -,291000,631000,1200000,1150000,1310000,1988000,3059000,2463000,8341000,87680000,41554000
45,Total Non-Current Assets,- -,2501000,2913000,5400000,15297000,17133000,16824000,65076000,114466000,335820000,792342000,669974000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18628000,16125000,115400000,118422000,149433000,214684000,330013000,844750000,1099667000,1893526000,2059787000
48,Accounts Payable,- -,978000,1942000,4100000,4611000,12280000,20709000,34240000,45567000,37687000,79881000,114584000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,18949000,22336000,29201000
50,Tax Payable,- -,- -,- -,- -,1098000,1098000,1098000,1378000,334000,2030000,1811000,- -
51,Deferred Revenue,- -,9982000,18368000,35784000,64058000,100561000,146987000,202482000,227226000,227226000,373521000,484446000
52,Other Current Liabilities,- -,4311000,5682000,11816000,27831000,35226000,39077000,65659000,67600000,160324000,141243000,146067000
53,Total Current Liabilities,- -,15271000,25992000,51700000,96500000,148067000,206773000,302381000,340393000,444186000,616981000,774298000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1219000,338996000,359934000,908627000,1004738000
55,Deferred Revenue,- -,199000,616000,- -,- -,- -,- -,- -,- -,- -,50867000,59966000
56,Deferred Tax Liabilities,- -,- -,- -,- -,732000,625000,634000,764000,602000,602000,15343000,72803000
57,Other Non-Current Liabilities,- -,72000,88000,1400000,2540000,4546000,9746000,14329000,12494000,87196000,- -,2267000
58,Total Non-Current Liabilities,- -,271000,704000,1400000,3272000,5171000,10380000,16312000,352092000,447732000,974837000,1139774000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,83193000,96523000,110965000
61,Total Liabilities,- -,15542000,26696000,53100000,99772000,153238000,217153000,318693000,692485000,891918000,1591818000,1914072000
62,Preferred Stock,- -,21000,21000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,17000,18000,100000,63000,64000,74000,80000,88000,94000,107000,111000
64,Retained Earnings,- -,-44820000,-59792000,-88500000,-145078000,-196412000,-243308000,-299581000,-318371000,-404785000,-569939000,-648138000
65,Other Comprehensive Income/Loss,- -,- -,- -,-263000,-2950000,-248000,-389000,-286000,-1691000,1357000,9406000,-1056000
66,Other Total Stockholders Equity,- -,47868000,49182000,150959000,166615000,192791000,241154000,311107000,472239000,611083000,862134000,794798000
67,Total Stockholders Equity,- -,3086000,-10571000,62296000,18650000,-3805000,-2469000,11320000,152265000,207749000,301708000,145715000
68,Total Liabilities And Stockholders Equity,- -,18628000,16125000,115396000,118422000,149433000,214684000,330013000,844750000,1099667000,1893526000,2059787000
69,Minority Interest,- -,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,18628000,16125000,115400000,118422000,149433000,214684000,330013000,844750000,1099667000,1893526000,2059787000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576789/000117891315001113/zk1516473.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891316005065/zk1618248.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891317000947/0001178913-17-000947-index.html,https://www.sec.gov/Archives/edgar/data/1576789/000117891318001017/0001178913-18-001017-index.html,https://www.sec.gov/Archives/edgar/data/1576789/000117891319001094/zk1922873.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891320001005/wix20f2019.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-11489000,-22740000,-14972000,-28720000,-56566000,-51334000,-46896000,-56273000,-37120000,-86414000,-165154000,-117209000
74,Depreciation and Amortization,119000,592000,871000,1200000,2815000,5635000,5285000,8407000,11508000,16714000,17187000,18881000
75,Deferred Income Tax,26000,70000,163000,- -,81000,-111000,-317000,-2719000,-959000,935000,12089000,54454000
76,Stock Based Compensation,1111000,4733000,1020000,- -,13937000,18750000,28048000,47700000,72330000,47700000,147313000,221391000
77,Change in Working Capital,4923000,6746000,9310000,23983000,37247000,48132000,54391000,86569000,60628000,87652000,102232000,41370000
78,Accounts Receivable,-109000,-181000,-580000,200000,-383000,-5411000,-1818000,-1936000,-2128000,-1936000,-6457000,-6250000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,60000,811000,964000,1894000,618000,7483000,8290000,11834000,10933000,-7560000,41967000,26595000
81,Other Working Capital,3887000,5175000,8802000,- -,6625000,-16032000,-8913000,-37444000,389891000,389891000,113271000,82361000
82,Other Non-Cash Items,- -,- -,- -,7737000,1683000,-196000,62000,-632000,9322000,82977000,34382000,-153202000
83,Cash Provided by Operating Activities,-5310000,-10599000,-3608000,4200000,-803000,20876000,40573000,83052000,115709000,149564000,148049000,65685000
84,CAPEX,-1064000,-1754000,-947000,-3100000,-5619000,-6342000,-4415000,-11649000,-13684000,-11649000,-18853000,-37700000
85,Acquisitions Net,- -,- -,- -,- -,-4295000,- -,- -,-33091000,- -,- -,-6626000,-27639000
86,Purchases of Investments,-708000,-3337000,-86000,- -,- -,- -,- -,- -,-1250000,- -,-1341766000,-602008000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,572658000,1044216000
88,Other Investing Activites,6000,538000,1716000,-770000,-50794000,-22326000,-3978000,-70134000,-272655000,-222586000,-6093000,-1930000
89,Cash Used for Investing Activites,-1766000,-4553000,683000,-3840000,-60708000,-28668000,-8393000,-114874000,-287589000,-244013000,-800230000,376869000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-12601000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,94200000,812000,6818000,21658000,24158000,32896000,31495000,- -,-200000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10103000,21025000,61000,13000,- -,- -,- -,-170000,397412000,- -,552936000,39943000
95,Cash Used/Provided by Financing Activities,10103000,21025000,61000,94213000,812000,6818000,21658000,23988000,417707000,31495000,552936000,-160057000
96,Effect of Forex Changes on Cash,- -,- -,- -,-868000,-359000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3027000,5873000,-2864000,93700000,-61058000,-974000,53838000,-7834000,245827000,-62954000,-99245000,282497000
98,Cash at the End of Period,4501000,10374000,7510000,101200000,40242000,39226000,93064000,85230000,331057000,268103000,168858000,451355000
99,Cash at the Beginning of Period,1474000,4501000,10374000,7500000,101300000,40200000,39226000,93064000,85230000,331057000,268103000,168858000
100,Free Cash Flow,-6374000,-12353000,-4555000,1100000,-7624000,14084000,36058000,70608000,101633000,127498000,129196000,27985000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576789/000117891315001113/zk1516473.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891316005065/zk1618248.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891317000947/0001178913-17-000947-index.html,https://www.sec.gov/Archives/edgar/data/1576789/000117891318001017/0001178913-18-001017-index.html,https://www.sec.gov/Archives/edgar/data/1576789/000117891319001094/zk1922873.htm,https://www.sec.gov/Archives/edgar/data/1576789/000117891320001005/wix20f2019.htm,- -,- -
102,false,,,,,,,,,,,,
