,https://roic.ai/company/ALDX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1364598,469270,1541681,3707544,7574398,13175670,16302568,29823007,44351851,24681301,44936532000
6,General and Administrative Exp.,743941,644941,2134726,3563046,4414709,5520308,6185820,9876144,12154702,9985454,11283004000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",743941,644941,2134726,3563046,4414709,5520308,6185820,9876144,12154702,9985454,11283004000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2108539,1114211,3676407,7270590,11989107,18695978,22488388,39699151,56506553,34666755,56219536000
11,COGS and Expenses,2108539,1114211,3676407,7270590,11989107,18695978,22488388,39699151,56506553,34666755,- -
12,Interest Income ,5001,101,31,3,11126,102037,261252,952698,1541349,292224,185363000
13,Interest Expense (Gain),279932,342014,159323,244174,112306,105509,113453,146792,603846,1904198,-1742101000
14,Depreciation and Amortization,1589,3737,- -,1069,18778,35792,37849,71003,96305,56221,- -
15,EBITDA,-2096543,-22594264,-3676376,-7269521,-11970329,-18660186,-22450539,-39628148,-56410248,-34318310,-56219536000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-2108539,-1114211,-3676407,-7270590,-11989107,-18695978,-22488388,-39699151,-63074307,-36421020,-56219536
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-269525,-21960304,16736879,2083331,-101180,-3472,147799,805906,937503,-1611974,-57720054464
20,Income Before Tax,-2378064,-23074515,13060472,-5187259,-12090287,-18699450,-22340589,-38893245,-62136804,-38032994,-57776274000
21,Income Before Tax Ratio,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-1309973,-479265,- -
23,Net Income,-2378064,-23074515,13060472,-5187259,-12090287,-18699450,-22340589,-38893245,-60826831,-37553729,-57776274000
24,Net Income ratio,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-7.92,-119.52,2.73,-2.51,-1.40,-1.65,-1.40,-1.79,-2.24,-1.11,-1.07
26,EPS Diluted,-7.92,-119.52,-0.69,-3.09,-1.40,-1.65,-1.40,-1.79,-2.24,-1.11,-1.07
27,Weighted Average Shares Outstanding,327365,327365,4035229,3818157,8633897,11352230,15921884,21685642,27111840,33965955,54042103
28,Weighted Average Shares Outstanding Diluted,4801921,4801921,4521280,3850612,8633897,11352230,15921884,21685642,27111840,33965955,54042103
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341235/000119312515101703/0001193125-15-101703-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312516523952/0001193125-16-523952-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312517104228/0001193125-17-104228-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312518102077/0001193125-18-102077-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459019006997/0001564590-19-006997-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459020010493/0001564590-20-010493-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459021012501/0001564590-21-012501-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000095017022004111/0000950170-22-004111-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,250955,1223638,3262354,8527304,14648866,12015061,20023337,47357472,44425830,77858311,104790989
32,Short-Term Investments,- -,- -,- -,- -,12941776,12897584,22923462,46242220,28938545,- -,- -
33,Cash and Short-Term Investments,250955,1223638,3262354,8527304,27590642,24912645,42946799,93599692,73364375,77858311,104790989
34,Net Receivables,- -,750436,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4212,2950,8412,232568,497552,218682,1018967,1169594,1804450,5200957,127961781
37,Total Current Assets,255167,1977024,3270766,8759872,28088194,25131327,43965766,94769286,75168825,83059268,232752770
38,PP&E,3737,- -,- -,12993,80334,56352,43262,235225,349456,293235,384350
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,472467,14238,36236,- -,165930,86644,- -,- -,- -
45,Total Non-Current Assets,3737,- -,472467,27231,116570,56352,209192,321869,349456,293235,384350
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,258904,1977024,3743233,8787103,28204764,25187679,44174958,95091155,75518281,83352503,233137120
48,Accounts Payable,25298,72538,341853,341294,851160,275441,1000963,3051678,808302,381638,1019702
49,Short-Term Debt,2200000,166667,143160,77546,77546,77546,116319,- -,226328,3893086,229607
50,Tax Payable,- -,8837,16093,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,368154,124228,119998,908724,1186429,1946251,2236465,5421498,11873122,8134765,10523353
53,Total Current Liabilities,2593452,363433,605011,1327564,2115135,2299238,3353747,8473176,12907752,12409489,11772662
54,Long-Term Debt,- -,266253,1129015,1175481,1211310,1238624,1220192,- -,14528212,11434456,15628935
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,26502000,394368,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,26768253,1523383,1175481,1211310,1238624,1220192,- -,14528212,11434456,15628935
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,226328,233310,- -
61,Total Liabilities,2593452,27131686,2128394,2503045,3326445,3537862,4573939,8473176,27435964,23843945,27401597
62,Preferred Stock,13178449,29229834,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3773,3773,4044,5565,9713,12576,19138,26244,28657,38667,58081
64,Retained Earnings,-15516770,-54388269,-41324338,-46511597,-58601884,-77301334,-99641923,-138535168,-199361999,-236915728,-294692002
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-8361,129,-17831,-9224,5866,- -,- -
66,Other Total Stockholders Equity,- -,- -,42935133,52790090,83478851,98938446,139241635,225136127,247409793,296385619,500369444
67,Total Stockholders Equity,-2334548,-25154662,1614839,6284058,24878319,21649817,39601019,86617979,48082317,59508558,205735523
68,Total Liabilities And Stockholders Equity,258904,1977024,3743233,8787103,28204764,25187679,44174958,95091155,75518281,83352503,233137120
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,258904,1977024,3743233,8787103,28204764,25187679,44174958,95091155,75518281,83352503,233137120
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341235/000119312515101703/0001193125-15-101703-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312516523952/0001193125-16-523952-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312517104228/0001193125-17-104228-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312518102077/0001193125-18-102077-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459019006997/0001564590-19-006997-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459020010493/0001564590-20-010493-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459021012501/0001564590-21-012501-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000095017022004111/0000950170-22-004111-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-2378064,-23074515,13060472,-5187259,-12090287,-18699450,-22340589,-38893245,-60826831,-37553729,-57776274000
74,Depreciation and Amortization,1589,3737,- -,1069,18778,35792,37849,71003,96305,56221,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-1309973,-479265,- -
76,Stock Based Compensation,49592,84401,1701713,2037073,2187102,2759753,2714841,4144853,8082751,7083810,- -
77,Change in Working Capital,-65877,3951876,1052164,4766553,18540751,-3140970,17779930,45684091,-24035037,8388706,150330329
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-165531,47240,269315,-559,509866,-575719,725522,2049582,-2846142,-426664,- -
81,Other Working Capital,-2338285,1613591,2665755,7432308,25973059,22832089,40612019,86296110,62261073,70649779,220980108
82,Other Non-Cash Items,- -,18256455,-17520950,-6393430,-17968097,3897363,-17414893,-40863833,33008559,-14989198,15070036671
83,Cash Provided by Operating Activities,-2392760,-778046,-1706601,-4775994,-9311753,-15147512,-19222862,-29857131,-44984226,-37493455,-42555907000
84,CAPEX,- -,- -,- -,-14062,-86119,-11810,-24759,-262966,-9529,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,609464,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-12950137,-16048424,-35095083,-59731610,-57768084,-5776090,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,15835000,24922000,36659000,75645000,34800000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7806000
89,Cash Used for Investing Activites,- -,- -,- -,-14062,-13036256,-225234,-10197842,-23335576,18476851,29023910,-7806000
90,Debt Repayment,- -,- -,-104167,-1395833,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,7147,10055006,28505807,12738941,37594910,81922675,7891678,40716544,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1750729,3842337,1395833,-36236,- -,-165930,-1395833,15684055,1185482,194496391000
95,Cash Used/Provided by Financing Activities,- -,1750729,3745317,10055006,28469571,12738941,37428980,80526842,23575733,41902026,194496391000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2392760,972683,2038716,5264950,6121562,-2633805,8008276,27334135,-2931642,33432481,151932678000
98,Cash at the End of Period,250955,1223638,3262354,8527304,14648866,12015061,20023337,47357472,44425830,77858311,- -
99,Cash at the Beginning of Period,2643715,250955,1223638,3262354,8527304,14648866,12015061,20023337,47357472,44425830,77858311
100,Free Cash Flow,-2392760,-778046,-1706601,-4790056,-9397872,-15159322,-19247621,-30120097,-44993755,-37493455,-42555907000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341235/000119312515101703/0001193125-15-101703-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312516523952/0001193125-16-523952-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312517104228/0001193125-17-104228-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000119312518102077/0001193125-18-102077-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459019006997/0001564590-19-006997-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459020010493/0001564590-20-010493-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000156459021012501/0001564590-21-012501-index.htm,https://www.sec.gov/Archives/edgar/data/1341235/000095017022004111/0000950170-22-004111-index.htm
102,false,,,,,,,,,,,
