,https://roic.ai/company/TILE,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,80100000,107300000,123400000,137400000,267000000,396700000,581800000,623500000,581800000,- -,594100000,625100000,802100000,1002100000,1135300000,- -,1281100000,1283948000,1058800000,745300000,766500000,881658000,- -,1075842000,1081273000,1082344000,859888000,961827000,1057051000,932000000,960000000,1003903000,- -,1001863000,996443000,1179573000,1343029000,- -,1103262000
2,COGS,49500000,70000000,77000000,84600000,225400000,251900000,365200000,389100000,393700000,- -,404100000,427300000,522700000,684500000,755700000,- -,847700000,845319000,746300000,522100000,543300000,616297000,- -,736247000,703751000,710299000,576871000,625066000,694999000,614800000,618900000,663876000,- -,618974000,610422000,755216000,817575000,- -,692688000
3,Gross Profit,30600000,37300000,46400000,52800000,41600000,144800000,216600000,234400000,188100000,- -,190000000,197800000,279400000,317600000,379600000,- -,433400000,438629000,312500000,223200000,223200000,265361000,- -,339595000,377522000,372045000,283017000,336761000,362052000,317200000,341100000,340027000,- -,382889000,386021000,424357000,525454000,- -,410574000
4,Gross Profit Ratio,0.3820,0.3476,0.3760,0.3843,0.1558,0.3650,0.3723,0.3759,0.3233,- -,0.3198,0.3164,0.3483,0.3169,0.3344,- -,0.3383,0.3416,0.2951,0.2995,0.2912,0.3010,- -,0.3157,0.3491,0.3437,0.3291,0.3501,0.3425,0.3403,0.3553,0.3387,- -,0.3822,0.3874,0.3598,0.3912,- -,0.3721
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12400000,12600000,13900000,- -,14500000,- -,16400000,- -,- -,- -
6,General and Administrative Exp.,19100000,28200000,32600000,36200000,- -,87400000,135500000,153300000,150100000,- -,149500000,151600000,188900000,238900000,281800000,- -,318500000,297948000,259000000,175800000,185700000,- -,- -,- -,- -,- -,- -,- -,- -,219000000,239800000,243446000,- -,254796000,268878000,311049000,366404000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",19100000,28200000,32600000,36200000,- -,87400000,135500000,153300000,150100000,- -,149500000,151600000,188900000,238900000,281800000,- -,318500000,297948000,266988000,225569000,231306000,204619000,- -,241538000,246258000,258198000,218322000,240901000,268612000,231358000,252433000,257346000,- -,269296000,268878000,327449000,381604000,- -,333229000
9,Other Expenses,-0,0,2500000,3200000,8300000,11600000,17200000,21600000,-0,- -,- -,-0,28900000,-0,-0,- -,25200000,50625000,46612000,-27269000,-39506000,- -,- -,20712000,- -,- -,-5926000,- -,- -,8842000,-17933000,10475000,- -,-14500000,- -,4129000,12947000,- -,- -
10,Operating Expenses,19100000,28200000,35100000,39400000,8300000,99000000,152700000,174900000,150100000,- -,149500000,151600000,217800000,238900000,281800000,- -,343700000,348573000,313600000,198300000,191800000,204619000,- -,262250000,246258000,258198000,212396000,240901000,268612000,252600000,247100000,281721000,- -,269296000,268878000,347978000,394551000,- -,333229000
11,COGS and Expenses,68600000,98200000,112100000,124000000,233700000,350900000,517900000,564000000,543800000,- -,553600000,578900000,740500000,923400000,1037500000,- -,1191400000,1193892000,1059900000,720400000,735100000,820916000,- -,998497000,950009000,968497000,789267000,865967000,963611000,867400000,866000000,945597000,- -,888270000,879300000,1103194000,1212126000,- -,1025917000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38500000,- -,- -,42820000,- -,- -,42204000,- -,31480000,34297000,33129000,26216000,25024000,23810000,20785000,- -,6401000,7128000,15436000,25656000,- -,29244000
14,Depreciation and Amortization,- -,- -,2500000,3200000,8300000,11600000,17200000,21600000,19700000,- -,22300000,24500000,28900000,35300000,38600000,- -,42600000,50625000,47852000,35328000,37257000,33336000,- -,31163000,22487000,23664000,25189000,27927000,25179000,25882000,24670000,30677000,- -,30803000,30261000,44471000,50835000,- -,51377000
15,EBITDA,11900000,8200000,15200000,18100000,33700000,45700000,57800000,59300000,34000000,- -,40900000,45800000,57000000,78700000,99900000,- -,91700000,118964000,52000,-58572000,42177000,-18022000,- -,102175000,47257000,57311000,79756000,73833000,111353000,72010000,94880000,87204000,- -,142970000,137928000,114898000,178307000,- -,1201000
16,EBITDA ratio,0.1486,0.0764,0.1232,0.1317,0.1262,0.1152,0.0993,0.0951,0.0584,- -,0.0688,0.0733,0.0711,0.0785,0.0880,- -,0.0716,0.0927,0.0000,-0.0786,0.0550,-0.0204,- -,0.0950,0.0437,0.0530,0.0928,0.0768,0.1053,0.0773,0.0988,0.0869,- -,0.1427,0.1384,0.0974,0.1328,- -,0.0011
17,Operating Income,11500000,9100000,11300000,13400000,33300000,45800000,63900000,59500000,38000000,- -,40500000,46200000,61600000,78700000,97800000,- -,114900000,90056000,-16042000,15156000,15475000,60742000,- -,72362000,129391000,41659000,62994000,92729000,87263000,64648000,95630000,70295000,- -,113593000,109844000,76379000,130903000,- -,-39287000
18,Operating Income ratio,0.1436,0.0848,0.0916,0.0975,0.1247,0.1155,0.1098,0.0954,0.0653,- -,0.0682,0.0739,0.0768,0.0785,0.0861,- -,0.0897,0.0701,-0.0152,0.0203,0.0202,0.0689,- -,0.0673,0.1197,0.0385,0.0733,0.0964,0.0826,0.0694,0.0996,0.0700,- -,0.1134,0.1102,0.0648,0.0975,- -,-0.0356
