,https://roic.ai/company/CHCR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,187000000,190700000,211200000,209900000,143700000,84700000,60000000,51800000,34277000,29282000,32488000,39504000,46063000,39029000,17719000,18974000,27625000,32267000,27583000,24473000,23956000,37400000,35156000,14184000,35214000,71210000,68866000,3125693,535863000,438029,209519,564117,524172,300098
2,COGS,108900000,116300000,131200000,128400000,100400000,70100000,38800000,50900000,- -,- -,- -,- -,- -,- -,15801000,16108000,- -,- -,- -,- -,20562000,36790000,- -,13427000,33585000,71257000,54840000,1086000,- -,10366,47017,286332,261170,145254
3,Gross Profit,78100000,74400000,80000000,81500000,43300000,14600000,21200000,900000,- -,- -,- -,- -,- -,- -,1918000,2866000,27625000,32267000,27583000,24473000,3394000,610000,35156000,757000,1629000,-47000,14026000,2039693,535863000,427663,162502,277785,263002,154844
4,Gross Profit Ratio,0.4176,0.3901,0.3788,0.3883,0.3013,0.1724,0.3533,0.0174,- -,- -,- -,- -,- -,- -,0.1082,0.1510,1.0000,1.0000,1.0000,1.0000,0.1417,0.0163,1.0000,0.0534,0.0463,-0.0007,0.2037,0.6526,1.0000,0.9763,0.7756,0.4924,0.5017,0.5160
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,43000000,43900000,51500000,62100000,61600000,24100000,21200000,17400000,5455000,4331000,7632000,7370000,6359000,6674000,6368000,3403000,3544000,- -,- -,- -,- -,- -,3742000,18628000,11930000,- -,- -,5183825,1549814,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",43000000,43900000,51500000,62100000,61600000,24100000,21200000,17400000,5455000,4331000,7632000,7370000,6359000,6674000,6368000,3403000,3432000,3479000,3378000,3074000,3316000,4032000,3742000,18628000,11930000,11291000,6770000,5183825,1549814,3390616,3573449,4708930,1745094,2092806
9,Other Expenses,5800000,6600000,7200000,8700000,8400000,3600000,2600000,2900000,35195000,34976000,32432000,36400000,38259000,34930000,794000,656000,342000,195000,107000,96000,-1000,150000,104000,689000,769000,839000,249000,33148,25000,898,598,598,599,609
10,Operating Expenses,48800000,50500000,58700000,70800000,70000000,27700000,23800000,20300000,40650000,39307000,40064000,43770000,44618000,41604000,7162000,4059000,3774000,3674000,3485000,3170000,3315000,4182000,3846000,19317000,12699000,12130000,7019000,5216973,1574814,3391514,3574047,4709528,1745693,2093415
11,COGS and Expenses,157700000,166800000,189900000,199200000,170400000,97800000,62600000,71200000,40650000,39307000,40064000,43770000,44618000,41604000,22963000,20167000,24625000,29201000,24178000,21298000,23877000,40972000,36496000,23961000,44151000,83387000,74009000,6302973,1574814,3401880,3621064,4995860,2006863,2238669
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,50000,38000,210000,259000,406000,- -,- -,163000,88000,47000,26000,15000,78000,147000,26000,3000,1000,- -,- -,- -,- -,- -,- -,- -,- -,6050
13,Interest Expense (Gain),- -,- -,7200000,10100000,9600000,7400000,3900000,1800000,1228000,1366000,1374000,732000,172000,- -,- -,208000,178000,181000,215000,206000,186000,190000,192000,313000,1585000,- -,- -,1880955,- -,1371965,1464454,- -,- -,- -
14,Depreciation and Amortization,5800000,6600000,7200000,8700000,8400000,3600000,-2600000,-2900000,1762000,1797000,2099000,714000,827000,1037000,794000,656000,342000,195000,107000,214000,29000,154000,153000,680000,769000,839000,249000,33148,25000,898,598,598,599,98299
15,EBITDA,31200000,29300000,29300000,20600000,-61600000,-16100000,-3100000,-12500000,-4561000,-8190000,-3247000,-1692000,3033000,-3103000,-4959000,-218000,-249000,7854000,34000,204000,112000,-3047000,-5002000,-18627000,-7887000,-13172000,-6737000,7825484,-1208840,-2189551,-3071047,-5889759,4830252,-3157515
16,EBITDA ratio,0.1668,0.1536,0.1387,0.0981,-0.4287,-0.1901,-0.0517,-0.2413,-0.1331,-0.2797,-0.0999,-0.0428,0.0658,-0.0795,-0.2799,-0.0115,-0.0090,0.2434,0.0012,0.0083,0.0047,-0.0815,-0.1423,-1.3132,-0.2240,-0.1850,-0.0978,2.5036,-0.0023,-4.9986,-14.6576,-10.4407,9.2150,-10.5216
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,-6373000,-10025000,-7670000,-4461000,1445000,-3175000,-5244000,-1163000,-774000,-608000,-80000,5000,79000,-3572000,-5186000,-19311000,-11098000,-12177000,-5143000,-3177280,-1038951,-2963851,-3411545,-4431743,-1482691,-1938571
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.1859,-0.3424,-0.2361,-0.1129,0.0314,-0.0813,-0.2960,-0.0613,-0.0280,-0.0188,-0.0029,0.0002,0.0033,-0.0955,-0.1475,-1.3615,-0.3152,-0.1710,-0.0747,-1.0165,-0.0019,-6.7663,-16.2827,-7.8561,-2.8286,-6.4598
19,Total Other Income Expenses (Gains),-3900000,-1200000,-6400000,-8900000,-52900000,-14000000,-1800000,8000000,-1178000,-1328000,950000,-849000,589000,-53000,-509000,81000,5000,8086000,-208000,-221000,-182000,181000,-161000,-309000,857000,-1834000,-1843000,9088660,-194889,-598563,-1124554,-1458614,6312344,-1317243
20,Income Before Tax,25400000,22700000,14900000,1800000,-79600000,-27100000,-4400000,-11400000,-7551000,-11353000,-6720000,-5310000,2034000,-3228000,-5753000,-1082000,-769000,7478000,-288000,-216000,-103000,-3391000,-5347000,-19620000,-10241000,-14011000,-6986000,5911380,-1233840,-3562414,-4536099,-5890357,4829653,-3255814
21,Income Before Tax Ratio,0.1358,0.1190,0.0705,0.0086,-0.5539,-0.3200,-0.0733,-0.2201,-0.2203,-0.3877,-0.2068,-0.1344,0.0442,-0.0827,-0.3247,-0.0570,-0.0278,0.2318,-0.0104,-0.0088,-0.0043,-0.0907,-0.1521,-1.3832,-0.2908,-0.1968,-0.1014,1.8912,-0.0023,-8.1328,-21.6501,-10.4417,9.2139,-10.8492
22,Income Tax expense (Gain),12300000,10600000,5900000,1300000,-20300000,400000,200000,200000,301000,180000,-2478000,-341000,63000,-146000,13000,35000,1000,20000,102000,52000,78000,72000,5000,189000,229000,77000,4000,59100,- -,- -,- -,- -,- -,- -
23,Net Income,13100000,12100000,9000000,500000,-59300000,-27500000,-4600000,-11600000,-7852000,-11533000,-4242000,-2797000,1971000,-3994000,-5766000,-1117000,-770000,7458000,-390000,-268000,-181000,-3463000,-5352000,-19809000,-10470000,-14088000,-6990000,5852281,-1233840,-3562414,-4536099,-5890357,4829653,-3255814
24,Net Income ratio,0.0701,0.0635,0.0426,0.0024,-0.4127,-0.3247,-0.0767,-0.2239,-0.2291,-0.3939,-0.1306,-0.0708,0.0428,-0.1023,-0.3254,-0.0589,-0.0279,0.2311,-0.0141,-0.0110,-0.0076,-0.0926,-0.1522,-1.3966,-0.2973,-0.1978,-0.1015,1.8723,-0.0023,-8.1328,-21.6501,-10.4417,9.2139,-10.8492
25,EPS,8.70,9.00,8.80,0.50,-58.30,-22.70,-2.10,-5.30,-3.57,-5.11,-1.60,-0.92,0.56,-1.14,-1.51,-0.29,-0.20,1.91,-0.18,-0.05,-0.03,-0.45,-0.67,-0.59,-0.23,-0.25,-0.12,-0.12,-0.06,-0.06,-0.07,-0.09,0.07,-0.05
26,EPS Diluted,8.70,9.00,8.80,0.50,-58.30,-22.70,-2.10,-5.30,-3.57,-5.11,-1.60,-0.92,0.51,-1.14,-1.51,-0.29,-0.20,1.72,-0.18,-0.05,-0.03,-0.45,-0.67,-0.59,-0.23,-0.25,-0.12,-0.12,-0.06,-0.06,-0.07,-0.09,0.07,-0.05
27,Weighted Average Shares Outstanding,1505747,1344444,1022727,1000000,1017153,1015267,2190476,2188679,2235294,2256947,2651250,3073913,3373214,3551754,3818543,3818000,3860000,3905000,4284000,4935000,5808000,7697000,7954000,32292000,46156000,57031000,59270000,61589316,63063685,63063685,63063685,63063685,65362240,69161656
28,Weighted Average Shares Outstanding Diluted,1505747,1344444,1022727,1000000,1017153,1015267,2190476,2188679,2235294,2256947,2686567,3073913,3703922,3551754,3818543,3818000,3860000,4343000,4284000,4935000,5808000,7697000,7954000,32292000,46156000,57031000,59270000,61589316,63063685,63063685,63063685,63063685,65362240,69161656
