,https://roic.ai/company/EPAM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,149939000,221824000,334528000,433799000,555117000,730027000,914128000,1160132000,1450448000,1842912000,2293798000,2659478000,3758144000
2,COGS,88027000,132528000,205336000,270361000,347650000,456530000,566913000,737186000,921352000,1186921000,1488198000,1732522000,2483697000
3,Gross Profit,61912000,89296000,129192000,163438000,207467000,273497000,347215000,422946000,529096000,655991000,805600000,926956000,1274447000
4,Gross Profit Ratio,0.4129,0.4026,0.3862,0.3768,0.3737,0.3746,0.3798,0.3646,0.3648,0.3560,0.3512,0.3485,0.3391
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,85868000,116497000,163666000,222759000,264658000,324855000,373587000,457433000,484758000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,85868000,116497000,163666000,222759000,264658000,324855000,373587000,457433000,484758000,648736000
9,Other Expenses,45930000,56506000,72487000,11564000,14477000,21407000,18489000,24592000,31295000,36640000,45317000,62874000,83395000
10,Operating Expenses,45930000,56506000,72487000,97432000,130974000,185073000,241248000,289250000,356150000,410227000,502750000,547632000,732131000
11,COGS and Expenses,133957000,189034000,277823000,367793000,478624000,641603000,808161000,1026436000,1277502000,1597148000,1990948000,2280154000,3215828000
12,Interest Income ,227000,562000,1315000,- -,- -,- -,- -,- -,- -,- -,- -,3822000,- -
13,Interest Expense (Gain),185000,76000,37000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1727000
14,Depreciation and Amortization,5618000,6242000,7538000,10882000,15120000,17483000,17395000,23387000,28562000,36640000,101176000,129243000,145151000
15,EBITDA,20210000,37413000,60367000,76745000,91890000,104436000,123465000,149853000,202867000,286413000,400702000,507722000,680270000
16,EBITDA ratio,0.1348,0.1687,0.1805,0.1769,0.1655,0.1431,0.1351,0.1292,0.1399,0.1554,0.1747,0.1909,0.1810
17,Operating Income,15982000,32790000,55008000,66006000,76493000,86183000,105967000,133696000,172946000,245764000,302850000,379324000,542316000
18,Operating Income ratio,0.1066,0.1478,0.1644,0.1522,0.1378,0.1181,0.1159,0.1152,0.1192,0.1334,0.1320,0.1426,0.1443
19,Total Other Income Expenses (Gains),-1575000,-1695000,-2216000,-143000,277000,770000,103000,-7230000,1359000,4009000,-3324000,-845000,-8924000
20,Income Before Tax,14407000,31095000,52792000,65863000,76770000,86953000,106070000,126466000,174305000,249773000,299526000,378479000,533392000
21,Income Before Tax Ratio,0.0961,0.1402,0.1578,0.1518,0.1383,0.1191,0.1160,0.1090,0.1202,0.1355,0.1306,0.1423,0.1419
22,Income Tax expense (Gain),879000,2787000,8439000,11379000,14776000,17312000,21614000,27200000,101545000,9517000,38469000,51319000,51740000
23,Net Income,13528000,28308000,44353000,54484000,61994000,69641000,84456000,99266000,72760000,240256000,261057000,327160000,481652000
24,Net Income ratio,0.0902,0.1276,0.1326,0.1256,0.1117,0.0954,0.0924,0.0856,0.0502,0.1304,0.1138,0.1230,0.1282
25,EPS,0.23,0.84,0.69,1.27,1.35,1.48,1.73,1.97,1.40,4.48,4.77,5.87,8.50
26,EPS Diluted,0.22,0.79,0.63,1.17,1.28,1.40,1.62,1.87,1.32,4.24,4.53,5.60,8.14
27,Weighted Average Shares Outstanding,16719000,17056000,17094000,40190000,45754000,47189000,48721000,50309000,52077000,53623000,54719000,55727000,56649000
28,Weighted Average Shares Outstanding Diluted,18474000,19314000,20473000,43821000,48358000,49723000,51986000,53215000,54984000,56673000,57668000,58446000,59203000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1352010/000119312512143392/0001193125-12-143392-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000119312513101372/0001193125-13-101372-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201014000007/0001352010-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201015000006/0001352010-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201016000030/0001352010-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201017000006/0001352010-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201018000011/0001352010-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201019000008/0001352010-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201020000012/0001352010-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201021000010/0001352010-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201022000020/0001352010-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,52927000,54004000,88796000,118112000,169207000,220534000,199449000,362025000,582585000,770560000,936552000,1322143000,1446625000
32,Short-Term Investments,- -,- -,- -,1006000,1188000,- -,30181000,403000,- -,- -,- -,60007000,- -
33,Cash and Short-Term Investments,52927000,54004000,88796000,119118000,170395000,220534000,229630000,362428000,582585000,770560000,936552000,1382150000,1446625000
34,Net Receivables,28479000,44041000,83947000,117271000,147823000,186734000,281068000,272797000,366424000,402337000,497716000,501062000,768928000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,17313000,30202000,10820000,14566000,12750000,7819000,18237000,11326000,11024000,26171000,39943000,29570000,53927000
37,Total Current Assets,98719000,128247000,183563000,250955000,330968000,415087000,528935000,646551000,960033000,1199068000,1474211000,1912782000,2269480000
38,PP&E,23053000,25338000,35482000,53135000,53315000,55134000,60499000,73616000,86419000,102646000,404250000,398205000,421055000
39,Goodwill,9222000,10032000,8169000,22698000,22268000,57417000,115930000,109289000,119531000,166832000,195043000,211956000,530723000
40,Intangible Assets,2728000,2023000,1251000,16834000,13734000,47689000,46860000,51260000,44511000,57065000,56258000,51975000,101143000
41,Intangible Assets,11950000,12055000,9420000,39532000,36002000,105106000,162790000,160549000,164042000,223897000,251301000,263931000,631866000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1160000,2294000,1875000,6093000,4557000,11094000,18312000,31005000,24974000,69983000,75013000,92454000,143928000
44,Other Non-Current Assets,525000,2924000,5273000,1099000,8035000,7605000,8000000,14090000,14788000,16208000,39433000,53960000,56898000
45,Total Non-Current Assets,36688000,42611000,52050000,99859000,101909000,178939000,249601000,279260000,290223000,412734000,769997000,808550000,1253747000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,135407000,170858000,235613000,350814000,432877000,594026000,778536000,925811000,1250256000,1611802000,2244208000,2721332000,3523227000
48,Accounts Payable,4127000,2001000,2714000,6095000,2835000,4641000,2576000,3213000,5574000,7444000,7831000,10189000,24847000
49,Short-Term Debt,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,57542000,60759000,66122000
50,Tax Payable,6148000,7528000,8712000,14557000,14171000,24704000,29472000,25008000,40860000,67845000,33080000,55125000,27440000
51,Deferred Revenue,4417000,5151000,6949000,6369000,4543000,3220000,3047000,3319000,4498000,4558000,9132000,- -,- -
52,Other Current Liabilities,14518000,28575000,43464000,46888000,47286000,117552000,122288000,109687000,170895000,250827000,312443000,395002000,672451000
53,Total Current Liabilities,30062000,35727000,53127000,59352000,54664000,125413000,127911000,116219000,180967000,262829000,386948000,465950000,763420000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,35000000,25048000,25033000,25031000,25074000,25038000,173036000
55,Deferred Revenue,- -,- -,- -,1263000,533000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,134000,173000,283000,2691000,351000,4563000,2402000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,88677000,68709000,87144000,1228000,1228000,- -,- -,3132000,69309000,61346000,236041000,247326000,90934000
58,Total Non-Current Liabilities,88811000,68882000,87427000,5182000,2112000,4563000,37402000,28180000,94342000,86377000,261115000,272364000,263970000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238390000,241363000,192906000
61,Total Liabilities,118873000,104609000,140554000,64534000,56776000,129976000,165313000,144399000,275309000,349206000,648063000,738314000,1027390000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,17000,17000,17000,44000,46000,48000,49000,50000,53000,54000,55000,56000,57000
64,Retained Earnings,20842000,47718000,74508000,128992000,190986000,260598000,345054000,444320000,518820000,759533000,1020590000,1347880000,1829532000
65,Other Comprehensive Income/Loss,-1867000,-2264000,-3514000,-1021000,-1832000,-22054000,-35150000,-37688000,-17623000,-41514000,-31374000,-25512000,-54207000
66,Other Total Stockholders Equity,-2458000,20778000,24048000,158265000,186901000,225458000,303270000,374730000,473697000,544523000,606874000,660594000,- -
67,Total Stockholders Equity,16534000,66249000,95059000,286280000,376101000,464050000,613223000,781412000,974947000,1262596000,1596145000,1983018000,2487117000
68,Total Liabilities And Stockholders Equity,135407000,170858000,235613000,350814000,432877000,594026000,778536000,925811000,1250256000,1611802000,2244208000,2721332000,3514507000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8720000
70,Total Liabilities & Equity,135407000,170858000,235613000,350814000,432877000,594026000,778536000,925811000,1250256000,1611802000,2244208000,2721332000,3523227000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1352010/000119312512143392/0001193125-12-143392-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000119312513101372/0001193125-13-101372-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201014000007/0001352010-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201015000006/0001352010-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201016000030/0001352010-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201017000006/0001352010-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201018000011/0001352010-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201019000008/0001352010-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201020000012/0001352010-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201021000010/0001352010-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1352010/000135201022000020/0001352010-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,13528000,28308000,44353000,54484000,61994000,69641000,84456000,99266000,72760000,240256000,261057000,327160000,481652000
74,Depreciation and Amortization,5618000,6242000,7538000,10882000,15120000,17483000,17395000,23387000,28562000,36640000,101176000,129243000,145151000
75,Deferred Income Tax,-2671000,-2704000,497000,-3933000,41000,-3270000,-15328000,-3304000,12561000,-48000000,-7764000,-19994000,-46900000
76,Stock Based Compensation,2411000,2939000,2866000,6826000,13150000,24620000,45833000,49244000,52407000,59188000,72036000,75238000,111655000
77,Change in Working Capital,3246000,23863000,37916000,61167000,84701000,13370000,111350000,129308000,248734000,157173000,151024000,359569000,59228000
78,Accounts Receivable,-2240000,-13791000,-19030000,-12664000,-17302000,-30410000,-47694000,-30612000,-58745000,-31005000,- -,- -,-211684000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1536000,-2646000,254000,1407000,-2900000,-2603000,-2781000,741000,1221000,-772000,-1685000,2428000,-2403000
81,Other Working Capital,68657000,92520000,130436000,191603000,276304000,289674000,401024000,530332000,779066000,936239000,1087263000,1446832000,1506060000
82,Other Non-Cash Items,3980000,-38175000,-38650000,-80927000,-116781000,-16970000,-167313000,-133084000,-219660000,-153039000,-290076000,-326809000,-178459000
83,Cash Provided by Operating Activities,26112000,20473000,54520000,48499000,58225000,104874000,76393000,164817000,195364000,292218000,287453000,544407000,572327000
84,CAPEX,-1049000,-8365000,-17093000,-27077000,-15920000,-15840000,-17964000,-29317000,-29806000,-37574000,-99308000,-68793000,-111501000
85,Acquisitions Net,- -,-412000,- -,-32951000,-20000,-37093000,-76908000,-5500000,-6840000,-74268000,-39322000,-18888000,-314958000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-165000,- -,- -,- -,- -,-140500000,-2544000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,418000,- -,60009000,- -
88,Other Investing Activites,-7981000,-2049000,-315000,401000,-5880000,4000,-30457000,25495000,473000,-699000,-6739000,1018000,60079000
89,Cash Used for Investing Activites,-9030000,-10826000,-17408000,-59627000,-21820000,-52929000,-125494000,-9322000,-36173000,-112123000,-145369000,-167154000,-368924000
90,Debt Repayment,- -,- -,-5000000,- -,- -,- -,- -,-30129000,-25103000,-3494000,-9000,-18000,-31054000
91,Common Stock Issued,- -,- -,- -,32364000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-540000,-16040000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7000000,7997000,3442000,6483000,15501000,10347000,33764000,40596000,74849000,26495000,20372000,-747000,-28503000
95,Cash Used/Provided by Financing Activities,6460000,-8043000,-1558000,38847000,15501000,10347000,33764000,10467000,49746000,23001000,20363000,-765000,-59557000
