,https://roic.ai/company/AYRWF,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,722567,75195556,155114454,357608311
2,COGS,- -,48938694,52012991,219510034
3,Gross Profit,- -,26256862,103101463,138098277
4,Gross Profit Ratio,- -,0.3492,0.6647,0.3862
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,7977363,46005694,63141444,136744916
7,Selling and Marketing Exp.,- -,1345009,2150536,7699986
8,"Selling, General and Administrative Exp.",7977363,47350703,65291980,144444902
9,Other Expenses,- -,10297188,18180512,40658919
10,Operating Expenses,7977363,57647891,83472492,185103821
11,COGS and Expenses,7977363,106586585,135485483,404613855
12,Interest Income ,- -,404835,10112,203587
13,Interest Expense (Gain),- -,3035492,4115775,16549836
14,Depreciation and Amortization,- -,10310237,18436700,58834109
15,EBITDA,-36508089,-145998384,-129414814,87692405
16,EBITDA ratio,-50.5255,-1.9416,-0.8343,0.2452
17,Operating Income,- -,-37467213,16117080,-56007227
18,Operating Income ratio,- -,-0.4983,0.1039,-0.1566
19,Total Other Income Expenses (Gains),-29253293,-121876900,-168084369,68315687
20,Income Before Tax,-36508089,-159344113,-151967289,12308460
21,Income Before Tax Ratio,-50.5255,-2.1191,-0.9797,0.0344
22,Income Tax expense (Gain),- -,4835491,24365369,29260911
23,Net Income,-36508089,-164179604,-176332658,-16952451
24,Net Income ratio,-50.5255,-2.1834,-1.1368,-0.0474
25,EPS,-12.36,-9.43,-6.32,-0.30
26,EPS Diluted,-12.36,-9.43,-6.32,-0.30
27,Weighted Average Shares Outstanding,2953407,17404742,27892441,57329350
28,Weighted Average Shares Outstanding Diluted,2953407,17404742,27892441,57329350
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,544297,8403196,127238165,154342201
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,544297,8403196,127238165,154342201
34,Net Receivables,- -,2706239,3599401,7412906
35,Inventory,- -,16653984,40327793,93362985
36,Other Current Assets,235583,2163329,5270381,10949349
37,Total Current Assets,779879,29926748,176435740,266067441
38,PP&E,- -,49468278,91708145,381469374
39,Goodwill,- -,84837304,92321934,229909562
40,Intangible Assets,- -,189802136,252357676,978915457
41,Intangible Assets,- -,274639440,344679610,1208825019
42,Investments,- -,427399,503509,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,105017426,638394,2540675,3550039
45,Total Non-Current Assets,105017426,325173511,439431939,1593844432
46,Other Assets,- -,- -,- -,- -
47,Total Assets,105797305,355100259,615867679,1859911873
48,Accounts Payable,555946,6806053,8899786,26983181
49,Short-Term Debt,- -,7716678,9510937,15492855
50,Tax Payable,- -,5202943,21585523,28914949
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,598893,20158508,39345393,109859983
53,Total Current Liabilities,1154839,34681239,57756116,152336019
54,Long-Term Debt,- -,50400128,181104970,468326945
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,41077761,47935998,70081319
57,Other Non-Current Liabilities,139379965,60346766,178212178,149104886
58,Total Non-Current Liabilities,139379965,151824655,407253146,687513150
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,14121145,24730363,104554367
61,Total Liabilities,140534804,186505894,465009262,839849169
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,1770590,382210006,518992215,- -
64,Retained Earnings,-36508089,-245515007,-421847665,-265201961
65,Other Comprehensive Income/Loss,- -,3265610,-5765218,3265610
66,Other Total Stockholders Equity,- -,- -,59479085,- -
67,Total Stockholders Equity,-34737499,168594365,150858417,1020062704
68,Total Liabilities And Stockholders Equity,105797305,355100259,615867679,1859911873
69,Minority Interest,0,- -,- -,- -
70,Total Liabilities & Equity,105797305,355100259,615867679,1859911873
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-36508089,-164179604,-176332658,-16952451
74,Depreciation and Amortization,- -,10310237,18436700,58834109
75,Deferred Income Tax,- -,-3892570,2388608,-16559339
76,Stock Based Compensation,- -,28879225,31156759,27155214
77,Change in Working Capital,919257,-561806,9024199,-41609613
78,Accounts Receivable,- -,-1308328,-843162,-3916018
79,Inventory,- -,-5809848,-8876748,-50956053
80,Accounts Payable,555946,2992073,1616253,-1429713
81,Other Working Capital,- -,- -,- -,1446358
82,Other Non-Cash Items,35597867,133018277,151838055,-38648998
83,Cash Provided by Operating Activities,9035,3573759,36511663,-27781078
84,CAPEX,- -,-14417635,-14767690,-100002729
85,Acquisitions Net,- -,-75761213,-47429759,-118561067
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-104294858,95417898,-450000,-1065000
89,Cash Used for Investing Activites,-104294858,5239050,-62247449,-219628796
90,Debt Repayment,- -,-3643207,-7172670,-15698222
91,Common Stock Issued,106343511,- -,- -,118052400
92,Common Stock Repurchased,- -,-319193,-311430,-1815323
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,-1513399,2460150,152054855,173975055
95,Cash Used/Provided by Financing Activities,104830113,-1502250,144570755,274513910
96,Effect of Forex Changes on Cash,- -,982685,- -,- -
97,Net Change In Cash,544289,8293244,118834969,27104036
98,Cash at the End of Period,544297,8403196,127238165,154342201
99,Cash at the Beginning of Period,8,109952,8403196,127238165
100,Free Cash Flow,9035,-10843876,21743973,-127783807
101,SEC Link,- -,- -,- -,- -
102,false,,,,
