,https://roic.ai/company/RCM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,240725000,398469000,510192000,606294000,826276000,72254000,504768000,210140000,117239000,592557000,449800000,868500000,1186100000,1270800000,1474600000
2,COGS,197676000,335211000,410711000,478276000,630449000,188666000,186752000,182144000,168977000,199697000,416300000,770600000,987800000,1021100000,1162800000
3,Gross Profit,43049000,63258000,99481000,128018000,195827000,-116412000,318016000,27996000,-51738000,392860000,33500000,97900000,198300000,249700000,311800000
4,Gross Profit Ratio,0.1788,0.1588,0.1950,0.2111,0.2370,-1.6111,0.6300,0.1332,-0.4413,0.6630,0.0745,0.1127,0.1672,0.1965,0.2114
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,105700000,147772000,- -,79951000,69883000,74963000,74137000,56300000,97900000,104400000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,105700000,147772000,- -,79951000,69883000,74963000,74137000,56300000,97900000,104400000,- -,120000000
9,Other Expenses,43529000,60461000,81916000,- -,- -,67750000,- -,- -,- -,- -,- -,4000000,9800000,102400000,- -
10,Operating Expenses,43529000,60461000,81916000,105700000,147772000,67750000,79951000,69883000,74963000,74137000,56300000,101900000,114200000,102400000,120000000
11,COGS and Expenses,241205000,395672000,492627000,583976000,778221000,256416000,266703000,252027000,243940000,273834000,472600000,872500000,1102000000,1123500000,1282800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17300000,18900000
14,Depreciation and Amortization,1307000,2540000,3921000,6157000,8312000,6355000,6823000,6047000,8462000,10198000,16300000,38800000,55700000,68700000,77500000
15,EBITDA,2537000,6047000,21477000,28504000,56389000,-181380000,211255000,-122304000,-127351000,308396000,-11000000,-17900000,65500000,204400000,223200000
16,EBITDA ratio,0.0105,0.0152,0.0421,0.0470,0.0682,-2.5103,0.4185,-0.5820,-1.0863,0.5204,-0.0245,-0.0206,0.0552,0.1608,0.1514
17,Operating Income,-480000,2797000,17565000,22318000,48055000,-187876000,204102000,-128653000,-136044000,297901000,-27500000,-30400000,57700000,80000000,145700000
18,Operating Income ratio,-0.0020,0.0070,0.0344,0.0368,0.0582,-2.6002,0.4043,-0.6122,-1.1604,0.5027,-0.0611,-0.0350,0.0486,0.0630,0.0988
19,Total Other Income Expenses (Gains),1710000,710000,-9000,29000,22000,141000,330000,302000,231000,297000,200000,-26300000,-47900000,38400000,-18900000
20,Income Before Tax,1230000,3507000,17556000,22347000,48077000,-187735000,204432000,-128351000,-135813000,298198000,-27300000,-56700000,9800000,118400000,126800000
21,Income Before Tax Ratio,0.0051,0.0088,0.0344,0.0369,0.0582,-2.5983,0.4050,-0.6108,-1.1584,0.5032,-0.0607,-0.0653,0.0083,0.0932,0.0860
22,Income Tax expense (Gain),456000,2264000,2966000,9729000,18913000,-67995000,74349000,-48731000,-51557000,121127000,31500000,-11400000,-2200000,1300000,29600000
23,Net Income,774000,1243000,14590000,12618000,29164000,-119740000,130083000,-79620000,-84256000,177071000,-58800000,-45300000,12000000,117100000,97200000
24,Net Income ratio,0.0032,0.0031,0.0286,0.0208,0.0353,-1.6572,0.2577,-0.3789,-0.7187,0.2988,-0.1307,-0.0522,0.0101,0.0921,0.0659
25,EPS,0.02,-0.18,0.18,0.18,0.30,-1.21,1.36,-0.83,-0.87,0.65,-0.75,-0.60,-0.08,0.41,-1.86
