,https://roic.ai/company/TDC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,1203000000,1349000000,1467000000,1547000000,1702000000,1762000000,1709000000,1936000000,2362000000,2665000000,2692000000,2732000000,2530000000,2322000000,2156000000,2164000000,1899000000,1836000000,1917000000
2,COGS,- -,- -,672000000,718000000,786000000,813000000,771000000,848000000,1069000000,1174000000,1219000000,1253000000,1254000000,1134000000,1134000000,1138000000,944000000,817000000,731000000
3,Gross Profit,- -,- -,795000000,829000000,916000000,949000000,938000000,1088000000,1293000000,1491000000,1473000000,1479000000,1276000000,1188000000,1022000000,1026000000,955000000,1019000000,1186000000
4,Gross Profit Ratio,- -,- -,0.5419,0.5359,0.5382,0.5386,0.5489,0.5620,0.5474,0.5595,0.5472,0.5414,0.5043,0.5116,0.4740,0.4741,0.5029,0.5550,0.6187
5,Research and Development Exp.,- -,- -,120000000,117000000,126000000,108000000,117000000,147000000,174000000,183000000,184000000,206000000,228000000,212000000,306000000,317000000,327000000,334000000,309000000
6,General and Administrative Exp.,- -,- -,- -,- -,470000000,508000000,483000000,526000000,663000000,728000000,757000000,770000000,765000000,664000000,652000000,- -,618000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,470000000,508000000,483000000,526000000,663000000,728000000,757000000,770000000,765000000,664000000,652000000,- -,618000000,- -,646000000
9,Other Expenses,- -,- -,391000000,410000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,666000000,- -,669000000,- -
10,Operating Expenses,- -,- -,511000000,527000000,596000000,616000000,600000000,673000000,837000000,911000000,941000000,976000000,993000000,876000000,958000000,983000000,945000000,1003000000,955000000
11,COGS and Expenses,- -,- -,1183000000,1245000000,1382000000,1429000000,1371000000,1521000000,1906000000,2085000000,2160000000,2229000000,2247000000,2010000000,2092000000,2121000000,1889000000,1820000000,1686000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,14000000,12000000,4000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,12000000,15000000,22000000,26000000,27000000,- -
14,Depreciation and Amortization,- -,- -,55000000,55000000,68000000,60000000,63000000,60000000,102000000,126000000,147000000,169000000,170000000,128000000,138000000,130000000,150000000,172000000,149000000
15,EBITDA,56000000,77000000,339000000,357000000,390000000,398000000,397000000,474000000,583000000,704000000,655000000,663000000,35000000,361000000,211000000,179000000,163000000,175000000,341000000
16,EBITDA ratio,0.0466,0.0571,0.2311,0.2308,0.2291,0.2259,0.2323,0.2448,0.2468,0.2642,0.2433,0.2427,0.0138,0.1555,0.0979,0.0827,0.0858,0.0953,0.1779
17,Operating Income,124000000,199000000,284000000,302000000,320000000,333000000,338000000,415000000,456000000,580000000,532000000,503000000,-195000000,232000000,64000000,43000000,10000000,16000000,231000000
18,Operating Income ratio,0.1031,0.1475,0.1936,0.1952,0.1880,0.1890,0.1978,0.2144,0.1931,0.2176,0.1976,0.1841,-0.0771,0.0999,0.0297,0.0199,0.0053,0.0087,0.1205
19,Total Other Income Expenses (Gains),-68000000,-122000000,- -,- -,2000000,5000000,-4000000,-1000000,25000000,-2000000,-24000000,-9000000,51000000,-11000000,-6000000,-16000000,-23000000,-40000000,-39000000
20,Income Before Tax,56000000,77000000,284000000,302000000,322000000,338000000,334000000,414000000,481000000,578000000,508000000,494000000,-144000000,221000000,58000000,27000000,-13000000,-24000000,192000000
21,Income Before Tax Ratio,0.0466,0.0571,0.1936,0.1952,0.1892,0.1918,0.1954,0.2138,0.2036,0.2169,0.1887,0.1808,-0.0569,0.0952,0.0269,0.0125,-0.0068,-0.0131,0.1002
22,Income Tax expense (Gain),-34000000,-61000000,78000000,110000000,122000000,88000000,80000000,113000000,128000000,159000000,131000000,127000000,70000000,96000000,125000000,-3000000,7000000,-153000000,45000000
23,Net Income,90000000,138000000,206000000,192000000,200000000,250000000,254000000,301000000,353000000,419000000,377000000,367000000,-214000000,125000000,-67000000,30000000,-20000000,129000000,147000000
24,Net Income ratio,0.0748,0.1023,0.1404,0.1241,0.1175,0.1419,0.1486,0.1555,0.1494,0.1572,0.1400,0.1343,-0.0846,0.0538,-0.0311,0.0139,-0.0105,0.0703,0.0767
25,EPS,0.50,0.76,1.14,1.06,1.11,1.40,1.48,1.80,2.10,2.49,2.31,2.36,-0.89,0.96,-0.53,0.25,-0.21,1.18,1.34
26,EPS Diluted,0.50,0.76,1.14,1.06,1.10,1.39,1.46,1.77,2.05,2.44,2.27,2.33,-0.89,0.95,-0.53,0.25,-0.21,1.16,1.32
27,Weighted Average Shares Outstanding,180000000,181578947,180700000,180700000,180800000,178100000,171900000,167400000,168100000,168200000,163400000,155400000,139600000,129700000,125800000,119200000,114200000,109300000,109300000
28,Weighted Average Shares Outstanding Diluted,180000000,181578947,180700000,180700000,181300000,179800000,173900000,170400000,171900000,171700000,166400000,157800000,139600000,131500000,125800000,121200000,114200000,111600000,111600000
