,https://roic.ai/company/CE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3837000000,3704000000,4603000000,3826000000,6070000000,6656000000,6444000000,6823000000,5082000000,5918000000,6763000000,6418000000,6510000000,6802000000,5674000000,5389000000,6140000000,7155000000,6297000000,5655000000,8537000000
2,COGS,3277000000,- -,3883000000,3092000000,4773000000,5214000000,4999000000,5567000000,4079000000,4738000000,5329000000,5226000000,5145000000,5186000000,4356000000,3984000000,4625000000,5183000000,4691000000,4362000000,5855000000
3,Gross Profit,560000000,- -,720000000,734000000,1297000000,1442000000,1445000000,1256000000,1003000000,1180000000,1434000000,1192000000,1365000000,1616000000,1318000000,1405000000,1515000000,1972000000,1606000000,1293000000,2682000000
4,Gross Profit Ratio,0.1459,- -,0.1564,0.1918,0.2137,0.2166,0.2242,0.1841,0.1974,0.1994,0.2120,0.1857,0.2097,0.2376,0.2323,0.2607,0.2467,0.2756,0.2550,0.2286,0.3142
5,Research and Development Exp.,72000000,- -,89000000,67000000,91000000,70000000,73000000,80000000,75000000,70000000,96000000,102000000,85000000,86000000,119000000,78000000,72000000,72000000,67000000,74000000,86000000
6,General and Administrative Exp.,481000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",481000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633000000
9,Other Expenses,378000000,- -,513000000,497000000,538000000,610000000,619000000,736000000,638000000,607000000,646000000,558000000,343000000,769000000,517000000,425000000,476000000,570000000,507000000,504000000,25000000
10,Operating Expenses,931000000,- -,602000000,564000000,629000000,680000000,692000000,816000000,713000000,677000000,742000000,660000000,428000000,855000000,636000000,503000000,548000000,642000000,574000000,578000000,744000000
11,COGS and Expenses,4208000000,- -,4485000000,3656000000,5402000000,5894000000,5691000000,6383000000,4792000000,5415000000,6071000000,5886000000,5573000000,6041000000,4992000000,4487000000,5173000000,5825000000,5265000000,4940000000,6599000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,8000000,7000000,3000000,2000000,1000000,1000000,1000000,2000000,2000000,6000000,6000000,6000000,8000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,207000000,204000000,221000000,185000000,172000000,147000000,119000000,120000000,122000000,125000000,115000000,109000000,91000000
14,Depreciation and Amortization,326000000,240000000,294000000,282000000,327000000,296000000,311000000,360000000,77000000,61000000,62000000,320000000,319000000,298000000,363000000,295000000,310000000,349000000,356000000,356000000,378000000
15,EBITDA,-136000000,408000000,502000000,99000000,661000000,955000000,847000000,705000000,529000000,754000000,1039000000,1158000000,2100000000,1383000000,987000000,1437000000,1488000000,1973000000,1447000000,2697000000,2689000000
16,EBITDA ratio,-0.0354,0.1102,0.1091,0.0259,0.1089,0.1435,0.1314,0.1033,0.1041,0.1274,0.1536,0.1804,0.3226,0.2033,0.1740,0.2667,0.2423,0.2758,0.2298,0.4769,0.3150
17,Operating Income,-371000000,153000000,118000000,78000000,561000000,747000000,748000000,440000000,290000000,503000000,690000000,511000000,1508000000,758000000,326000000,893000000,901000000,1334000000,834000000,664000000,1946000000
