,https://roic.ai/company/CNSL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,115600000,109900000,132300000,269608000,321429000,320767000,329248000,418424000,406167000,383366000,374263000,503457000,601577000,635738000,775737000,743177000,1059574000,1399074000,1336542000,1304028000,1282233000
2,COGS,38900000,35800000,46300000,80572000,101159000,98093000,107290000,143563000,145460000,142302000,139264000,193743000,222452000,242661000,328400000,322792000,446065000,611872000,574936000,560644000,569629000
3,Gross Profit,76700000,74100000,86000000,189036000,220270000,222674000,221958000,274861000,260707000,241064000,234999000,309714000,379125000,393077000,447337000,420385000,613509000,787202000,761606000,743384000,712604000
4,Gross Profit Ratio,0.6635,0.6742,0.6500,0.7012,0.6853,0.6942,0.6741,0.6569,0.6419,0.6288,0.6279,0.6152,0.6302,0.6183,0.5767,0.5657,0.5790,0.5627,0.5698,0.5701,0.5558
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,36000000,35600000,42500000,87955000,98791000,94693000,89662000,108769000,104774000,88025000,83699000,111617000,135414000,140636000,178227000,157111000,249332000,333605000,299088000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",36000000,35600000,42500000,87955000,98791000,94693000,89662000,108769000,104774000,88025000,83699000,111617000,135414000,140636000,178227000,157111000,249332000,333605000,299088000,- -,271125000
9,Other Expenses,31800000,24600000,22500000,66100000,67379000,78670000,65659000,97728000,85227000,87142000,88745000,120976000,139274000,149435000,179922000,174010000,291873000,432668000,381237000,600225000,- -
10,Operating Expenses,67800000,60200000,65000000,154055000,166170000,173363000,155321000,206497000,190001000,175167000,172444000,232593000,274688000,290071000,358149000,331121000,541205000,766273000,680325000,600225000,271125000
11,COGS and Expenses,106700000,96000000,111300000,234627000,267329000,271456000,262611000,350060000,335461000,317469000,311708000,426336000,497140000,532732000,686549000,653913000,987270000,1378145000,1255261000,1160869000,840754000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,56000,- -,142000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,57991000,50740000,49536000,- -,- -,- -,- -,- -,- -,- -,- -,143591000,-175195000
14,Depreciation and Amortization,31800000,24600000,22500000,54522000,67379000,70690000,79110000,91678000,85227000,87142000,88745000,120976000,139274000,149435000,179922000,174010000,291873000,432668000,381237000,324864000,300597000
15,EBITDA,44700000,32600000,31700000,53611000,73852000,84362000,95207000,110821000,180522000,179468000,179536000,128052000,187597000,177529000,181816000,211903000,231891000,357707000,357140000,516368000,24988000
16,EBITDA ratio,0.3867,0.2966,0.2396,0.1988,0.2298,0.2630,0.2892,0.2649,0.4445,0.4681,0.4797,0.2543,0.3118,0.2792,0.2344,0.2851,0.2189,0.2557,0.2672,0.3960,0.0195
17,Operating Income,8900000,13900000,21000000,34981000,54100000,49311000,66637000,68364000,70706000,65897000,62555000,53398000,103661000,91189000,87775000,87440000,38654000,18969000,81281000,135513000,135178000
18,Operating Income ratio,0.0770,0.1265,0.1587,0.1297,0.1683,0.1537,0.2024,0.1634,0.1741,0.1719,0.1671,0.1061,0.1723,0.1434,0.1132,0.1177,0.0365,0.0136,0.0608,0.1039,0.1054
