,https://roic.ai/company/PLL,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,46830502,51761692,50267265,50473224,47928872,62907457,68305103,86238424,59610689,51367928,68507764,64656397,51292336,40814098,27852869,20069775,- -,520169,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23531483,20438577,15737272,12279156,- -,299225,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,46830502,51761692,50267265,50473224,47928872,62907457,68305103,86238424,59610689,51367928,68507764,64656397,27760853,20375521,12115597,7790619,- -,220944,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5412,0.4992,0.4350,0.3882,- -,0.4248,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1207907,- -,- -,- -
6,General and Administrative Exp.,- -,- -,931784,949436,1454232,1953893,1760591,1875039,- -,1324783,1405856,- -,18324378,14703862,8851036,9616097,80062,346430,1276786,942399,744435,508583,944018,887313,678482,663966,421516,214652,1330515,4120342,3069135,2926857,8861454
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1219578,737602,- -,132000,602142,423897,307088,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,931784,949436,1454232,1953893,1760591,1875039,- -,1324783,1405856,- -,18324378,14703862,10070614,10353700,80062,478430,1878928,1366296,1051523,508583,944018,887313,678482,663966,421516,214652,1330515,4120342,3069135,2926857,8861454
9,Other Expenses,1495659,1806111,2007746,1862268,1600524,1805561,2016264,2495590,2337674,4487749,5771619,626903,9296653,1553879,4556909,7713013,- -,114982,405327,4126083,2256334,863476,883125,1227707,2007874,2370326,509788,183566,1391648,4814858,7115958,3425337,10874502
10,Operating Expenses,1495659,1806111,2939530,2811704,3054756,3759453,3776855,4370629,2337674,5812531,7177474,- -,27621031,16257741,14627523,18066713,80062,593412,2284255,5492380,3307857,1372059,1827143,2115020,2686356,3034292,931304,398217,2722164,10143107,10185093,6352194,19735956
11,COGS and Expenses,1495659,1806111,2939530,2811704,3054756,3759453,3776855,4370629,2337674,5812531,7177474,- -,51152513,36696318,30364795,30345869,80062,892637,2284255,5492380,3307857,1372059,1827143,2115020,2686356,3034292,931304,398217,2722164,10143107,10185093,6352194,19735956
12,Interest Income ,- -,- -,- -,- -,79492,154178,254963,159075,463465,135334,56074,- -,42865,26461,9433,89491,3812,60481,135335,642421,335910,192676,608579,542889,315785,180259,54614,39995,34563,132752,128377,215549,- -
13,Interest Expense (Gain),685542,358525,256912,233811,87508,91338,177551,420525,240399,226591,457270,210162,490909,188605,188664,407604,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157271,- -
