,https://roic.ai/company/BEAT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,7923000,22231000,30937728,33922801,72992186,120454000,140621000,119924000,119022000,111494000,129501000,166578000,178513000,208332000,286776000,399472000,- -,- -,- -
2,COGS,5664000,16971000,- -,12700998,25526418,39913000,48688000,47492000,49076000,45593000,50431000,73114000,71956000,78882000,114406000,148986000,- -,- -,- -
3,Gross Profit,2259000,5260000,- -,21221803,47465768,80541000,91933000,72432000,69946000,65901000,79070000,93464000,106557000,129450000,172370000,250486000,- -,- -,- -
4,Gross Profit Ratio,0.2851,0.2366,- -,0.6256,0.6503,0.6686,0.6538,0.6040,0.5877,0.5911,0.6106,0.5611,0.5969,0.6214,0.6011,0.6270,- -,- -,- -
5,Research and Development Exp.,4438000,2412000,- -,3630819,3781991,3999000,5810000,4897000,5698000,4664000,7338000,7396000,7111000,8355000,11101000,11206000,41000,133000,255
6,General and Administrative Exp.,- -,- -,- -,- -,- -,41917000,39153000,34657000,35011000,33422000,37061000,45800000,47932000,56596000,88597000,112427000,- -,- -,2030
7,Selling and Marketing Exp.,3527000,7695000,- -,- -,- -,21111000,34656000,29338000,27821000,25604000,26275000,28805000,27936000,28636000,35322000,42849000,- -,- -,- -
8,"Selling, General and Administrative Exp.",3527000,7695000,- -,- -,- -,63028000,73809000,63995000,62832000,59026000,63336000,74605000,75868000,85232000,123919000,155276000,253000,655000,2030
9,Other Expenses,7020000,15252000,- -,22078900,43442166,-1057000,19982000,18578000,12080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,14985000,25359000,- -,25709719,47224157,65970000,99601000,87470000,80610000,63690000,70674000,82001000,82979000,93587000,135020000,166482000,294000,788000,2285
11,COGS and Expenses,20649000,42330000,- -,38410717,72750575,105883000,148289000,134962000,129686000,109283000,121105000,155115000,154935000,172469000,249426000,315468000,294000,788000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,170000,12000,3000,- -,299000,- -,- -,- -,- -,4897000,9429000,242000,280000,-2165
14,Depreciation and Amortization,- -,- -,- -,2656291,4549025,8693000,10937000,12071000,12132000,9378000,12318000,12550000,12488000,14269000,28561000,40168000,- -,- -,- -
15,EBITDA,-12680000,-20947000,-11463257,-4988441,4190954,19551000,-9522000,-7524000,-49046000,-3430000,5214000,444000,20384000,30039000,24249000,92047000,-294000,-788000,-2285
16,EBITDA ratio,-1.6004,-0.9422,-0.3705,-0.1471,0.0574,0.1623,-0.0677,-0.0627,-0.4121,-0.0308,0.0403,0.0027,0.1142,0.1442,0.0846,0.2304,-Infinity,-Infinity,-Infinity
17,Operating Income,-12726000,-20099000,30937728,-4487916,241611,14571000,-7668000,-15038000,-10664000,2211000,8396000,11463000,23578000,35863000,37350000,84004000,-294000,-788000,-2285
18,Operating Income ratio,-1.6062,-0.9041,1.0000,-0.1323,0.0033,0.1210,-0.0545,-0.1254,-0.0896,0.0198,0.0648,0.0688,0.1321,0.1721,0.1302,0.2103,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-3883000,-12803000,-4560000,-50514000,-15318000,-15500000,-23569000,-15682000,-20093000,-47746000,-42500000,-242000,-280000,-2143
20,Income Before Tax,- -,- -,- -,- -,- -,10688000,-20471000,-19598000,-61178000,-13107000,-7104000,-12106000,7896000,15770000,-10396000,41504000,-536000,-1068000,-4428
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.0887,-0.1456,-0.1634,-0.5140,-0.1176,-0.0549,-0.0727,0.0442,0.0757,-0.0363,0.1039,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,1483000,5000,262000,244000,-905000,215000,-2313000,468000,-37667000,6747000,-370000,- -,- -,- -
23,Net Income,-12680000,-20947000,-11463257,-7644732,-358071,9205000,-20476000,-19860000,-61422000,-12202000,-7319000,-9793000,7428000,53437000,-15956000,42820000,-536000,-1068000,-4428
24,Net Income ratio,-1.6004,-0.9422,-0.3705,-0.2254,-0.0049,0.0764,-0.1456,-0.1656,-0.5161,-0.1094,-0.0565,-0.0588,0.0416,0.2565,-0.0556,0.1072,-Infinity,-Infinity,-Infinity
25,EPS,-5.23,-7.33,-4.04,-2.63,-0.12,0.36,-0.86,-0.82,-2.51,-0.49,-0.29,-0.37,0.27,1.91,-0.53,1.31,-0.07,-0.14,-0.00
26,EPS Diluted,-5.23,-7.33,-4.04,-2.63,-0.12,0.29,-0.86,-0.82,-2.51,-0.49,-0.29,-0.37,0.26,1.75,-0.53,1.20,-0.07,-0.14,-0.00
27,Weighted Average Shares Outstanding,2423072,2856072,2837772,2908360,2908360,18349000,23771000,24109000,24425000,24934000,25543646,26445000,27116000,27920000,30386000,32709000,7754900,7754900,7754900
28,Weighted Average Shares Outstanding Diluted,2423072,2856072,2837772,2908360,2908360,22659000,23771000,24109000,24425000,24934000,25543646,26445000,29089000,30489000,30386000,35783000,7754900,7754900,7754900
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1574774/000104746914001401/0001047469-14-001401-index.htm,https://www.sec.gov/Archives/edgar/data/1574774/000104746915001062/a2223115z10-k.htm,https://www.sec.gov/Archives/edgar/data/1574774/000104746916010284/0001047469-16-010284-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000104746917000837/0001047469-17-000837-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000157477418000014/0001574774-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000157477419000018/0001574774-19-000018-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1779372/000177937222000011/0001779372-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10106000,5718000,- -,3909150,18090636,58171000,49152000,18705000,18531000,18298000,22151000,20007000,18986000,23052000,36022000,80889000,5000,24000,13192
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,26779000,27953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10106000,5718000,- -,3909150,18090636,58171000,49152000,45484000,46484000,18298000,22151000,20007000,18986000,23052000,36022000,80889000,5000,24000,13192
34,Net Receivables,- -,- -,- -,10496607,22853958,39431000,40885000,28019000,22592000,20307000,17117000,24546000,24176000,26855000,38486000,52628000,- -,- -,- -
