,https://roic.ai/company/GRVY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,405000000,- -,9489916960,46040000000,62255000000,52819026699,39072119104,40251872745,53170000000,57403000000,52362000000,57477000000,57781000000,47685000000,39889000000,35660000000,51396000000,141623000000,286770000000,360967000000,405953000000,413937974000
2,COGS,336000000,- -,1186239620,7450000000,9959000000,15867892481,16927171065,19489700416,27772000000,21170000000,20873000000,24243000000,34906000000,35399000000,34188000000,30282000000,29995000000,94234000000,210044000000,265788000000,239045000000,224172902000
3,Gross Profit,69000000,- -,8303677340,38590000000,52296000000,36951134219,22144948039,20762172329,25398000000,36233000000,31489000000,33234000000,22875000000,12286000000,5701000000,5378000000,21401000000,47389000000,76726000000,95179000000,166908000000,189765072000
4,Gross Profit Ratio,0.1704,- -,0.8750,0.8382,0.8400,0.6996,0.5668,0.5158,0.4777,0.6312,0.6014,0.5782,0.3959,0.2576,0.1429,0.1508,0.4164,0.3346,0.2676,0.2637,0.4112,0.4584
5,Research and Development Exp.,208000000,1314060450,1186239620,1732500000,1962000000,9121614873,8812206130,5764044956,2145000000,1799000000,4652000000,4136000000,7018000000,6131000000,4847000000,5277000000,1973000000,5239000000,8018000000,9503000000,15034000000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10212333849,12523888000,10911239000,- -,- -,- -,15269000000,16743000000,20419000000,30295000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6801184539,4366436000,2624033000,- -,- -,- -,12525000000,17263000000,14948000000,30084000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17013518388,16890324000,13535272000,- -,- -,- -,27794000000,34006000000,35367000000,60379000000,92201177000
9,Other Expenses,211000000,- -,4744958480,12060000000,13253000000,30468671940,24967621675,37670412065,23489000000,23300000000,20422000000,5745481612,3419676000,3527728000,12682000000,11481000000,16000000000,218000000,814000000,1471000000,2019000000,- -
10,Operating Expenses,419000000,1314060450,5931198100,13792500000,15215000000,39590286813,33779827805,43434457021,25634000000,25099000000,25074000000,26895000000,27328000000,23194000000,17529000000,16758000000,17973000000,33251000000,42838000000,46341000000,77432000000,92201177000
11,COGS and Expenses,755000000,1314060450,7117437720,21242500000,25174000000,55458179294,50706998870,62924157437,53406000000,46269000000,45947000000,51138000000,62234000000,58593000000,51717000000,47040000000,47968000000,127485000000,252882000000,312129000000,316477000000,316374079000
12,Interest Income ,- -,- -,- -,102500000,- -,2820025983,2835979766,- -,2857000000,2395000000,1946000000,1844000000,1763000000,1334000000,1137000000,675000000,522000000,554000000,819000000,1626000000,1088000000,5268535000
13,Interest Expense (Gain),- -,- -,- -,6452500000,- -,2135505147,90481682,- -,31000000,41000000,32000000,58000000,55000000,41000000,11000000,4000000,- -,13000000,12000000,277000000,185742000,2686170000
14,Depreciation and Amortization,- -,- -,1186239620,1777500000,3191000000,5313280705,7112569836,7485018742,8501000000,5627000000,3708000000,4088000000,5864878000,6709433000,5453625000,4763000000,236542000,520000000,1413000000,3653000000,4920000000,- -
15,EBITDA,-350000000,-1314060450,3558718860,26898750000,35655000000,3642450286,-2523729257,-12810861450,9138000000,17129000000,3263000000,11112000000,-3720122000,-6729567000,-5295375000,-10847000000,3726542000,14996000000,35921000000,55332000000,93263742000,102053561000
16,EBITDA ratio,-0.8642,-Infinity,0.3750,0.5842,0.5727,0.0690,-0.0646,-0.3183,0.1719,0.2984,0.0623,0.1933,-0.0644,-0.1411,-0.1328,-0.3042,0.0725,0.1059,0.1253,0.1533,0.2297,0.2465
17,Operating Income,-350000000,-1314060450,2372479240,24797500000,37081000000,-2639152594,-11634879766,-22672284692,-236000000,10854000000,5940000000,3161000000,-18494000000,-16730000000,-11829000000,-17229000000,3423000000,14035000000,33368000000,48663000000,88368000000,97563895000
18,Operating Income ratio,-0.8642,-Infinity,0.2500,0.5386,0.5956,-0.0500,-0.2978,-0.5633,-0.0044,0.1891,0.1134,0.0550,-0.3201,-0.3508,-0.2965,-0.4831,0.0666,0.0991,0.1164,0.1348,0.2177,0.2357
19,Total Other Income Expenses (Gains),- -,- -,- -,-6128750000,-4393000000,-779454382,2160028380,3442883902,6030000000,2108000000,2322000000,1876000000,871000000,2105000000,977000000,1551000000,-4000000,423000000,1071000000,2593000000,-357000000,1736637000
20,Income Before Tax,- -,- -,- -,18668750000,32688000000,-3418606976,-9474851386,-19229400790,5794000000,12962000000,8262000000,5037000000,-17623000000,-14625000000,-10852000000,-15678000000,3419000000,14458000000,34439000000,51256000000,88011000000,99300532000
21,Income Before Tax Ratio,- -,- -,- -,0.4055,0.5251,-0.0647,-0.2425,-0.4777,0.1090,0.2258,0.1578,0.0876,-0.3050,-0.3067,-0.2721,-0.4397,0.0665,0.1021,0.1201,0.1420,0.2168,0.2399
22,Income Tax expense (Gain),- -,- -,- -,2751250000,4253000000,-808434096,11511576298,2917603002,3379000000,4544000000,-4207000000,-7962000000,2584000000,5108000000,10147000000,1351000000,3240000000,1144000000,3053000000,11526000000,25455000000,33420741000
23,Net Income,-350000000,-1314060450,- -,15917500000,28211000000,-2997901470,-21238357072,-23213483195,-2773000000,6917000000,3730000000,14928000000,-12224000000,-18588000000,-20907000000,-16965000000,250000000,13319000000,31443000000,39876000000,62703000000,65946650000
24,Net Income ratio,-0.8642,-Infinity,- -,0.3457,0.4532,-0.0568,-0.5436,-0.5767,-0.0522,0.1205,0.0712,0.2597,-0.2116,-0.3898,-0.5241,-0.4757,0.0049,0.0940,0.1096,0.1105,0.1545,0.1593
25,EPS,-350.00,-491.98,-148.04,2999.37,5084.04,-439.92,-3056.12,-3340.00,-399.00,444.00,595.00,2126.00,-2055.00,-2584.00,-2882.00,-2441.00,-106.00,1917.00,4525.00,5738.00,9023.00,628.67
26,EPS Diluted,-350.00,-491.98,-148.04,2999.37,5084.04,-439.92,-3056.12,-3340.00,-399.00,444.00,595.00,2126.00,-2055.00,-2584.00,-2882.00,-2441.00,-106.00,1917.00,4525.00,5738.00,9023.00,613.54
27,Weighted Average Shares Outstanding,1000000,1846575,3355616,5130895,5548900,6803147,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6947860,6948900,6948900,6948900,104899000
28,Weighted Average Shares Outstanding Diluted,1000000,1846575,3355616,5130895,5548900,6839286,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6948900,6947860,6948900,6948900,6948900,107486000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1313310/000114554906000930/h00617e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000114554907001173/h01298e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000114554908001180/h02250e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012309018944/h03133e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012310054555/h04158e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012311062658/h05180e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312512191082/d283775d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312513177435/d451611d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000104746914004408/a2219817z20-f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000104746915003935/a2224384z20-f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312516547162/d64640d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312517145523/d506087d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012318003832/grvy-20f_20171231.htm,https://www.sec.gov/Archives/edgar/data/1313310/000156459019013202/grvy-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1313310/000156459020019403/grvy-20f_20191231.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,39000000,- -,- -,5865000000,15849000000,25600079953,33684023671,53617977642,53168000000,51333000000,44122000000,42430000000,36455000000,31222000000,28382000000,24909000000,16720000000,39095000000,86051000000,79428000000,110632000000,99104943000
32,Short-Term Investments,- -,- -,- -,1736250000,8598000000,59265514160,43719506653,8720037472,7278000000,20973000000,17500000000,15000000000,17500000000,18000000000,14500000000,11500000000,22000000000,22500000000,9500000000,39500000000,71818000000,148598099000
33,Cash and Short-Term Investments,39000000,- -,- -,7601250000,24447000000,84865594113,77403530325,62338015113,60446000000,72306000000,61622000000,57430000000,53955000000,49222000000,42882000000,36409000000,38720000000,61595000000,95551000000,118928000000,182450000000,247703042000
34,Net Receivables,- -,- -,5931198100,7582500000,7073000000,4733686421,2063337171,4823033718,6540000000,5907000000,8242000000,6436000000,7116000000,5333000000,5159000000,5289000000,11819000000,42866000000,60919000000,32309000000,59769000000,53695111000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,36000000,- -,1186239620,3592500000,7218000000,18669931055,4665129055,5546816491,5564000000,4686000000,6479000000,7967000000,6858000000,4096000000,2651000000,1978000000,2852000000,4410000000,3698000000,4626000000,4366000000,4736767000
37,Total Current Assets,75000000,- -,7117437720,18776250000,38738000000,108269211589,84131996551,72707865323,72550000000,82899000000,76343000000,71833000000,67929000000,58651000000,50692000000,43676000000,53391000000,108871000000,160168000000,155863000000,246585000000,306134920000
38,PP&E,88000000,- -,2372479240,6178750000,14444000000,11737783556,8081256074,7199438218,5226000000,2837000000,2672000000,2731000000,3524000000,2315000000,1213000000,882000000,593000000,946000000,1498000000,6663000000,7695000000,11337999000
39,Goodwill,- -,- -,- -,- -,- -,1435994804,1383837484,1452247194,1451000000,1210000000,7991000000,7477000000,3863000000,1210000000,1210000000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,4050000000,12615169386,9913066589,11692883920,11154000000,11245000000,33840000000,34686000000,20407000000,12709000000,8763000000,132000000,91000000,1036000000,1163000000,1717000000,3363000000,- -
41,Intangible Assets,- -,- -,- -,- -,4050000000,14051164190,11296904073,13145131114,12605000000,12455000000,41831000000,42163000000,24270000000,13919000000,9973000000,132000000,91000000,1036000000,1163000000,1717000000,3363000000,3342028000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,2440000000,1100000000,1336000000,1444000000,647000000,- -,1650636000,- -,1698967000,1394000000,1494000000,1770000000,1324000000,3018823000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8308000000,8331000000,7173000000,- -,- -,- -,3036000000,7413000000,7667000000,3590000000,1719489000
44,Other Non-Current Assets,45000000,- -,2372479240,6257500000,2795000000,9264514843,13393950106,3929775289,3114000000,3147000000,3308000000,6399000000,5854000000,5707000000,-432636000,1039000000,-583967000,600000000,1438000000,1745000000,2815000000,1973064000
45,Total Non-Current Assets,133000000,- -,4744958480,12436250000,21289000000,35053462588,32772110253,24274344621,23385000000,19539000000,49147000000,61045000000,42626000000,29114000000,12404000000,2053000000,1799000000,7012000000,13006000000,19562000000,18787000000,21391403000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,208000000,- -,11862396200,31212500000,60027000000,143322674177,116904106804,96982209943,95935000000,102438000000,125490000000,132878000000,110555000000,87765000000,63096000000,45729000000,55190000000,115883000000,173174000000,175425000000,265372000000,327526323000
48,Accounts Payable,- -,- -,2372479240,2637500000,3455000000,11159188572,4342233642,4575842706,3093000000,3205000000,6641000000,5552000000,5115000000,4374000000,2713000000,2971000000,10033000000,44410000000,71928000000,37496000000,52688000000,41199401000
49,Short-Term Debt,- -,- -,3558718860,2857500000,1235000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,815000000,288651000,373181000,312102494,569778000,348183000,305877000,- -,300075000,3067000000,3963000000,4382000000,12321000000,14225384000
51,Deferred Revenue,- -,- -,1186239620,2898750000,4243000000,5177375839,5766876590,3641385776,3286000000,3750000000,5611000000,4663000000,3006000000,5782000000,5727000000,4997000000,9689000000,16100000000,16476000000,10748000000,13692000000,13480518000
52,Other Current Liabilities,38000000,- -,- -,1427500000,1037000000,2904966524,5335757990,1900749068,2018000000,1293000000,1813000000,1847000000,2254000000,1244000000,1211000000,836000000,964000000,4234000000,5117000000,7543000000,16340000000,19317556000
53,Total Current Liabilities,38000000,- -,7117437720,9821250000,9970000000,19241530935,15444868222,10117977550,8397000000,8248000000,14065000000,12062000000,10375000000,11400000000,9651000000,8804000000,20686000000,64744000000,93521000000,55787000000,82720000000,73997475000
54,Long-Term Debt,- -,- -,3558718860,1262500000,1853000000,- -,- -,- -,- -,- -,- -,99000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,9839000000,9658000000,8993000000,7457000000,9172000000,6875000000,5268000000,6600000000,4096000000,6581000000,3598000000,98000000,101000000,98226000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1027233209,48689139,- -,272000000,2600000000,1517000000,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -
