,https://roic.ai/company/REFR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,300000,300000,500000,500000,400000,500000,500000,600000,100000,100000,100000,100000,200000,333652,142002,217519,258187,201321,138742,162639,402359,1679919,709811,767522,845982,1957336,2161359,1598799,2007482,1236097,1509070,1488642,1564024,828450,- -
2,COGS,400000,400000,400000,300000,400000,700000,900000,1200000,1200000,1200000,1800000,1500000,1800000,2918518,2744059,2631139,2537317,2633534,2624379,2383856,5774027,2959576,3183492,3253250,3618635,3995633,5841268,4425718,4742166,4086408,3127979,- -,- -,- -,- -
3,Gross Profit,-100000,-100000,100000,200000,- -,-200000,-400000,-600000,-1100000,-1100000,-1700000,-1400000,-1600000,-2584866,-2602057,-2413620,-2279130,-2432213,-2485637,-2221217,-5371668,-1279657,-2473681,-2485728,-2772653,-2038297,-3679909,-2826919,-2734684,-2850311,-1618909,- -,- -,- -,- -
4,Gross Profit Ratio,-0.3333,-0.3333,0.2000,0.4000,- -,-0.4000,-0.8000,-1.0000,-11.0000,-11.0000,-17.0000,-14.0000,-8.0000,-7.7472,-18.3241,-11.0961,-8.8274,-12.0813,-17.9155,-13.6573,-13.3504,-0.7617,-3.4850,-3.2386,-3.2774,-1.0414,-1.7026,-1.7682,-1.3622,-2.3059,-1.0728,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1600000,2000000,2618567,2634671,1859030,1908753,1682624,1391657,1170503,2529576,1469760,1549707,1404654,1390689,1671872,2203326,1621964,1588491,1417634,799702,863401,1035623,628304,580000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",500000,600000,800000,800000,900000,1000000,1300000,1400000,1400000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,100000,100000,- -,100000,100000,100000,100000,- -,100000,100000,100000,109137,- -,- -,615200,165501,- -,- -,- -,- -,- -,- -,- -,3995633,5841268,4425718,4742166,4086408,3127979,3043460,3677740,2777535,1941849
10,Operating Expenses,500000,600000,900000,900000,- -,1100000,1400000,1500000,1500000,1700000,1900000,1700000,2100000,2727704,2634671,1859030,2523953,1848125,1391657,1170503,2529576,1469760,1549707,1404654,1390689,5667505,8044594,6047682,6330657,5504042,3927681,3906861,4713363,3405839,2521849
11,COGS and Expenses,900000,1000000,1300000,1200000,1400000,1800000,2300000,2700000,2700000,2900000,3700000,3200000,3900000,5646222,5378730,4490169,5061270,4481659,4016036,3554359,8303603,4429336,4733199,4657904,5009324,5667505,8044594,6047682,6330657,5504042,3927681,3906861,4713363,3405839,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64608,- -,- -,- -,- -,- -,- -,- -,- -,- -,33171,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,100000,100000,100000,100000,100000,100000,100000,- -,100000,100000,100000,109137,118657,114170,112092,82736,46140,37662,37426,43739,40077,44315,39857,34963,45212,31824,140170,188501,175643,181047,195377,67082,- -
15,EBITDA,-800000,-800000,-700000,-600000,-900000,-1300000,-1700000,-2800000,-2800000,-2500000,-3100000,-2500000,-3600000,-7458663,-4422013,-3836946,-4660216,-4180005,-3701392,-3265971,-7527792,-2551104,-3962684,-3830550,-4094211,-3642035,-5799875,-4381898,-4139686,-4049909,-2238216,-2505081,-3613601,-2273782,-1846352
16,EBITDA ratio,-2.6667,-2.6667,-1.4000,-1.2000,-2.2500,-2.6000,-3.4000,-4.6667,-28.0000,-25.0000,-31.0000,-25.0000,-18.0000,-22.3546,-31.1405,-17.6396,-18.0498,-20.7629,-26.6782,-20.0811,-18.7091,-1.5186,-5.5827,-4.9908,-4.8396,-1.8607,-2.6834,-2.7407,-2.0621,-3.2764,-1.4832,-1.6828,-2.3105,-2.7446,-Infinity
17,Operating Income,-600000,-700000,-800000,-700000,-1000000,-1300000,-1800000,-2100000,-2600000,-2800000,-3600000,-3100000,-3700000,-5312570,-5236728,-4272650,-4803083,-4280338,-3877294,-3391720,-7901244,-2749417,-4023388,-3890382,-4163342,-3710169,-5883235,-4448883,-4323175,-4267945,-2418611,-2418219,-3200005,-2577389,-1838815
18,Operating Income ratio,-2.0000,-2.3333,-1.6000,-1.4000,-2.5000,-2.6000,-3.6000,-3.5000,-26.0000,-28.0000,-36.0000,-31.0000,-18.5000,-15.9225,-36.8778,-19.6427,-18.6031,-21.2613,-27.9461,-20.8543,-19.6373,-1.6366,-5.6683,-5.0688,-4.9213,-1.8955,-2.7220,-2.7826,-2.1535,-3.4528,-1.6027,-1.6244,-2.0460,-3.1111,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-100000,- -,- -,- -,-800000,-300000,400000,400000,600000,-300000,-2255230,696058,256926,-584425,-147904,129762,88087,336026,154574,20627,15517,29274,33171,38148,35161,43319,29535,4752,-267909,-608973,236525,-7537
