,https://roic.ai/company/PRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,110300000,118700000,132300000,149200000,141600000,141600000,142800000,155900000,184100000,- -,274245000,304430000,370833000,437359000,502920000,546681000,640688000,766797000,946480000,1125505000,1326592000,1494911000,1592608000,1752787000,1876847000,2024049000,2222588000,2234631000,2725239000,3179756000,3207716000,3383708000,3828923000,3947656000,2484595000,2677920000
2,COGS,- -,- -,- -,- -,- -,44100000,46300000,38500000,37600000,35100000,- -,46168000,55914000,62017000,87705000,105152000,105986000,136263000,162627000,188587000,211861000,248479000,275854000,309737000,325457000,353931000,376483000,411076000,361899000,354598000,372817000,295188000,258934000,193999000,137253000,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,97500000,95300000,104300000,118300000,149000000,- -,228077000,248516000,308816000,349654000,397768000,440695000,504425000,604170000,757893000,913644000,1078113000,1219057000,1282871000,1427330000,1522916000,1647566000,1811512000,1872732000,2370641000,2806939000,2912528000,3124774000,3634924000,3810403000,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.6886,0.6730,0.7304,0.7588,0.8093,- -,0.8317,0.8163,0.8328,0.7995,0.7909,0.8061,0.7873,0.7879,0.8007,0.8118,0.8127,0.8155,0.8055,0.8143,0.8114,0.8140,0.8150,0.8380,0.8699,0.8828,0.9080,0.9235,0.9493,0.9652,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,75300000,74600000,75600000,77800000,91900000,- -,135012000,149728000,189719000,201923000,227587000,276682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,952262000,1022684000,1275668000,828484000,819825000,815016000,887716000,1152323000,229402000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39334000,40823000,34026000,37718000,44023000,6627000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,75300000,74600000,75600000,77800000,91900000,- -,135012000,149728000,189719000,201923000,227587000,276682000,293346000,344884000,414518000,507158000,579565000,674412000,705566000,771634000,824929000,908748000,952262000,1022684000,13661000,867818000,860648000,849042000,925434000,1196346000,236029000,- -
9,Other Expenses,- -,98500000,106500000,120800000,137700000,14800000,17300000,22900000,29400000,41000000,- -,64437000,71151000,89171000,102324000,120650000,137900000,162660000,195661000,253456000,305630000,364109000,407321000,429907000,474958000,504105000,550732000,604650000,628089000,2194641000,1443292000,1532995000,1687540000,2000616000,2227366000,1958764000,2344393000
10,Operating Expenses,- -,98500000,106500000,120800000,137700000,90100000,91900000,98500000,107200000,132900000,- -,199449000,220879000,278890000,304247000,348237000,414582000,456006000,540545000,667974000,812788000,943674000,1081733000,1135473000,1246592000,1329034000,1459480000,1556912000,1650773000,2208302000,2311110000,2393643000,2536582000,2926050000,3423712000,2194793000,2344393000
11,COGS and Expenses,- -,98500000,106500000,120800000,137700000,134200000,138200000,137000000,144800000,168000000,- -,245617000,276793000,340907000,391952000,453389000,520568000,592269000,703172000,856561000,1024649000,1192153000,1357587000,1445210000,1572049000,1682965000,1835963000,1967988000,2012672000,2562900000,2683927000,2688831000,2795516000,3120049000,3560965000,2194793000,2344393000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3541000,2998000,2921000,2185000,2699000,1835000,454000,1790000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3449000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4299000,3096000,4709000,6392000,5613000,19215000,23339000,23390000,20538000,16440000,16967000,187000,5323000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,14800000,17300000,22900000,29400000,41000000,- -,70693000,77487000,98090000,112746000,133109000,153548000,179040000,215397000,277187000,333131000,395581000,444874000,471393000,519371000,549532000,603564000,661433000,685105000,1018234000,1292847000,1386673000,1531203000,1822054000,2077419000,93814000,33258000
15,EBITDA,- -,9500000,10100000,8700000,8100000,20200000,19000000,28000000,40600000,56000000,- -,99321000,107724000,133281000,154048000,177015000,173403000,222692000,273240000,361693000,425468000,520291000,573719000,615393000,699832000,743414000,791650000,944680000,875678000,1159153000,1529306000,1628485000,1791318000,2090698000,2187174000,70485000,366785000
16,EBITDA ratio,- -,0.0861,0.0851,0.0658,0.0543,0.1427,0.1342,0.1961,0.2604,0.3042,- -,0.3622,0.3539,0.3594,0.3522,0.3520,0.3172,0.3476,0.3563,0.3821,0.3780,0.3922,0.3838,0.3864,0.3993,0.3961,0.3911,0.4250,0.3919,0.4253,0.4810,0.5077,0.5294,0.5460,0.5540,0.0284,0.1370
17,Operating Income,- -,11800000,12200000,11500000,11500000,7400000,3400000,5800000,11100000,16100000,- -,28628000,27637000,29926000,45407000,49531000,26113000,48419000,63625000,89919000,100856000,134439000,137324000,147398000,180738000,190786000,183377000,279706000,187058000,139843000,235941000,242676000,254699000,289608000,105874000,271763000,333527000
18,Operating Income ratio,- -,0.1070,0.1028,0.0869,0.0771,0.0523,0.0240,0.0406,0.0712,0.0875,- -,0.1044,0.0908,0.0807,0.1038,0.0985,0.0478,0.0756,0.0830,0.0950,0.0896,0.1013,0.0919,0.0926,0.1031,0.1017,0.0906,0.1258,0.0837,0.0513,0.0742,0.0757,0.0753,0.0756,0.0268,0.1094,0.1245
19,Total Other Income Expenses (Gains),- -,-2300000,-2100000,-2800000,-3400000,-2000000,-1700000,-700000,100000,-1100000,- -,-3449000,2600000,5265000,-4105000,-5625000,-6258000,-4767000,-5782000,-5413000,-8519000,-9729000,-8479000,-7818000,-4299000,- -,- -,-2851000,-2098000,-18139000,-22821000,-24254000,-15122000,-37404000,-13086000,-187000,-5323000
20,Income Before Tax,- -,9500000,10100000,8700000,8100000,5400000,1700000,5100000,11200000,15000000,- -,25179000,30237000,35191000,41302000,43906000,19855000,43652000,57843000,84506000,92337000,124710000,128845000,139580000,176439000,190786000,183377000,276855000,184960000,121704000,213120000,218422000,239577000,252204000,92788000,271576000,328204000
21,Income Before Tax Ratio,- -,0.0861,0.0851,0.0658,0.0543,0.0381,0.0120,0.0357,0.0718,0.0815,- -,0.0918,0.0993,0.0949,0.0944,0.0873,0.0363,0.0681,0.0754,0.0893,0.0820,0.0940,0.0862,0.0876,0.1007,0.1017,0.0906,0.1246,0.0828,0.0447,0.0670,0.0681,0.0708,0.0659,0.0235,0.1093,0.1226
22,Income Tax expense (Gain),- -,3700000,5300000,3600000,3100000,2100000,700000,2000000,5100000,6200000,- -,9786000,11841000,13707000,15700000,16645000,7519000,16212000,21417000,31890000,34344000,46075000,48570000,53811000,63561000,72410000,69610000,103812000,64294000,43471000,77411000,79139000,-52959000,55994000,61316000,37949000,84647000
23,Net Income,- -,5800000,4800000,5100000,5000000,3300000,1000000,3100000,6100000,8800000,- -,15393000,18396000,21484000,25602000,27261000,12336000,27440000,36426000,52616000,57993000,78635000,80275000,90189000,112601000,118376000,113767000,173043000,120666000,78233000,135709000,139283000,292536000,196210000,31472000,-61465000,243557000
24,Net Income ratio,- -,0.0526,0.0404,0.0385,0.0335,0.0233,0.0071,0.0217,0.0391,0.0478,- -,0.0561,0.0604,0.0579,0.0585,0.0542,0.0226,0.0428,0.0475,0.0556,0.0515,0.0593,0.0537,0.0566,0.0642,0.0631,0.0562,0.0779,0.0540,0.0287,0.0427,0.0434,0.0865,0.0512,0.0080,-0.0247,0.0910
25,EPS,- -,0.12,0.10,0.12,0.12,0.08,0.03,0.08,0.10,0.15,- -,0.23,0.28,0.31,0.38,0.41,0.18,0.39,0.50,0.71,0.77,1.00,0.99,1.13,1.39,1.46,1.46,2.28,1.59,1.08,1.87,1.93,4.13,2.84,0.47,-0.91,3.69
26,EPS Diluted,- -,0.12,0.10,0.12,0.12,0.08,0.03,0.08,0.10,0.15,- -,0.23,0.28,0.31,0.37,0.41,0.18,0.38,0.49,0.69,0.76,0.98,0.99,1.11,1.37,1.44,1.43,2.25,1.58,1.08,1.86,1.91,4.06,2.78,0.46,-0.91,3.67
27,Weighted Average Shares Outstanding,- -,48287728,46912261,44092981,41627352,41211193,37465345,38713545,58762708,57058381,66326087,67444960,114649664,154089000,152193579,150395659,151177033,158619060,73446750,74403000,74769000,78817500,81359797,80113500,81138000,81194000,78101000,75820000,75747000,72384000,72568000,72354000,70837000,69128000,67322000,67261000,66026000
28,Weighted Average Shares Outstanding Diluted,- -,48287728,46912261,44092981,41627352,41211193,37465345,38713545,58762708,58177202,66326087,67444960,114649664,157285125,154264601,151472892,152800472,161076974,74675250,75862500,76207500,80065500,82569000,81138000,81951000,82102000,79339000,76826000,76390000,72723000,73043000,73013000,72121000,70597000,68631000,68022000,66416000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1808834/000180883421000012/0001808834-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1808834/000180883422000016/0001808834-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,- -,84000,96000,95000,99000,95000,93000,96000,95000,5865000,6973000,8807000,5249000,7376000,109685000,72022000,176257000,129534000,231091000,3549000,14942000,308561000,51037000,15278000,57755000,36645000,170159000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98132000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,- -,84000,96000,95000,99000,95000,93000,96000,95000,5865000,6973000,8807000,5249000,7376000,109685000,72022000,274389000,129534000,231091000,3549000,14942000,308561000,51037000,15278000,57755000,36645000,170159000
34,Net Receivables,- -,- -,- -,- -,- -,4100000,6200000,6300000,5800000,8000000,- -,10491000,11794000,16226000,21030000,23637000,25411000,26973000,30878000,32736000,42812000,43495000,52025000,59513000,66095000,69662000,87471000,74157000,68684000,231478000,378408000,192465000,286022000,203460000,198102000,140402000,199937000
35,Inventory,- -,- -,- -,- -,- -,3800000,2000000,1900000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550932000,612149000,623452000,681086000,682402000,814484000,862276000,964067000,869725000,1087032000,1138938000,999381000,1152135000,1318470000,1433417000,610263000,714055000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,258932000,317287000,343013000,425567000,- -,- -,- -,- -,- -,- -,- -,88491000,71276000,65916000,63138000,84351000,78362000,65300000,81558000,31655000,35425000
37,Total Current Assets,- -,- -,- -,- -,- -,8000000,8200000,8300000,7400000,8100000,- -,10575000,11890000,16321000,21129000,23732000,284436000,344356000,373986000,464168000,600717000,664451000,680726000,747975000,858182000,956168000,1224136000,1256249000,1240776000,1387975000,1595426000,1584758000,1567556000,1602508000,1770832000,818965000,1119576000
38,PP&E,- -,- -,- -,- -,- -,91100000,88900000,89100000,98300000,132400000,- -,183251000,216725000,244276000,275749000,330887000,77282000,87094000,99584000,111118000,133759000,170294000,247038000,224431000,227616000,204912000,226619000,230598000,231293000,219417000,225836000,211271000,207687000,122821000,431801000,28323000,43136000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115436000,143282000,185965000,194376000,202379000,219342000,234195000,239181000,530670000,539475000,526723000,622948000,733170000,736582000,288801000,306212000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22096000,25985000,55485000,74874000,101085000,- -,4814000,7496000,5200000,3832000,6066000,6026000,3535000,297471000,275912000,247672000,235551000,335271000,325872000,173416000,137305000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22096000,25985000,55485000,74874000,101085000,115436000,148096000,193461000,199576000,206211000,225408000,240221000,242716000,828141000,815387000,774395000,858499000,1068441000,1062454000,462217000,443517000
