,https://roic.ai/company/ARMK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,13082377000,13505426000,13945657000,14832913000,14329135000,14415829000,14604412000,15789633000,16227341000,12829559000,12095965000
2,COGS,11836780000,12191419000,12661145000,13363918000,12880424000,12890408000,12988973000,13990185000,14532662000,11993667000,11007080000
3,Gross Profit,1245597000,1314007000,1284512000,1468995000,1448711000,1525421000,1615439000,1799448000,1694679000,835892000,1088885000
4,Gross Profit Ratio,0.0952,0.0973,0.0921,0.0990,0.1011,0.1058,0.1106,0.1140,0.1044,0.0652,0.0900
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,316740000,- -,299170000,377129000,367256000,- -,- -
8,"Selling, General and Administrative Exp.",187992000,203019000,227902000,382851000,316740000,283342000,299170000,377129000,367256000,307016000,346749000
9,Other Expenses,510516000,529213000,542136000,521581000,504033000,495765000,508212000,596182000,436264000,595195000,550692000
10,Operating Expenses,698508000,732232000,770038000,904432000,820773000,779107000,807382000,973311000,803520000,902211000,897441000
11,COGS and Expenses,12535288000,12923651000,13431183000,14268350000,13701197000,13669515000,13796355000,14963496000,15336182000,12895878000,11904521000
12,Interest Income ,18653000,5477000,6430000,4338000,4932000,5288000,5942000,9238000,28985000,14990000,15250000
13,Interest Expense (Gain),466140000,459083000,425625000,334442000,286261000,315166000,285995000,353048000,352812000,389434000,413713000
14,Depreciation and Amortization,516290000,529213000,542136000,521581000,504033000,495765000,508212000,596182000,592573000,595195000,550692000
15,EBITDA,1065542000,1109913000,1056350000,1085197000,1131260000,1241436000,1314585000,1420551000,1512040000,336816000,832939000
16,EBITDA ratio,0.0814,0.0822,0.0757,0.0732,0.0789,0.0861,0.0900,0.0900,0.0932,0.0263,0.0689
17,Operating Income,547089000,581775000,514474000,564563000,627938000,746314000,808057000,826137000,891159000,-264919000,191444000
18,Operating Income ratio,0.0418,0.0431,0.0369,0.0381,0.0438,0.0518,0.0553,0.0523,0.0549,-0.0206,0.0158
