,https://roic.ai/company/ZSAN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,11624000,4250000,2861000,313000,- -,- -,- -,- -,224000,785000
2,COGS,- -,- -,100000,- -,- -,- -,- -,- -,171000,796000
3,Gross Profit,11624000,4250000,2761000,313000,- -,- -,- -,- -,53000,-11000
4,Gross Profit Ratio,1.0000,1.0000,0.9650,1.0000,- -,- -,- -,- -,0.2366,-0.0140
5,Research and Development Exp.,5399000,7637000,10953000,20366000,20457000,20188000,25508000,25385000,21622000,20974000
6,General and Administrative Exp.,3077000,4582000,4420000,6315000,8176000,8182000,9357000,11812000,11189000,10547000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3077000,4582000,4420000,6315000,8176000,8182000,9357000,11812000,11189000,10547000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,8476000,12219000,15373000,26681000,28633000,28370000,34865000,37197000,32811000,31521000
11,COGS and Expenses,8476000,12219000,15473000,26681000,28633000,28370000,34865000,37197000,32982000,32317000
12,Interest Income ,- -,- -,- -,235000,- -,- -,381000,207000,18000,3000
13,Interest Expense (Gain),- -,- -,- -,1799000,- -,742000,379000,523000,719000,189000
14,Depreciation and Amortization,1069000,428000,3042000,2452000,2543000,2553000,764000,683000,1426000,1751000
15,EBITDA,2887000,-5180000,-11199000,-24176000,-26090000,-25817000,-34101000,-36383000,-31224000,-27985000
16,EBITDA ratio,0.2484,-1.2188,-3.9144,-77.2396,-Infinity,-Infinity,-Infinity,-Infinity,-139.3929,-35.6497
17,Operating Income,3148000,-7969000,-12612000,-26368000,-28633000,-28370000,-35376000,-37197000,-32758000,-31532000
18,Operating Income ratio,0.2708,-1.8751,-4.4082,-84.2428,-Infinity,-Infinity,-Infinity,-Infinity,-146.2411,-40.1682
19,Total Other Income Expenses (Gains),-1330000,2361000,-1629000,-2059000,-1199000,-735000,18000,-392000,-611000,1607000
20,Income Before Tax,1818000,-5608000,-14241000,-28427000,-29832000,-29105000,-35358000,-37589000,-33369000,-29925000
21,Income Before Tax Ratio,0.1564,-1.3195,-4.9776,-90.8211,-Infinity,-Infinity,-Infinity,-Infinity,-148.9688,-38.1210
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1818000,-5608000,-14241000,-28427000,-29832000,-29105000,-35358000,-37589000,-33369000,-29925000
24,Net Income ratio,0.1564,-1.3195,-4.9776,-90.8211,-Infinity,-Infinity,-Infinity,-Infinity,-148.9688,-38.1210
25,EPS,6.98,-21.20,-23.43,-49.80,-43.40,-16.82,-3.74,-2.29,-0.49,-0.27
26,EPS Diluted,6.98,-21.20,-23.43,-49.80,-43.40,-16.82,-3.74,-2.29,-0.49,-0.27
27,Weighted Average Shares Outstanding,260550,260550,580805,570700,688650,1730000,9452491,16383730,67907000,112064000
28,Weighted Average Shares Outstanding Diluted,260550,260550,580805,570700,688650,1730000,9452491,16383730,67907000,112064000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587221/000119312516521425/0001193125-16-521425-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000119312517063319/0001193125-17-063319-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000119312518078418/0001193125-18-078418-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722119000006/0001587221-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722120000004/0001587221-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722121000007/0001587221-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722122000022/0001587221-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,4973000,5913000,1214000,6646000,15003000,11651000,9140000,6316000,35263000,11043000
32,Short-Term Investments,- -,361000,- -,30287000,- -,- -,13862000,- -,- -,- -
33,Cash and Short-Term Investments,4973000,6274000,1214000,36933000,15003000,11651000,23002000,6316000,35263000,11043000
34,Net Receivables,860000,3426000,111000,101000,- -,- -,- -,- -,124000,146000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,73000,465000,311000,237000,273000,1742000,358000,497000,329000,420000
37,Total Current Assets,5906000,10165000,1636000,37271000,15276000,13393000,23360000,6813000,35716000,11609000
38,PP&E,1389000,11714000,9681000,7660000,5455000,4152000,11916000,30399000,35837000,36326000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,12298000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,35000,205000,2026000,406000,175000,455000,504000,458000,458000,455000
45,Total Non-Current Assets,13722000,11919000,11707000,8066000,5630000,4607000,12420000,30857000,36295000,36781000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19628000,22084000,13343000,45337000,20906000,18000000,35780000,37670000,72011000,48390000
48,Accounts Payable,383000,3412000,1447000,1209000,1445000,1511000,4450000,4356000,1884000,2120000
49,Short-Term Debt,- -,3604000,8770000,3360000,5992000,6687000,2331000,5712000,6966000,5428000
50,Tax Payable,- -,- -,- -,- -,- -,- -,187000,27000,- -,- -
51,Deferred Revenue,3375000,1125000,170000,- -,- -,- -,- -,- -,- -,26000
52,Other Current Liabilities,223000,3392000,2968000,2311000,2382000,2259000,4506000,6169000,5661000,3559000
53,Total Current Liabilities,3981000,11533000,13355000,6880000,9819000,10457000,11287000,16237000,14511000,11133000
54,Long-Term Debt,9026000,9711000,13291000,11910000,6550000,- -,4478000,12041000,9858000,4051000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,601000,363000,98000,45000,52000,495000,1305000,- -,127000,231000
58,Total Non-Current Liabilities,9627000,10074000,13389000,11955000,6602000,495000,5783000,12041000,9985000,4282000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,23000,7104000,6065000,4687000
61,Total Liabilities,13608000,21607000,26744000,18835000,16421000,10952000,17070000,28278000,24496000,15415000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,1000,2000,- -,1000,2000,10000,12000
64,Retained Earnings,-118615000,-124223000,-138464000,-166891000,-196769000,-225874000,-261232000,-298821000,-332190000,-362115000
65,Other Comprehensive Income/Loss,-2217000,-16665000,-19559000,-46000,- -,-25614000,-5000,- -,- -,- -
66,Other Total Stockholders Equity,126851000,141364000,144621000,193438000,201252000,258536000,279946000,308211000,379695000,395078000
67,Total Stockholders Equity,6020000,477000,-13401000,26502000,4485000,7048000,18710000,9392000,47515000,32975000
68,Total Liabilities And Stockholders Equity,19628000,22084000,13343000,45337000,20906000,18000000,35780000,37670000,72011000,48390000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19628000,22084000,13343000,45337000,20906000,18000000,35780000,37670000,72011000,48390000
