,https://roic.ai/company/CHCI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,50929000,34752000,55521000,96045000,224305000,245881000,266159000,46662000,25066000,23851000,22209000,14302000,54614000,47965000,61376000,41580000,45430000,56749000,25317000,28726000,31093000
2,COGS,- -,- -,- -,63993000,157706000,216657000,245309000,39274000,21729000,23197000,19985000,13176000,42404000,38505000,52134000,38663000,42882000,57180000,21172000,- -,24743000
3,Gross Profit,- -,- -,- -,32052000,66599000,29224000,20850000,7388000,3337000,654000,2224000,1126000,12210000,9460000,9242000,2917000,2548000,-431000,4145000,28726000,6350000
4,Gross Profit Ratio,- -,- -,- -,0.3337,0.2969,0.1189,0.0783,0.1583,0.1331,0.0274,0.1001,0.0787,0.2236,0.1972,0.1506,0.0702,0.0561,-0.0076,0.1637,1.0000,0.2042
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3900000,3725000,5712000,11940000,24190000,37500000,34671000,16400000,8073000,5606000,7443000,8658000,6735000,7585000,7410000,5586000,5297000,1262000,1487000,2956000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1975000,2130000,2076000,1606000,1490000,1005000,383000,661000,- -
8,"Selling, General and Administrative Exp.",3900000,3725000,5712000,11940000,24190000,37500000,34671000,16400000,8073000,5606000,7443000,8658000,8710000,9715000,9486000,7192000,6787000,2267000,1870000,3617000,1285000
9,Other Expenses,40853000,- -,41756000,- -,- -,57425000,78264000,-3993000,- -,- -,- -,170000,- -,- -,- -,- -,- -,- -,- -,- -,24743000
10,Operating Expenses,44753000,3725000,47468000,11940000,24190000,94925000,112935000,12407000,8073000,5606000,7443000,8828000,8710000,9715000,9486000,7192000,6787000,2267000,1870000,3617000,26028000
11,COGS and Expenses,44753000,3725000,47468000,75933000,181896000,311582000,358244000,51681000,29802000,28803000,27428000,22004000,51114000,48220000,61620000,45855000,49669000,59447000,23042000,3617000,26028000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,3993000,4138000,2224000,3102000,1940000,408000,26000,547000,886000,41000,171000,474000,379000,235000
14,Depreciation and Amortization,- -,- -,- -,106000,2518000,3470000,6993000,896000,843000,98000,196000,122000,553000,100000,164000,181000,181000,168000,217000,27000,94000
15,EBITDA,4519000,3584000,5939000,14168000,46446000,-60895000,-83069000,-12121000,-22700000,-5365000,4438000,-6087000,-723000,-6345000,-4588000,-7871000,-4765000,-5097000,1586000,2463000,2721000
16,EBITDA ratio,0.0887,0.1031,0.1070,0.1475,0.2071,-0.2477,-0.3121,-0.2598,-0.9056,-0.2249,0.1998,-0.4256,-0.0132,-0.1323,-0.0748,-0.1893,-0.1049,-0.0898,0.0626,0.0857,0.0875
17,Operating Income,6176000,4207000,8053000,20112000,42409000,-65701000,-92085000,-32719000,-31812000,-8724000,-8321000,-12025000,2744000,-2976000,-3556000,-6864000,-4806000,-5101000,2275000,2567000,5065000
18,Operating Income ratio,0.1213,0.1211,0.1450,0.2094,0.1891,-0.2672,-0.3460,-0.7012,-1.2691,-0.3658,-0.3747,-0.8408,0.0502,-0.0620,-0.0579,-0.1651,-0.1058,-0.0899,0.0899,0.0894,0.1629
19,Total Other Income Expenses (Gains),-1657000,-1287000,183000,-6050000,1519000,1336000,2023000,15709000,4131000,1037000,9952000,18000,267000,230000,861000,157000,66000,135000,-809000,-267000,-243000
20,Income Before Tax,4519000,2920000,8236000,14062000,43928000,-64365000,-90062000,-17010000,-27681000,-7687000,1631000,-12007000,3011000,-2746000,-2695000,-6707000,-4740000,-4966000,1466000,2300000,4822000
21,Income Before Tax Ratio,0.0887,0.0840,0.1483,0.1464,0.1958,-0.2618,-0.3384,-0.3645,-1.1043,-0.3223,0.0734,-0.8395,0.0551,-0.0573,-0.0439,-0.1613,-0.1043,-0.0875,0.0579,0.0801,0.1551
22,Income Tax expense (Gain),- -,- -,- -,-241000,16366000,-24520000,-2552000,48000,-929000,11000,33000,-2484000,346000,368000,-732000,55000,38000,-920000,2000,-25000,-11217000
23,Net Income,4519000,3584000,5939000,14303000,27562000,-39845000,-87510000,-17058000,-26752000,-7698000,1107000,-5665000,-2030000,-6839000,-4567000,-8993000,-5025000,-4516000,893000,2082000,13609000
24,Net Income ratio,0.0887,0.1031,0.1070,0.1489,0.1229,-0.1620,-0.3288,-0.3656,-1.0673,-0.3228,0.0498,-0.3961,-0.0372,-0.1426,-0.0744,-0.2163,-0.1106,-0.0796,0.0353,0.0725,0.4377
25,EPS,5.18,4.13,5.88,13.65,14.98,-18.41,-37.94,-6.86,-10.57,-2.94,0.35,-1.96,-0.70,-2.24,-1.43,-2.81,-1.21,-1.22,0.13,0.26,1.69
26,EPS Diluted,4.13,4.13,5.88,13.65,14.84,-18.41,-37.94,-6.86,-10.57,-2.94,0.35,-1.96,-0.70,-2.24,-1.43,-2.81,-1.21,-1.22,0.13,0.24,1.59
27,Weighted Average Shares Outstanding,867713,867713,1009570,1049570,1838569,2163997,2305711,2494568,2524283,2616140,2898139,2852854,2954425,3011996,3198000,3321000,3370000,3705000,6617000,8056000,8056000
28,Weighted Average Shares Outstanding Diluted,1094188,867713,1009570,1049570,1860283,2163997,2305711,2494568,2524283,2616140,2959997,2852854,2954425,3011996,3198000,3321000,3370000,3705000,6799000,8539000,8539000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1299969/000095013306001315/w18555e10vk.htm,https://www.sec.gov/Archives/edgar/data/1299969/000095013307001159/w31826e10vk.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312508063651/d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312509069423/0001193125-09-069423-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312510073107/0001193125-10-073107-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312511084811/d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312512144026/0001193125-12-144026-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312513129585/0001193125-13-129585-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312514124091/d637127d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312515129688/d882673d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312516528197/d93740d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312517126231/d314334d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312518123577/d512324d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000156459019010210/0001564590-19-010210-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000156459020016780/0001564590-20-016780-index.htm,https://www.sec.gov/Archives/edgar/data/1299969/000129996921000002/0001299969-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1299969/000129996922000013/0001299969-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7086000,8695000,17160000,67559000,42167000,21263000,6822000,5977000,1085000,475000,5639000,3539000,11895000,7498000,12448000,5761000,1806000,5780000,3511000,7032000,15823000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6307000,4702000
33,Cash and Short-Term Investments,7086000,8695000,17160000,67559000,42167000,21263000,6822000,5977000,1085000,475000,5639000,3539000,11895000,7498000,12448000,5761000,1806000,5780000,3511000,13339000,20525000
34,Net Receivables,- -,- -,- -,1686000,10514000,8608000,462000,- -,- -,- -,2228000,1611000,346000,110000,332000,613000,636000,4279000,5530000,1482000,46000
35,Inventory,- -,- -,- -,118558000,89890000,43234000,19250000,19250000,- -,- -,21212000,27781000,39843000,40889000,38223000,49842000,44711000,20253000,- -,- -,- -
36,Other Current Assets,- -,- -,- -,7500000,10800000,12326000,4985000,3859000,3249000,5201000,3082000,3203000,2458000,1779000,2566000,1238000,1141000,2391000,274000,-2467000,- -
37,Total Current Assets,- -,- -,- -,195303000,153371000,85431000,31519000,29086000,4334000,5676000,32161000,36134000,54542000,50276000,53569000,57454000,48294000,32703000,9315000,12354000,20571000
38,PP&E,- -,- -,- -,66033000,605000,2723000,1539000,130371000,144000,50000,12200000,222000,243000,395000,394000,255000,309000,221000,392000,266000,7509000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1702000,1702000,1702000,1702000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000,170000,103000,36000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1939000,1872000,1805000,1738000,- -
42,Investments,- -,20192000,65272000,- -,- -,- -,- -,- -,- -,34008000,- -,- -,- -,- -,- -,- -,380000,- -,8421000,6307000,- -
43,Tax Assets,- -,- -,- -,821000,2545000,10188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11300000
44,Other Non-Current Assets,- -,- -,- -,42350000,274798000,419087000,225918000,1402000,72853000,1194000,2018000,2343000,2094000,5696000,4515000,2112000,236000,304000,- -,-6307000,- -
45,Total Non-Current Assets,- -,- -,- -,109204000,277948000,431998000,227457000,131773000,72997000,35252000,14218000,2565000,2337000,6091000,4909000,2367000,2864000,2397000,10618000,2004000,18809000
46,Other Assets,18402000,33971000,90184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41840000
47,Total Assets,18402000,33971000,90184000,304507000,431319000,517429000,258976000,160859000,77331000,40928000,46379000,38699000,56879000,56367000,58478000,59821000,51158000,35100000,19933000,14358000,43602000
48,Accounts Payable,- -,- -,- -,35532000,59131000,55680000,21962000,6126000,- -,- -,2910000,3511000,6432000,- -,6735000,6937000,8279000,4727000,1438000,523000,- -
49,Short-Term Debt,- -,- -,- -,76628000,143657000,265403000,141214000,103613000,50530000,18853000,20498000,19492000,22701000,28379000,24823000,26927000,- -,- -,5783000,574000,616000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000,51000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,206000,553000,484000,591000,497000,575000,1189000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,127426000,83055000,1140000,- -,2106000,5579000,5884000,1014000,974000,521000,8054000,312000,287000,301000,1749000,3082000,3406000,5445000
53,Total Current Liabilities,- -,- -,- -,239586000,285843000,322223000,163176000,111845000,56109000,24737000,24485000,24183000,30207000,36917000,32461000,34648000,9155000,7665000,10303000,4503000,6061000
54,Long-Term Debt,- -,- -,61062000,- -,- -,30000000,30000000,18266000,17089000,9523000,4309000,3096000,2580000,2064000,20576000,16777000,39393000,18930000,1212000,- -,6745000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1875000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,40950000,19050000,- -,- -,- -,5041000,5041000,5033000,15531000,- -,19000,- -,- -,61000,- -,5500000
58,Total Non-Current Liabilities,- -,- -,61062000,- -,- -,70950000,49050000,18266000,17089000,9523000,9350000,8137000,7613000,17595000,20576000,16796000,39393000,20805000,1273000,- -,12245000
59,Other Liabilities,10645000,12784000,60333000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12861000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,19050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000,7930000,- -
61,Total Liabilities,10645000,12784000,60333000,239586000,285843000,393173000,212226000,130111000,73198000,34260000,33835000,32320000,37820000,54512000,53037000,51444000,48548000,28470000,11576000,17364000,18306000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1174000,1280000,442000,7193000,6765000,6765000,- -
63,Common Stock,- -,- -,- -,119000,142000,168000,178000,183000,183000,198000,206000,203000,213000,218000,34000,34000,35000,39000,80000,79000,83000
64,Retained Earnings,- -,- -,- -,-9089000,18473000,-21372000,-107219000,-124277000,-151029000,-157791000,-156684000,-162349000,-164379000,-171218000,-175785000,-184778000,-189803000,-194319000,-195198000,- -,-179507000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4314000,-2548000,-2439000,-1329000,-2021000,-2293000,-1893000,-1916000,-141000,-211000,-311000,-372000,-546000,-724000,-899000,-1049000,- -,- -
66,Other Total Stockholders Equity,7757000,21187000,29851000,75510000,129009000,147528000,154889000,156640000,157272000,166154000,168097000,167731000,168542000,169180000,173673000,174135000,175674000,178910000,197759000,4371000,204720000
67,Total Stockholders Equity,7757000,12397000,18438000,62226000,145076000,123885000,46519000,30525000,4133000,6668000,9703000,5444000,4165000,-2131000,-1276000,-9875000,-14376000,-9076000,8357000,11215000,25296000
68,Total Liabilities And Stockholders Equity,18402000,25181000,78771000,301812000,430919000,517058000,258745000,160636000,77331000,40928000,43538000,37764000,41985000,52381000,51761000,41569000,34172000,19394000,19933000,28579000,43602000
69,Minority Interest,- -,8790000,11413000,2695000,400000,371000,231000,223000,- -,- -,2841000,935000,14894000,3986000,6717000,18252000,16986000,15706000,- -,-14221000,- -
70,Total Liabilities & Equity,18402000,33971000,90184000,304507000,431319000,517429000,258976000,160859000,77331000,40928000,46379000,38699000,56879000,56367000,58478000,59821000,51158000,35100000,19933000,14358000,43602000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1299969/000095013306001315/w18555e10vk.htm,https://www.sec.gov/Archives/edgar/data/1299969/000095013307001159/w31826e10vk.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312508063651/d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312509069423/0001193125-09-069423-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312510073107/0001193125-10-073107-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312511084811/d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312512144026/0001193125-12-144026-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312513129585/0001193125-13-129585-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312514124091/d637127d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312515129688/d882673d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312516528197/d93740d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312517126231/d314334d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312518123577/d512324d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000156459019010210/0001564590-19-010210-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000156459020016780/0001564590-20-016780-index.htm,https://www.sec.gov/Archives/edgar/data/1299969/000129996921000002/0001299969-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1299969/000129996922000013/0001299969-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,14303000,27562000,-39845000,-87510000,-17058000,-26752000,-7698000,1107000,-5665000,-2030000,-6839000,-4567000,-8993000,-5025000,-4516000,893000,2082000,16039000
74,Depreciation and Amortization,- -,- -,- -,106000,2518000,3470000,6993000,896000,843000,98000,196000,122000,553000,100000,164000,181000,181000,168000,217000,27000,94000
75,Deferred Income Tax,- -,- -,- -,-531000,-1724000,-21816000,10657000,- -,- -,- -,- -,- -,- -,- -,-1057000,7000,- -,-936000,- -,- -,-11300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000,346000,234000,479000,777000,633000
