,https://roic.ai/company/ARGX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,1458104,2183458,3696595,4567343,7493495,15473686,43687166,24573324,78168967,36425000,497277000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,2677000,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.7242,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,6252349,14633533,12913916,15371613,22560296,33188549,62072606,95640586,221418810,325479000,580520000
6,General and Administrative Exp.,- -,1892295,2201973,2196968,3902184,5384514,7373480,14933896,- -,60321265,149367000,- -
7,Selling and Marketing Exp.,- -,566392,466845,747052,328323,- -,- -,- -,- -,12007124,- -,- -
8,"Selling, General and Administrative Exp.",- -,2458687,2668818,2944019,4230507,5384514,7373480,14933896,- -,72328390,149367000,307644000
9,Other Expenses,- -,-2533860,-1826381,-3559888,-1971156,-3390331,-2565100,-5807760,22560055,-14339323,- -,-42141000
10,Operating Expenses,- -,6177176,15475970,12298047,17630965,24554479,37996929,71198743,118200641,279407877,474846000,846023000
11,COGS and Expenses,- -,6177176,15475970,12298047,17630965,24554479,37996929,71198743,118200641,279407877,456737000,846023000
12,Interest Income ,- -,204783,460232,256842,166594,83091,64154,197951,1568291,8820235,- -,- -
13,Interest Expense (Gain),- -,1296,2645,5523,3648,- -,- -,- -,- -,138901,1414000,- -
14,Depreciation and Amortization,- -,222000,198000,121000,132000,196000,334000,435000,493000,2166000,3429000,5867000
15,EBITDA,- -,-4267664,-12625022,-8339604,-12406304,-16544647,-22145071,-32531624,-74829581,-174920881,-521296000,-393876000
16,EBITDA ratio,- -,-2.9269,-5.7821,-2.2560,-2.7163,-2.2079,-1.4311,-0.7446,-3.0452,-2.2377,-14.3115,-0.7921
17,Operating Income,- -,-4717776,-13292512,-8602834,-13063622,-17060984,-22523243,-27511577,-93627316,-200011202,-513835728,-348746000
18,Operating Income ratio,- -,-3.2356,-6.0878,-2.3272,-2.8602,-2.2768,-1.4556,-0.6297,-3.8101,-2.5587,-14.1067,-0.7013
19,Total Other Income Expenses (Gains),- -,226816,466845,136706,521669,320338,44171,-5455047,18304736,22785420,-12303272,-50997000
20,Income Before Tax,- -,-4490960,-12825667,-8466127,-12541952,-16740647,-22479071,-32966624,-75322581,-177225782,-526139000,-399743000
21,Income Before Tax Ratio,- -,-3.0800,-5.8740,-2.2903,-2.7460,-2.2340,-1.4527,-0.7546,-3.0652,-2.2672,-14.4444,-0.8039
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,716222,908259,5323058,2784000,8522000
23,Net Income,- -,-4490960,-12825667,-8466127,-12541952,-16740647,-22479071,-33682847,-76230840,-182548840,-528923000,-408265000
24,Net Income ratio,- -,-3.0800,-5.8740,-2.2903,-2.7460,-2.2340,-1.4527,-0.7710,-3.1022,-2.3353,-14.5209,-0.8210
25,EPS,- -,-0.29,-0.82,-0.54,-1.67,-1.06,-1.20,-1.37,-2.12,-4.73,-14.33,-7.99
26,EPS Diluted,- -,-0.29,-0.82,-0.54,-1.67,-1.06,-1.20,-1.37,-2.12,-4.73,-14.33,-7.99
27,Weighted Average Shares Outstanding,- -,15705112,15705112,15705112,7551576,15734007,18820612,24609536,35975312,38619121,45410442,51075827
28,Weighted Average Shares Outstanding Diluted,- -,15705112,15705112,15705112,7551576,15734007,18820612,24609536,35975312,38619121,45410442,51075827
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1697862/000155837020003438/0001558370-20-003438-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,10501174,30515197,20406274,31373415,39131281,38827542,94544824,228983612,321482498,371092840,1219631260,1334676000
32,Short-Term Investments,- -,- -,1388632,690436,28932584,7448669,7184174,202638146,324329673,1125256519,781460937,1002052000
33,Cash and Short-Term Investments,10501174,30515197,21794906,32063852,68063865,46276212,101728998,431621758,645812171,1496349359,2001092197,2336728000
34,Net Receivables,1385590,986326,568678,1518959,1592976,1482518,2243280,3599107,3645619,31786002,7458428,38221000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25253370,109076000
36,Other Current Assets,5428,67397,115058,147753,114305,496359,3083589,4834801,5361473,10106192,27977713,58946000
37,Total Current Assets,11892193,31568920,22478642,33730564,69771146,48255089,107055866,440055666,654819263,1538241554,2061781708,2542971000
38,PP&E,328416,356425,232761,165705,201858,272232,805603,810999,942576,9148445,11677162,15844000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,40713,15553,- -,- -,8512,7653,17879,15596,64059,44987230,167777723,171684000
41,Intangible Assets,40713,15553,- -,- -,8512,7653,17879,15596,64059,44987230,167777723,171684000
42,Investments,- -,- -,1323,1381,1216,1093,1052,1200,1144,2907967,6321952,53169000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15073059,32191000
44,Other Non-Current Assets,- -,- -,216891,642106,1167372,1714298,3360187,4095784,5872798,10301102,22241218,34415000
45,Total Non-Current Assets,369129,371978,450975,809191,1378958,1995277,4184721,4923579,6880577,67344744,223091115,307303000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12261322,31940898,22929616,34539755,71150105,50250366,111240587,444979245,661699840,1605586298,2284872823,2850274000
48,Accounts Payable,1689579,362906,1850186,1241404,2005205,2061968,4611712,18337452,6871425,10484810,206804093,208850000
49,Short-Term Debt,- -,2192988,2237681,- -,- -,- -,- -,- -,- -,2211220,3484453,3509000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,716222,941432,385339,3505363,4315000
51,Deferred Revenue,339273,- -,570000,629678,4196459,4527365,31767700,12081004,2471974,81031006,46435600,- -
52,Other Current Liabilities,- -,1486618,1620070,2698224,4046889,2904905,8209583,716222,36476779,85452325,72532717,88880000
53,Total Current Liabilities,2028852,4042512,6277938,4569306,10248553,9494238,44588995,31134679,45820178,179179362,329256863,301239000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5085581,6192807,7956000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,244233354,269664469,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1490702,6438000
57,Other Non-Current Liabilities,- -,- -,- -,-1381,- -,- -,1052,29993,8007,71691,154974,417000
58,Total Non-Current Liabilities,- -,- -,- -,-1381,- -,- -,1052,29993,8007,249390626,277502952,14811000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555005904,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,7296801,9677261,11465000
61,Total Liabilities,2028852,4042512,6277938,4567925,10248553,9494238,44590047,31164671,45828186,428569988,606759815,316050000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,248348,439375,448330,643486,1910356,1727418,2116024,3859443,4114619,4789856,5850881,6233000
64,Retained Earnings,-8409896,-12522844,-25603724,-35199812,-43540542,-55887434,-76239956,-120651678,-194009380,-372533381,-1059592394,-1400197000
65,Other Comprehensive Income/Loss,297203,540470,1561880,1969124,2890462,5080576,7883556,14113300,35400366,78971010,200462462,465413000
66,Other Total Stockholders Equity,18096815,39441384,40245193,62559032,99640060,89835567,132890918,516493510,770366049,1465788825,2531392059,3462775000
67,Total Stockholders Equity,10232470,27898386,16651678,29971830,60900336,40756128,66650541,413814574,615871654,1177016310,1678113008,2534224000
68,Total Liabilities And Stockholders Equity,12261322,31940898,22929616,34539755,71148889,50250366,111240587,444979245,661699840,1605586298,2284872823,2850274000
69,Minority Interest,0,0,-0,-0,1216,- -,- -,-0,- -,-0,- -,- -
70,Total Liabilities & Equity,12261322,31940898,22929616,34539755,71150105,50250366,111240587,444979245,661699840,1605586298,2284872823,2850274000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1697862/000155837020003438/0001558370-20-003438-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,-4490960,-12825667,-8466127,-12541952,-16740647,-22479071,-33682847,-76230840,-182548840,-528923000,-408265000
74,Depreciation and Amortization,- -,222000,198000,121000,132000,196000,334000,435000,493000,2166000,3429000,5867000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,199000,764000,245000,952000,2270000,2849000,4268000,19183000,39552000,84479000,179366000
77,Change in Working Capital,- -,146000,709000,-188000,4427000,-758000,30459000,-18351000,8917000,276939000,-11210000,-340951000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20532000,-83880000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-250000,431000,25000,2995000,689000,26066000,-20230000,-12023000,257079000,-42257000,-315366000
82,Other Non-Cash Items,- -,849960,2771667,2232127,1795952,1135647,-563929,10784847,-6201160,-1524160,105876000,-42829000
83,Cash Provided by Operating Activities,- -,-3074000,-8383000,-6056000,-5235000,-13897000,10599000,-36546000,-53839000,134584000,-346349000,-606812000
84,CAPEX,- -,-238000,-87000,-65000,-185000,-279000,-861000,-351000,-684000,-41747000,-4452000,-121434000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,157000,349000,186000,-23166000,17086000,34000,-161707000,-106920000,-742734000,311199000,-343447000
89,Cash Used for Investing Activites,- -,-80000,262000,121000,-23340000,16812000,-806000,-162052000,-107542000,-744338000,310250000,-347070000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1353000,-2230000,-3855000
91,Common Stock Issued,- -,19192000,- -,13308000,41691000,238000,44621000,305365000,255721000,678936000,731546000,1091326000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-248000,- -,- -,-3950000,- -,- -,- -,-11050000,-18224000,18581000,33871000
95,Cash Used/Provided by Financing Activities,- -,18944000,- -,13308000,37741000,238000,44621000,305365000,244671000,659359000,747897000,1121342000
96,Effect of Forex Changes on Cash,- -,17000,6000,-83000,295000,181000,-31000,-5797000,6883000,637000,-51471000,-49587000
97,Net Change In Cash,- -,15806000,-8114000,7290000,9460000,3334000,54383000,100970000,90173000,50242000,660327000,117873000
98,Cash at the End of Period,- -,23544000,15430000,22720000,32180000,35514000,89897000,190867000,281040000,331282000,991609000,1334676000
99,Cash at the Beginning of Period,- -,7738000,23544000,15430000,22720000,32180000,35514000,89897000,190867000,281040000,331282000,1216803000
100,Free Cash Flow,- -,-3312000,-8470000,-6121000,-5420000,-14176000,9738000,-36897000,-54523000,92837000,-350801000,-728246000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1697862/000155837020003438/0001558370-20-003438-index.htm,- -,- -
102,false,,,,,,,,,,,,
