,https://roic.ai/company/NVO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4158399600,4187427750,5027783550,5629806000,7619108250,8331880000,9829419700,10670777000,13145607000,13517840700,13713124800,14903938620,16984033110,17909684240,20944397330,20815014000,23717034390,25154110260,26613062700,29233563870,33713685040,38751814800,41888774000,45666120400,51078000000,60776000000,66346000000,78026000000,83572000000,88806000000,107927000000,111780000000,111696000000,111831000000,122021000000,126946000000,140800000000
2,COGS,2073373200,3293845500,2589793200,2716604800,3764953500,4125219200,4795257150,2526563000,6407685000,3833399360,3829522000,4167384276,4721704992,4386980976,5049425830,4379575200,5964763140,6624717840,7461827400,8105495370,9165986920,9589068200,9803538000,10131384800,10438000000,11680000000,12589000000,13465000000,14140000000,14562000000,16188000000,17183000000,17632000000,17617000000,20088000000,20932000000,23658000000
3,Gross Profit,2085026400,893582250,2437990350,2913201200,3854154750,4206660800,5034162550,8144214000,6737922000,9684441340,9883602800,10736554344,12262328118,13522703264,15894971500,16435438800,17752271250,18529392420,19151235300,21128068500,24547698120,29162746600,32085236000,35534735600,40640000000,49096000000,53757000000,64561000000,69432000000,74244000000,91739000000,94597000000,94064000000,94214000000,101933000000,106014000000,117142000000
4,Gross Profit Ratio,0.5014,0.2134,0.4849,0.5175,0.5059,0.5049,0.5122,0.7632,0.5126,0.7164,0.7207,0.7204,0.7220,0.7550,0.7589,0.7896,0.7485,0.7366,0.7196,0.7227,0.7281,0.7526,0.7660,0.7781,0.7956,0.8078,0.8103,0.8274,0.8308,0.8360,0.8500,0.8463,0.8421,0.8425,0.8354,0.8351,0.8320
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2769619590,3398509072,3356426540,3224522400,3959800740,4133370960,4203929700,4384760190,5074703900,6317370800,8550608000,7874022400,7864000000,9602000000,9628000000,10897000000,11733000000,13762000000,13608000000,14563000000,14014000000,14805000000,14220000000,15462000000,17772000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2764000000,3065000000,3245000000,3312000000,3508000000,3537000000,3857000000,3962000000,3784000000,3916000000,4007000000,3958000000,4050000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15420000000,18195000000,19004000000,21544000000,23380000000,23223000000,28312000000,28377000000,28340000000,29397000000,31823000000,32928000000,37008000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18184000000,21260000000,22249000000,24856000000,26888000000,26760000000,32169000000,32339000000,32124000000,33313000000,35830000000,36886000000,41058000000
9,Other Expenses,1351771200,224680500,1790542050,1976962400,2804223000,3154273600,3630297650,6985683250,4793872500,7844361000,8010961000,8756510700,7158559410,8057447202,8923363070,8967701600,8195283810,8422451100,8549764200,9713423700,11397595840,13725307400,14574900000,15250569200,- -,-1314000000,- -,-666000000,-682000000,-770000000,-3482000000,-737000000,-1041000000,-1152000000,-600000000,-460000000,-332000000
