,https://roic.ai/company/PLYM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,2664000,19290000,19658000,24818000,49217000,75290000,109851000,140618000
2,COGS,- -,- -,- -,604000,5751000,5927000,8205000,17449000,27237000,38159000,47636000
3,Gross Profit,- -,- -,- -,2060000,13539000,13731000,16613000,31768000,48053000,71692000,92982000
4,Gross Profit Ratio,- -,- -,- -,0.7733,0.7019,0.6985,0.6694,0.6455,0.6382,0.6526,0.6612
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1908671,2592108,3302000,4688000,3742000,5189000,6032000,7481000,10362000,12920000
7,Selling and Marketing Exp.,- -,165170,291585,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2073841,2883693,3302000,4688000,3742000,5189000,6032000,7481000,10362000,12920000
9,Other Expenses,- -,- -,- -,1642000,12136000,11674000,13998000,26788000,37381000,56428000,70642000
10,Operating Expenses,- -,2073841,2883693,4944000,16824000,15416000,19187000,32820000,44862000,66790000,83562000
11,COGS and Expenses,- -,2073841,2883693,5548000,22575000,21343000,27392000,50269000,72099000,104949000,131198000
12,Interest Income ,- -,- -,15,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,13279000,44676000,40679000,10713000,14252000,13918000,17464000,19968000
14,Depreciation and Amortization,- -,- -,- -,1587000,11785000,11319000,13575000,25484000,35893000,54353000,68546000
15,EBITDA,- -,-2074046,-2883693,-3563000,7796000,15011000,15581000,21020000,39391000,58004000,73506000
16,EBITDA ratio,- -,-Infinity,-Infinity,-1.3375,0.4041,0.7636,0.6278,0.4271,0.5232,0.5280,0.5227
17,Operating Income,- -,-2166678,-3472224,-5482000,-5369000,-1455000,-2677000,-1052000,3191000,4902000,-15267000
