,https://roic.ai/company/GPP,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,11032000,12843000,50937000,103772000,106993000,100748000,82387000,83345000,78452000
2,COGS,3572000,2568000,- -,- -,- -,- -,- -,3806000,3737000
3,Gross Profit,7460000,10275000,- -,- -,- -,- -,- -,79539000,74715000
4,Gross Profit Ratio,0.6762,0.8000,- -,- -,- -,- -,- -,0.9543,0.9524
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1402000,- -,32715000,38634000,37724000,36124000,29713000,4206000,4412000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1402000,- -,32715000,38634000,37724000,36124000,29713000,4206000,4412000
9,Other Expenses,17854000,6619000,-232000,- -,- -,- -,- -,26125000,23061000
10,Operating Expenses,19256000,6619000,32483000,38634000,37724000,36124000,29713000,30331000,27473000
11,COGS and Expenses,22828000,9187000,38543000,44281000,42835000,37845000,33154000,34137000,31210000
12,Interest Income ,49000,75000,86000,83000,81000,81000,81000,- -,- -
13,Interest Expense (Gain),768000,138000,381000,2545000,5402000,7307000,8310000,8513000,7392000
14,Depreciation and Amortization,3572000,2568000,5787000,5427000,5111000,4442000,3441000,3806000,3737000
15,EBITDA,-8224000,6178000,25168000,65001000,69489000,67531000,53450000,53678000,51679000
16,EBITDA ratio,-0.7455,0.4810,0.4941,0.6264,0.6495,0.6703,0.6488,0.6440,0.6587
17,Operating Income,-11796000,3656000,12667000,59491000,64158000,62903000,49233000,49208000,47242000
18,Operating Income ratio,-1.0693,0.2847,0.2487,0.5733,0.5996,0.6244,0.5976,0.5904,0.6022
19,Total Other Income Expenses (Gains),-719000,-63000,-568000,-2462000,-5171000,-7107000,-8215000,-8513000,-7392000
20,Income Before Tax,-12515000,3593000,12099000,57029000,58987000,55796000,41018000,40695000,39850000
21,Income Before Tax Ratio,-1.1344,0.2798,0.2375,0.5496,0.5513,0.5538,0.4979,0.4883,0.5080
22,Income Tax expense (Gain),-4705000,1339000,-4009000,224000,109000,101000,220000,212000,188000
23,Net Income,- -,2133000,23009000,56805000,58867000,55681000,41479000,41147000,40362000
24,Net Income ratio,- -,0.1661,0.4517,0.5474,0.5502,0.5527,0.5035,0.4937,0.5145
25,EPS,- -,1.67,0.71,1.75,1.81,1.81,1.76,1.74,1.71
26,EPS Diluted,- -,1.67,0.71,1.75,1.81,1.81,1.76,1.74,1.71
27,Weighted Average Shares Outstanding,31780000,31780000,31759155,31810857,31872928,23137695,23129000,23149000,23185000
28,Weighted Average Shares Outstanding Diluted,31780000,31780000,31759155,31810857,31872928,23137695,23129000,23149000,23185000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1635650/000163565016000060/0001635650-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565017000006/0001635650-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565018000004/0001635650-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565019000007/0001635650-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565020000007/0001635650-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565021000009/0001635650-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635650/000163565022000008/0001635650-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1704000,5705000,16385000,622000,502000,569000,261000,2478000,17645000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,3994000,- -
33,Cash and Short-Term Investments,1704000,5705000,16385000,622000,502000,569000,261000,6472000,17645000
