,https://roic.ai/company/VST,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,5978000000,5370000000,5164000000,5430000000,9144000000,11809000000,11443000000,12077000000
2,COGS,3756000000,3526000000,3674000000,3908000000,6333000000,7272000000,5174000000,10728000000
3,Gross Profit,2222000000,1844000000,1490000000,1522000000,2811000000,4537000000,6269000000,1349000000
4,Gross Profit Ratio,0.3717,0.3434,0.2885,0.2803,0.3074,0.3842,0.5478,0.1117
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,-1035000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,-1035000000,1040000000
9,Other Expenses,1978000000,1528000000,1365000000,1299000000,2320000000,2544000000,- -,1753000000
10,Operating Expenses,1978000000,1528000000,1365000000,1299000000,2320000000,2544000000,-1035000000,2793000000
11,COGS and Expenses,5734000000,5054000000,5039000000,5207000000,8653000000,9816000000,4139000000,13521000000
12,Interest Income ,- -,1000000,4000000,15000000,18000000,10000000,2000000,- -
13,Interest Expense (Gain),1726000000,1285000000,1093000000,206000000,525000000,564000000,630000000,454000000
14,Depreciation and Amortization,1440000000,995000000,817000000,835000000,1533000000,1876000000,2048000000,2050000000
15,EBITDA,-5383000000,-3276000000,23261000000,1291000000,1959000000,3658000000,3036000000,772000000
16,EBITDA ratio,-0.9005,-0.6101,4.5045,0.2378,0.2142,0.3098,0.2653,0.0639
17,Operating Income,-6015000000,-4091000000,407000000,198000000,491000000,1993000000,1519000000,-1515000000
18,Operating Income ratio,-1.0062,-0.7618,0.0788,0.0365,0.0537,0.1688,0.1327,-0.1254
19,Total Other Income Expenses (Gains),-2534000000,-1465000000,20944000000,52000000,-592000000,-777000000,-629000000,-207000000
20,Income Before Tax,-8549000000,-5556000000,21351000000,250000000,-101000000,1216000000,890000000,-1722000000
21,Income Before Tax Ratio,-1.4301,-1.0346,4.1346,0.0460,-0.0110,0.1030,0.0778,-0.1426
22,Income Tax expense (Gain),-2320000000,-879000000,-1337000000,504000000,-45000000,290000000,-266000000,-458000000
23,Net Income,-6229000000,-4677000000,22688000000,-254000000,-54000000,928000000,624000000,-1274000000
24,Net Income ratio,-1.0420,-0.8709,4.3935,-0.0468,-0.0059,0.0786,0.0545,-0.1055
25,EPS,-14.57,-10.94,53.06,-0.59,-0.11,1.88,1.30,-2.61
26,EPS Diluted,-14.57,-10.94,53.06,-0.59,-0.11,1.86,1.30,-2.59
27,Weighted Average Shares Outstanding,427500000,427500000,427580232,427761460,504954371,494146268,488668263,488668263
28,Weighted Average Shares Outstanding Diluted,427500000,427500000,427580232,427761460,504954371,499935490,491090468,491090468
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1692819/000169281918000018/0001692819-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281919000005/0001692819-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281920000005/0001692819-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281921000004/0001692819-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281922000005/0001692819-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,1400000000,843000000,1487000000,636000000,300000000,406000000,1325000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,1759000000,- -
33,Cash and Short-Term Investments,- -,1400000000,843000000,1487000000,636000000,300000000,2165000000,1325000000
34,Net Receivables,- -,533000000,612000000,582000000,1087000000,1365000000,1279000000,1956000000
35,Inventory,- -,428000000,285000000,253000000,412000000,469000000,515000000,610000000
36,Other Current Assets,- -,1089000000,733000000,351000000,1300000000,1980000000,-530000000,3992000000
37,Total Current Assets,- -,3450000000,2473000000,2673000000,3435000000,4114000000,3429000000,7883000000
38,PP&E,- -,9354000000,4447000000,4824000000,14616000000,13960000000,13499000000,13096000000
39,Goodwill,- -,152000000,1907000000,1907000000,2068000000,2553000000,2583000000,2583000000
40,Intangible Assets,- -,1174000000,3201000000,2526000000,2489000000,2746000000,2446000000,2146000000
41,Intangible Assets,- -,1326000000,5108000000,4433000000,4557000000,5299000000,5029000000,4729000000
42,Investments,- -,962000000,1064000000,1240000000,1381000000,1661000000,1759000000,2049000000
43,Tax Assets,- -,- -,1122000000,710000000,1336000000,1066000000,- -,1302000000
