,https://roic.ai/company/BRST,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11600000,10300000,3200000,200000,100000,200000,200000,100000,- -,- -,124045,44981,58018,91209,60810,20822,22913,48809,72289,80890,47615,1142738,5642544,5278304,5917259,- -,- -,- -,- -,- -,- -,7242000,19659000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,876115,4780910,3921744,7209635,- -,- -,- -,- -,- -,- -,2698000,1685000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47615,266623,861634,1356560,-1292376,- -,- -,- -,- -,- -,- -,4544000,17974000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.2333,0.1527,0.2570,-0.2184,- -,- -,- -,- -,- -,- -,0.6275,0.9143
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,400000,200000,200000,200000,300000,- -,- -,194837,- -,7076,195363,90886,117799,101206,119633,120816,691410,236258,- -,1852900,- -,1758383,505976,7000404,1104478,859401,698774,601024,5637000,8911000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,400000,200000,200000,200000,300000,- -,- -,194837,167293,7076,195363,90886,117799,101206,119633,120816,691410,236258,666749,1852900,1869110,1758383,505976,7000404,1104478,859401,698774,601024,5637000,8911000
9,Other Expenses,4300000,35400000,37700000,4600000,4800000,800000,600000,900000,- -,- -,82126,66948,-266328,- -,- -,- -,- -,- -,- -,- -,- -,809114,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000,15858000
10,Operating Expenses,4300000,35400000,37700000,5000000,5000000,1000000,800000,1200000,- -,- -,276963,234241,-259252,- -,- -,- -,- -,- -,- -,- -,236258,1475863,1852900,1869110,1758383,- -,- -,- -,- -,- -,- -,5783000,24769000
11,COGS and Expenses,4300000,35400000,37700000,5000000,5000000,1000000,800000,1200000,- -,- -,276963,234241,-259252,- -,- -,- -,- -,- -,- -,- -,236258,2351978,6633810,5790854,8968018,505976,7000404,1104478,859401,698774,601024,8481000,26454000
12,Interest Income ,- -,- -,- -,400000,100000,100000,100000,100000,- -,- -,- -,- -,58018,91209,60810,20822,22913,48809,72289,80890,47615,12063,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,55000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207354,320167,316500,444024,162300,4087656,- -,13208,17002,1516,3148000,6676000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263897,728182,903735,1078292,2445,- -,- -,- -,808,3232,182000,10442000
15,EBITDA,7300000,-25100000,-34500000,-5400000,-7300000,-500000,-400000,-700000,- -,- -,-252635,-179039,-76055,-104154,-30076,-96977,-78293,-70824,-48527,-610520,-562836,-933280,-237992,391185,-6828153,-503531,-7000404,-1104478,-859401,-697966,-597792,736000,10627000
16,EBITDA ratio,0.6293,-2.4369,-10.7813,-27.0000,-73.0000,-2.5000,-2.0000,-7.0000,- -,- -,-2.0366,-3.9803,-1.3109,-1.1419,-0.4946,-4.6574,-3.4170,-1.4510,-0.6713,-7.5475,-11.8206,-0.8167,-0.0422,0.0741,-1.1539,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1016,0.5406
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-601024,-1608000,-5110000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-0.2220,-0.2599
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132255,- -,- -,- -,- -,- -,- -,- -,-374193,-195291,-295075,-316500,-5299710,-162300,-4087656,- -,-13208,-17002,-1516,-4166000,-4414000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1404531,-1286341,-829050,-8350469,-668276,-11088060,-1104478,-872609,-715776,-602540,-5774000,-9524000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.2291,-0.2280,-0.1571,-1.4112,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7973,-0.4845
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1356862,-308490,- -,569582,- -,- -,- -,- -,- -,- -,-704000,3033000
23,Net Income,7300000,-25100000,-34500000,-5400000,-7300000,-500000,-400000,-700000,- -,- -,-252635,-179039,-76055,-104154,-30076,-96977,-78293,-70824,-48527,-610520,-562836,-47669,-977851,-829050,-8920051,1142827,-11088060,-1104478,-872609,-715776,-602540,-1890000,-9524000
24,Net Income ratio,0.6293,-2.4369,-10.7813,-27.0000,-73.0000,-2.5000,-2.0000,-7.0000,- -,- -,-2.0366,-3.9803,-1.3109,-1.1419,-0.4946,-4.6574,-3.4170,-1.4510,-0.6713,-7.5475,-11.8206,-0.0417,-0.1733,-0.1571,-1.5075,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2610,-0.4845
25,EPS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10.00,-5.00,-5.00,-35.00,-1.00,-3.00,-2.50,-2.50,-1.50,-15.00,-10.00,-1.00,-16.00,-13.50,-136.50,11.10,-83.00,-1.50,-0.80,-0.57,-0.23,-7.12,-0.37
26,EPS Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10.00,-5.00,-5.00,-35.00,-1.00,-3.00,-2.50,-2.50,-1.50,-15.00,-10.00,-1.00,-16.00,-13.50,-136.50,11.10,-83.00,-1.50,-0.80,-0.57,-0.23,-7.12,-0.37
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25264,24676,29976,29976,29976,29976,29976,29976,29976,41318,50220,50159,60864,60917,69612,103381,133512,816764,1038895,1516165,2610568,265354,22029408
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25264,24676,29976,29976,29976,29976,29976,29976,29976,41318,50220,52562,60864,60917,69612,103381,133512,816764,1038895,1516165,2610568,265354,22029408
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764897/000156459020058064/0001564590-20-058064-index.htm,https://www.sec.gov/Archives/edgar/data/764897/000156459021018959/0001564590-21-018959-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1613173,101361,61969,314233,5745,27124,402401,327382,450,708382,139721,9068000,4105000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1613173,101361,61969,314233,5745,27124,402401,327382,450,708382,139721,9068000,4105000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107,875524,688134,448279,319100,- -,- -,- -,- -,- -,- -,1955000,2224000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9750,229538,1093889,2288274,78079,10904,- -,8752,141703,38191,33784,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1623030,1206423,1843992,3050786,402924,38028,402401,336134,142153,746573,173505,11023000,6329000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2146086,2886275,2649764,2732664,- -,- -,- -,- -,21808,18576,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3658364,3658364,3658364,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1824827,1562297,1336622,- -,- -,- -,- -,- -,- -,- -,3439000,20619000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5483191,5220661,4994986,- -,- -,- -,- -,- -,- -,- -,3439000,20619000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569582,569582,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199993,171542,135026,6541,- -,- -,- -,- -,- -,- -,177848000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340000,7829270,8848060,8349358,2739205,- -,- -,- -,- -,21808,18576,181287000,20619000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1723957,1628598,1544846,1471968,1439979,2284737,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1723957,1628598,1544846,1471968,1439979,2284737,1963030,9035693,10692052,11400144,3142129,38028,402401,336134,142153,768381,192081,192310000,26948000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,871533,934789,799622,1107903,30293,33895,42304,62039,66319,92566,8692000,10486000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894206,1665214,1574896,4176665,150000,- -,- -,471826,33191,33184,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151924,758849,2050163,- -,- -,- -,- -,- -,- -,- -,568000,502000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10303,35375,105563,299348,708660,420324,275323,266354,362922,27361,27361,484000,122060000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10303,1953038,3464415,4724029,5993228,600617,309218,308658,896787,126871,153111,9744000,133048000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3008467,2349623,1743339,- -,- -,- -,- -,- -,- -,- -,112473000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110088,- -,- -,- -,- -,- -,- -,- -,- -,- -,14650000,11853000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155196,144967,- -,- -,- -,- -,- -,- -,- -,3439000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3118555,2504819,1888306,- -,- -,- -,- -,- -,- -,- -,131130000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37003,38621,33162,31108,47646,72924,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14894000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245375,276657,278397,- -,- -,- -,- -,- -,- -,3439000,2381000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37003,38621,33162,31108,47646,72924,10303,5071593,5969234,6612335,5993228,600617,309218,308658,896787,126871,153111,140874000,147942000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576637,1617236,2670975,2548017,104,104,104,5,5,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88060847,88060847,88060847,88060847,89490847,89794597,30204,30458,30458,34806,10369,15633,103174,105672,26105,26105,216000,225000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86365704,-86462681,-86540974,-86611798,-86660325,-87270845,-87833681,-87881350,-88859202,-89688252,-98608303,-97465476,-108553536,-109658014,-110530623,-111246399,-111848939,-1890000,- -
