,https://roic.ai/company/PRO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,30458000,32445802,35129761,46027509,62079544,75588000,68783000,71045000,96639000,117791000,144837000,185829000,168246000,153276000,168816000,197024000,250334000,252424000,251423000
2,COGS,- -,- -,13380916,15605404,17944311,19252000,18645000,20567000,26437000,33785000,43135000,58086000,61410000,63353000,68566000,77179000,99117000,104633000,104925000
3,Gross Profit,- -,- -,21748845,30422105,44135233,56336000,50138000,50478000,70202000,84006000,101702000,127743000,106836000,89923000,100250000,119845000,151217000,147791000,146498000
4,Gross Profit Ratio,- -,- -,0.6191,0.6610,0.7109,0.7453,0.7289,0.7105,0.7264,0.7132,0.7022,0.6874,0.6350,0.5867,0.5938,0.6083,0.6041,0.5855,0.5827
5,Research and Development Exp.,- -,- -,6399159,10332301,16836805,20309000,20136000,20664000,25671000,27611000,32467000,43174000,46780000,52804000,56021000,55657000,67246000,75614000,82268000
6,General and Administrative Exp.,- -,- -,- -,- -,16292887,22094000,22635000,34101000,35930000,- -,- -,37761000,38517000,38537000,40336000,41302000,47254000,51075000,49742000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,48215000,63524000,62156000,74146000,63980000,68116000,72006000,89553000,87182000,86445000
8,"Selling, General and Administrative Exp.",- -,- -,12010371,13260623,16292887,22094000,22635000,34101000,35930000,48215000,63524000,99917000,112663000,102517000,108452000,113308000,136807000,138257000,136187000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,18409530,23592924,33129692,42403000,42771000,54765000,61601000,75826000,95991000,143091000,159443000,155321000,164473000,168965000,204053000,213871000,218455000
11,COGS and Expenses,- -,- -,31790446,39198328,51074003,61655000,61416000,75332000,88038000,109611000,139126000,201177000,220853000,218674000,233039000,246144000,303170000,318504000,323380000
12,Interest Income ,- -,- -,- -,- -,- -,- -,196000,69000,33000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8914000,9319000,13218000,16986000,14765000,10392000,4813000
14,Depreciation and Amortization,- -,- -,1515303,1270441,1182582,1363000,1486000,1361000,1609000,2286000,4307000,10443000,10395000,9507000,10531000,13055000,13870000,14334000,12060000
15,EBITDA,1680000,3655919,5929371,10020198,12942313,16408000,9049000,-2832000,10243000,10303000,7580000,-13708000,-45763000,-55929000,-54028000,-34005000,-39822000,-51582000,-63466000
16,EBITDA ratio,0.0552,0.1127,0.1688,0.2177,0.2085,0.2171,0.1316,-0.0399,0.1060,0.0875,0.0523,-0.0738,-0.2720,-0.3649,-0.3200,-0.1726,-0.1591,-0.2043,-0.2524
17,Operating Income,1883000,32445802,3339315,6829181,11005541,13933000,7367000,-4287000,8601000,8180000,3538000,-22407000,-55497000,-65398000,-64943000,-49215000,-53338000,-66080000,-74343000
18,Operating Income ratio,0.0618,1.0000,0.0951,0.1484,0.1773,0.1843,0.1071,-0.0603,0.0890,0.0694,0.0244,-0.1206,-0.3299,-0.4267,-0.3847,-0.2498,-0.2131,-0.2618,-0.2957
19,Total Other Income Expenses (Gains),- -,- -,1074753,1920576,754190,1112000,196000,94000,33000,-163000,-265000,-2651000,-9575000,-9357000,-12834000,-14831000,-15119000,-10228000,-5996000
20,Income Before Tax,- -,- -,4414068,8749757,11759731,15045000,7563000,-4193000,8634000,8017000,3273000,-25058000,-65072000,-74755000,-77777000,-64046000,-68457000,-76308000,-80339000
21,Income Before Tax Ratio,- -,- -,0.1257,0.1901,0.1894,0.1990,0.1100,-0.0590,0.0893,0.0681,0.0226,-0.1348,-0.3868,-0.4877,-0.4607,-0.3251,-0.2735,-0.3023,-0.3195
22,Income Tax expense (Gain),- -,- -,974541,1724498,1242651,4288000,2047000,-2262000,2284000,3051000,-173000,12493000,739000,470000,149000,200000,624000,676000,870000
23,Net Income,1680000,3655919,3439527,7025259,10517080,10757000,5516000,-1931000,6350000,4966000,3446000,-36644000,-65811000,-75225000,-77926000,-64246000,-69081000,-76984000,-81209000
24,Net Income ratio,0.0552,0.1127,0.0979,0.1526,0.1694,0.1423,0.0802,-0.0272,0.0657,0.0422,0.0238,-0.1972,-0.3912,-0.4908,-0.4616,-0.3261,-0.2760,-0.3050,-0.3230
25,EPS,0.05,0.24,0.19,0.33,0.45,0.41,0.21,-0.07,0.24,0.18,0.12,-1.27,-2.23,-2.47,-2.46,-1.86,-1.72,-1.78,-1.83
26,EPS Diluted,0.05,0.19,0.16,0.32,0.45,0.40,0.21,-0.07,0.23,0.17,0.11,-1.27,-2.23,-2.47,-2.46,-1.86,-1.72,-1.78,-1.83
27,Weighted Average Shares Outstanding,8165000,9822094,13891415,19649372,23026163,26120613,25710569,26089850,26831530,27365731,28004019,28915496,29578000,30395000,31627000,34465000,40232000,43301000,44348000
28,Weighted Average Shares Outstanding Diluted,17979000,19617672,20012010,20604202,23433981,26569074,26430817,26089850,27761958,28419956,30114373,28915496,29578000,30395000,31627000,34465000,40232000,43301000,44348000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1392972/000110465908012328/a08-6063_110k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000110465909012603/0001104659-09-012603-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000095012310022407/0000950123-10-022407-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000095012311019844/h79999e10vk.htm,https://www.sec.gov/Archives/edgar/data/1392972/000119312512081468/0001193125-12-081468-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297213000005/0001392972-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297214000045/pro-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297215000046/pro-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297216000143/0001392972-16-000143-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297217000038/0001392972-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297218000068/0001392972-18-000068-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297219000067/0001392972-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297220000059/0001392972-20-000059-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297221000039/0001392972-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297222000031/0001392972-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26846000,- -,38489803,42540180,44377863,51979000,62449000,55845000,68457000,83558000,44688000,161019000,161770000,118039000,160505000,295476000,306077000,329134000,227553000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,73000,- -,- -,- -,- -,2500000,15996000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26846000,- -,38489803,42540180,44377863,51979000,62449000,55918000,68457000,83558000,44688000,161019000,164270000,134035000,160505000,295476000,306077000,329134000,227553000
34,Net Receivables,- -,- -,7429022,13788989,14896176,16179000,12035000,27402000,33864000,38801000,46566000,71095000,39115000,33285000,32484000,41822000,65074000,49578000,40581000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1349355,2199997,4050012,3238000,4143000,6170000,8353000,5067000,45875000,8175000,7656000,6337000,9067000,8845000,14794000,15588000,15395000
37,Total Current Assets,- -,- -,47268180,58529166,63324051,71396000,78627000,89490000,110674000,127426000,137129000,240289000,211041000,173657000,202056000,346143000,385945000,394300000,283529000
38,PP&E,- -,- -,2553309,2372872,3063391,2901000,2959000,3248000,4703000,12788000,15587000,15788000,15777000,15238000,14007000,14676000,41344000,67193000,56690000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7024000,21563000,20445000,20096000,38458000,38231000,49104000,50044000,108133000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8232000,20195000,14191000,12650000,26929000,19354000,14605000,8341000,27618000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15256000,41758000,34636000,32746000,65387000,57585000,63709000,58385000,135751000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
