,https://roic.ai/company/AIRC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,28200000,77600000,108883000,206943000,401242000,577372000,1100692000,1463564000,1506234000,1516283000,1468915000,1521523000,1690994000,1721184000,1457918000,1195763000,1144934000,1079584000,1033197000,974053000,984363000,981310000,995854000,1005437000,972410000,914294000,719556000,740853000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26774000,539809000,524666000,460397000,414233000,380013000,380626000,365248000,356760000,354379000,328822000,311221000,249036000,268101000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1431144000,655954000,620268000,619187000,618964000,594040000,603737000,616062000,639094000,651058000,643588000,603073000,470520000,472752000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9816,0.5486,0.5418,0.5735,0.5991,0.6099,0.6133,0.6278,0.6418,0.6475,0.6618,0.6596,0.6539,0.6381
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1700000,1800000,1512000,5396000,14650000,13112000,18123000,18530000,20344000,28815000,78093000,92918000,101702000,89251000,99040000,69567000,53365000,50950000,49602000,45708000,44195000,43178000,44937000,43657000,46268000,47037000,46377000,18585000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1700000,1800000,1512000,5396000,14650000,13112000,18123000,18530000,20344000,28815000,78093000,92918000,101702000,89251000,99040000,69567000,53365000,50950000,49602000,45708000,44195000,43178000,44937000,43657000,46268000,47037000,46377000,18585000
9,Other Expenses,-19000000,-49300000,105664000,171301000,321610000,478763000,999187000,1294933000,1231918000,1030535000,1062064000,1129164000,1252139000,1284675000,1104535000,464633000,426060000,378043000,360853000,299313000,295372000,316669000,347361000,377537000,381564000,399263000,394803000,346962000
10,Operating Expenses,-17300000,-47500000,107176000,176697000,336260000,491875000,1017310000,1313463000,1252262000,1059350000,1140157000,1222082000,1353841000,1373926000,1203575000,534200000,479425000,428993000,410455000,345021000,339567000,359847000,392298000,421194000,427832000,446300000,441180000,365547000
11,COGS and Expenses,-17300000,-47500000,107176000,176697000,336260000,491875000,1017310000,1313463000,1252262000,1059350000,1140157000,1222082000,1353841000,1373926000,1230349000,1074009000,1004091000,889390000,824688000,725034000,720193000,725095000,749058000,775573000,756654000,757521000,690216000,633648000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17130000,9341000,11131000,10041000,9913000,16059000,6878000,6949000,7797000,8332000,10914000,11424000,12374000,58651000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368709000,324160000,312576000,310780000,246761000,237048000,220971000,199685000,196389000,194615000,200634000,168807000,160359000,129467000
14,Depreciation and Amortization,4900000,15200000,21209000,43520000,101610000,151166000,330019000,364378000,292615000,335081000,368844000,412075000,490698000,500340000,458595000,495568000,436833000,395333000,345077000,291910000,282608000,306301000,333066000,366184000,377786000,380171000,320943000,319742000
15,EBITDA,12000000,28600000,34193000,72153000,166084000,232125000,429197000,471730000,461661000,493938000,632341000,483057000,667485000,530251000,1189396000,736783000,659248000,641860000,723365000,734289000,792781000,727172000,934657000,844447000,1231620000,1019926000,472612000,891584000
16,EBITDA ratio,0.4255,0.3686,0.3140,0.3487,0.4139,0.4020,0.3899,0.3223,0.3065,0.3258,0.4305,0.3175,0.3947,0.3081,0.8158,0.6162,0.5758,0.5945,0.7001,0.7538,0.8054,0.7410,0.9385,0.8399,1.2666,1.1155,0.6568,1.2035
17,Operating Income,- -,- -,1707000,30246000,64982000,85497000,83382000,150101000,253972000,456933000,328758000,299441000,337153000,347258000,204767000,110513000,130509000,166287000,200160000,249019000,262350000,256215000,246796000,193983000,215756000,- -,- -,- -
18,Operating Income ratio,- -,- -,0.0157,0.1462,0.1620,0.1481,0.0758,0.1026,0.1686,0.3014,0.2238,0.1968,0.1994,0.2018,0.1405,0.0924,0.1140,0.1540,0.1937,0.2557,0.2665,0.2611,0.2478,0.1929,0.2219,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-2818000,5328000,-16662000,694000,-6417000,- -,32978000,34567000,31777000,-416846000,-326221000,-314831000,-315553000,-215995000,-216382000,-214922000,-192349000,-182521000,-178589000,487820000,348119000,-48475000,366773000
