,https://roic.ai/company/HMLP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,5512000,50873000,70195000,57465000,91107000,143531000,146561000,145436000,143095000,141260000
2,COGS,5512000,43280000,41820000,9679000,16395000,23942000,24195000,30870000,45009000,49263000
3,Gross Profit,- -,7593000,28375000,47786000,74712000,119589000,122366000,114566000,98086000,91997000
4,Gross Profit Ratio,- -,0.1493,0.4042,0.8316,0.8200,0.8332,0.8349,0.7877,0.6855,0.6513
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3185000,8043000,11656000,8733000,9718000,9910000,8916000,9861000,9740000,12410000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3185000,8043000,11656000,8733000,9718000,9910000,8916000,9861000,9740000,12410000
9,Other Expenses,- -,1106000,2374000,2585000,2767000,2499000,2571000,2882000,2400000,- -
10,Operating Expenses,- -,9149000,14030000,11318000,12485000,12409000,11487000,12743000,12140000,12410000
11,COGS and Expenses,8698000,52429000,60123000,3942000,20043000,49767000,36319000,55100000,57149000,61673000
12,Interest Income ,2481000,2122000,4959000,7568000,857000,500000,725000,947000,605000,553000
13,Interest Expense (Gain),-1994000,-2189000,9590000,17770000,25178000,30085000,26814000,27692000,22003000,26829000
14,Depreciation and Amortization,- -,8000,1317000,2653000,10552000,21054000,21146000,21477000,20937000,20417000
15,EBITDA,2194000,38346000,12811000,61389000,73235000,96043000,117277000,109185000,111649000,123531000
16,EBITDA ratio,0.3980,0.7538,0.1825,1.0683,0.8038,0.6691,0.8002,0.7507,0.7802,0.8745
17,Operating Income,1822000,39778000,10072000,53523000,71064000,93764000,110242000,89306000,94766000,105423000
18,Operating Income ratio,0.3306,0.7819,0.1435,0.9314,0.7800,0.6533,0.7522,0.6141,0.6623,0.7463
19,Total Other Income Expenses (Gains),2366000,749000,-7158000,-11931000,-25815000,-30696000,-24315000,-29290000,-26057000,-29138000
20,Income Before Tax,4188000,40527000,2914000,41592000,45249000,63068000,85927000,60016000,68709000,76285000
21,Income Before Tax Ratio,0.7598,0.7966,0.0415,0.7238,0.4967,0.4394,0.5863,0.4127,0.4802,0.5400
22,Income Tax expense (Gain),- -,- -,-505000,-313000,-3872000,-3878000,-8305000,7275000,5564000,16290000
23,Net Income,4188000,40527000,2409000,41279000,41377000,48782000,77622000,52741000,63145000,59995000
24,Net Income ratio,0.7598,0.7966,0.0343,0.7183,0.4542,0.3399,0.5296,0.3626,0.4413,0.4247
25,EPS,0.16,1.54,0.23,1.54,1.58,1.37,1.93,1.12,1.40,1.74
26,EPS Diluted,0.16,1.54,0.23,1.54,1.58,1.37,1.93,1.12,1.40,1.74
27,Weighted Average Shares Outstanding,26312120,26312120,26312120,26401948,26187975,33797080,33844041,34724107,34530714,34530714
