,https://roic.ai/company/APLS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,250646000,66563000
2,COGS,- -,- -,- -,- -,- -,- -,- -,25050000,5200000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,225596000,61363000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.9001,0.9219
5,Research and Development Exp.,2317275,8379522,13730311,22978599,40303878,105285576,220968770,299921000,420869000
6,General and Administrative Exp.,1706032,2908166,6356782,4303743,10463151,22639184,67046483,139401000,176771000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1706032,2908166,6356782,4303743,10463151,22639184,67046483,139401000,176771000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4023307,11287688,20087093,27282342,50767029,127924760,288015253,439322000,597640000
11,COGS and Expenses,4029572,11294282,20087093,27282342,50767029,127924760,288015253,464372000,602840000
12,Interest Income ,- -,- -,- -,- -,- -,2960771,5108779,4164000,418000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,2512956,5284610,29937000,13241000
14,Depreciation and Amortization,6265,6594,- -,- -,11935,- -,239683,637000,1492000
15,EBITDA,-4023307,-11287688,6398907,-27282342,-50755094,-125074747,-287775570,-312455000,-731269000
16,EBITDA ratio,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2466,-10.9861
17,Operating Income,-4029572,-11294282,-46573093,-27282342,-50767029,-127924760,-288015253,-213726000,-536277000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.8527,-8.0567
19,Total Other Income Expenses (Gains),68004,62459,57137,157705,-239065,422566,-16691360,-129303000,-209725000
20,Income Before Tax,-3961568,-11231823,-46515956,-27124637,-51006094,-127502194,-304706613,-343029000,-746002000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.3686,-11.2075
22,Income Tax expense (Gain),- -,-443340,- -,- -,- -,- -,- -,1845000,352000
23,Net Income,-3961568,-10788483,-46515956,-27124637,-51006094,-127502194,-304706613,-344874000,-746354000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.3759,-11.2127
25,EPS,-0.22,-0.60,-2.57,-1.51,-3.68,-2.34,-4.90,-4.59,-8.84
26,EPS Diluted,-0.22,-0.60,-2.57,-1.51,-3.68,-2.34,-4.90,-4.59,-8.84
27,Weighted Average Shares Outstanding,18092904,18092904,18092904,18008243,13870949,54396483,62228601,75163000,84421000
28,Weighted Average Shares Outstanding Diluted,18092904,18092904,18092904,18008243,13870949,54396483,62228601,75163000,84421000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492422/000156459018006193/0001564590-18-006193-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459019004492/0001564590-19-004492-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459020007350/0001564590-20-007350-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459021008800/0001564590-21-008800-index.htm,https://www.sec.gov/Archives/edgar/data/1492422/000156459022007606/0001564590-22-007606-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,4758361,13622995,36003546,24863488,175643529,176267666,351985085,565779000,640192000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,311869000,60358000
33,Cash and Short-Term Investments,4758361,13622995,36003546,24863488,175643529,176267666,351985085,877648000,700550000
34,Net Receivables,67216,465850,- -,- -,- -,- -,- -,- -,10103000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,16286000
36,Other Current Assets,364790,158497,2040292,2505242,6371777,26171555,21109599,39544000,97108000
37,Total Current Assets,5190367,14247342,38043838,27368730,182015306,202439221,373094684,917192000,824047000
38,PP&E,9127,21675,- -,- -,- -,- -,15765208,24522000,26078000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,37221,133271,64528,116150,1094338,385088,18855000,31640000
45,Total Non-Current Assets,9127,58896,133271,64528,116150,1094338,16150296,43377000,57718000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5199494,14306238,38177109,27433258,182131456,203533559,389244980,960569000,881765000
48,Accounts Payable,353869,751529,2477433,2547212,3663253,10254938,8360527,8477000,16909000
49,Short-Term Debt,- -,- -,- -,- -,- -,1666667,2609341,3685000,4115000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
