,https://roic.ai/company/AMCX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,973644000,1078300000,1187741000,1352577000,1591858000,2175641000,2580935000,2755654000,2805691000,2971929000,3060321000,2814956000,3077608000
2,COGS,310365000,366093000,425961000,507436000,662233000,983575000,1137133000,1279984000,1341076000,1445949000,1506985000,1401591000,1432083000
3,Gross Profit,663279000,712207000,761780000,845141000,929625000,1192066000,1443802000,1475670000,1464615000,1525980000,1553336000,1413365000,1645525000
4,Gross Profit Ratio,0.6812,0.6605,0.6414,0.6248,0.5840,0.5479,0.5594,0.5355,0.5220,0.5135,0.5076,0.5021,0.5347
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,313904000,328134000,335656000,396926000,425735000,560950000,636580000,636028000,613342000,657457000,679444000,708820000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",313904000,328134000,335656000,396926000,425735000,560950000,636580000,636028000,613342000,657457000,679444000,708820000,891734000
9,Other Expenses,106504000,106455000,99848000,85380000,54667000,69048000,83031000,84778000,94638000,91281000,101098000,104606000,93881000
10,Operating Expenses,420408000,434589000,435504000,482306000,480402000,629998000,719611000,720806000,707980000,748738000,780542000,813426000,985615000
11,COGS and Expenses,730773000,800682000,861465000,989742000,1142635000,1613573000,1856744000,2000790000,2049056000,2194687000,2287527000,2215017000,2417698000
12,Interest Income ,836000,2388000,1074000,502000,819000,1433000,2427000,5064000,14704000,19180000,24707000,30032000,10243000
13,Interest Expense (Gain),76541000,75800000,95870000,127778000,115860000,130262000,128135000,123632000,134001000,154993000,157798000,138610000,129073000
14,Depreciation and Amortization,106504000,106455000,99848000,440857000,552275000,698894000,831576000,947080000,1048876000,1052415000,1075933000,1028492000,1003220000
15,EBITDA,307208000,350427000,406420000,791223000,1137714000,1219108000,1527589000,1506084000,1804934000,1809901000,1692687000,1552472000,1477282000
16,EBITDA ratio,0.3155,0.3250,0.3422,0.5850,0.7147,0.5603,0.5919,0.5465,0.6433,0.6090,0.5531,0.5515,0.4800
17,Operating Income,237709000,279836000,- -,362838000,582167000,546353000,709193000,657556000,722359000,726909000,625277000,442644000,489922000
18,Operating Income ratio,0.2441,0.2595,- -,0.2683,0.3657,0.2511,0.2748,0.2386,0.2575,0.2446,0.2043,0.1572,0.1592
19,Total Other Income Expenses (Gains),-78755000,-73574000,-115666000,-140564000,-113166000,-149325000,-126399000,-202731000,-81981000,-106636000,-139091000,-40265000,-115690000
