,https://roic.ai/company/GRMN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,232586000,345741000,369119000,465144000,572989000,762549000,1027773000,1774000000,3180319000,3494077000,2946440000,2689911000,2758569000,2715675000,2631851000,2870658000,2820270000,3018665000,3087004000,3347444000,3757505000,4186573000,4982795000
2,COGS,100082000,154446000,170960000,210088000,242448000,351310000,492703000,891614000,1717064000,1940562000,1502329000,1343537000,1419977000,1277195000,1224551000,1266246000,1281566000,1339095000,1303840000,1367725000,1523529000,1705237000,2092336000
3,Gross Profit,132504000,191295000,198159000,255056000,330541000,411239000,535070000,882386000,1463255000,1553515000,1444111000,1346374000,1338592000,1438480000,1407300000,1604412000,1538704000,1679570000,1783164000,1979719000,2233976000,2481336000,2890459000
4,Gross Profit Ratio,0.5697,0.5533,0.5368,0.5483,0.5769,0.5393,0.5206,0.4974,0.4601,0.4446,0.4901,0.5005,0.4852,0.5297,0.5347,0.5589,0.5456,0.5564,0.5776,0.5914,0.5945,0.5927,0.5801
5,Research and Development Exp.,17339000,21764000,28164000,32163000,43706000,78991000,74879000,113314000,159406000,206109000,238378000,277261000,298584000,325773000,364923000,395121000,427043000,467960000,511634000,567805000,605366000,705685000,840024000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264202000,287824000,341217000,369790000,355440000,372032000,394914000,410558000,437977000,478177000,518568000,570245000,659986000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155521000,144613000,145024000,138757000,112905000,146633000,167166000,177143000,164693000,155394000,164456000,151166000,171829000
8,"Selling, General and Administrative Exp.",27063000,32669000,38709000,45453000,59835000,61580000,122021000,214513000,396498000,485389000,419723000,432437000,486241000,508547000,468345000,518665000,562080000,587701000,602670000,633571000,683024000,721411000,831815000
9,Other Expenses,5572000,7569000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,49974000,62002000,66873000,77616000,103541000,140571000,196900000,327827000,555904000,691498000,658101000,709698000,784825000,834320000,833268000,913786000,989123000,1055661000,1114304000,1201376000,1288390000,1427096000,1671839000
11,COGS and Expenses,150056000,216448000,237833000,287704000,345989000,491881000,689603000,1219441000,2272968000,2632060000,2160430000,2053235000,2204802000,2111515000,2057819000,2180032000,2270689000,2394756000,2418144000,2569101000,2811919000,3132333000,3764175000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,35535000,23519000,24979000,32812000,35108000,35271000,35584000,29653000,33406000,36925000,47147000,52817000,37002000,28573000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,607000,- -,1246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,5572000,7569000,10868000,16131000,20104000,34599000,43596000,44475000,64037000,78417000,96486000,94651000,94535000,90467000,78804000,77015000,78360000,86340000,86252000,96194000,106175000,126715000,154818000
15,EBITDA,89704000,148491000,162903000,198866000,246047000,289810000,416196000,639029000,1042310000,993390000,905137000,673169000,678696000,714995000,732362000,800760000,645547000,716010000,768546000,919441000,1093397000,1230125000,1361614000
16,EBITDA ratio,0.3857,0.4295,0.4413,0.4275,0.4294,0.3801,0.4049,0.3602,0.3277,0.2843,0.3072,0.2503,0.2460,0.2633,0.2783,0.2789,0.2289,0.2372,0.2490,0.2747,0.2910,0.2938,0.2733
17,Operating Income,82530000,129293000,131286000,177440000,227000000,270668000,338170000,554559000,907351000,862017000,786010000,636676000,553767000,604160000,574032000,690626000,549581000,623909000,668860000,778343000,945586000,1054240000,1218620000
18,Operating Income ratio,0.3548,0.3740,0.3557,0.3815,0.3962,0.3550,0.3290,0.3126,0.2853,0.2467,0.2668,0.2367,0.2007,0.2225,0.2181,0.2406,0.1949,0.2067,0.2167,0.2325,0.2517,0.2518,0.2446
19,Total Other Income Expenses (Gains),1602000,11629000,20748000,5295000,-1057000,-15457000,34430000,39995000,70922000,52349000,22641000,-59404000,30394000,20368000,79526000,33119000,17606000,5761000,13434000,44904000,41636000,49170000,-11824000
20,Income Before Tax,84132000,140922000,152034000,182735000,225943000,255211000,372600000,594554000,978273000,914366000,808651000,577272000,584161000,624528000,653558000,723745000,567187000,629670000,682294000,823247000,987222000,1103410000,1206796000
21,Income Before Tax Ratio,0.3617,0.4076,0.4119,0.3929,0.3943,0.3347,0.3625,0.3351,0.3076,0.2617,0.2745,0.2146,0.2118,0.2300,0.2483,0.2521,0.2011,0.2086,0.2210,0.2459,0.2627,0.2636,0.2422
22,Income Tax expense (Gain),19965000,35259000,38587000,39937000,47309000,49511000,61381000,80431000,123262000,181518000,104701000,-7331000,63265000,82125000,41146000,359534000,110960000,118856000,-12661000,129167000,34736000,111086000,124596000
23,Net Income,64167000,105663000,113448000,142798000,178634000,205700000,311219000,514123000,855011000,732848000,703950000,584603000,520896000,542403000,612412000,364211000,456227000,510814000,694955000,694080000,952486000,992324000,1082200000
24,Net Income ratio,0.2759,0.3056,0.3073,0.3070,0.3118,0.2698,0.3028,0.2898,0.2688,0.2097,0.2389,0.2173,0.1888,0.1997,0.2327,0.1269,0.1618,0.1692,0.2251,0.2073,0.2535,0.2370,0.2172
25,EPS,0.16,0.53,0.53,0.66,0.82,0.95,1.44,2.38,3.95,3.51,3.51,2.97,2.68,2.78,3.13,1.89,2.39,2.71,3.70,3.68,5.01,5.19,5.63
26,EPS Diluted,0.16,0.53,0.53,0.66,0.82,0.94,1.43,2.35,3.89,3.48,3.50,2.95,2.67,2.76,3.12,1.88,2.39,2.70,3.68,3.66,4.99,5.17,5.61
27,Weighted Average Shares Outstanding,400000000,201262857,216091429,216360606,216526061,216526316,216124306,216018067,216458481,208993000,200395000,196979000,194105000,194909000,195411000,193106000,190631000,188818000,187828000,188635000,189931000,191085000,192180000
28,Weighted Average Shares Outstanding Diluted,400000000,201262857,217242000,216386000,217846341,217671958,218399298,218775745,219797172,210680000,201161000,198009000,194894000,196213000,196339000,194165000,191107000,189343000,188732000,189734000,190899000,191895000,193043000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121788/000156459021006192/0001564590-21-006192-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/0000950170-22-001303-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,192800000,216800000,274300000,249900000,334400000,337300000,707700000,696300000,1091600000,1260900000,1287200000,1231200000,1179100000,1196268000,833070000,846883000,891488000,1201732000,1027567000,1458442000,1498058000
