,https://roic.ai/company/SCKT,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3100000,4500000,4570000,4779200,5477804,6900000,11550479,12330200,16312668,21610702,26130217,25034108,24981455,24118032,26557048,17126630,13498196,17510780,13564764,15661305,17020754,18400182,20787588,21285800,16454426,19253105,15700036,23199000
2,COGS,2200000,2600000,2500000,2788108,2238658,2700000,6815204,5825454,8177371,10907333,12768383,12445082,12790062,12244873,14167085,9753006,8096520,10261612,8517648,9357868,9607829,9465443,10353370,9895791,7998018,9152462,7365135,10763000
3,Gross Profit,900000,1900000,2070000,1991092,3239146,4200000,4735275,6504746,8135297,10703369,13361834,12589026,12191393,11873159,12389963,7373624,5401676,7249168,5047116,6303437,7412925,8934739,10434218,11390009,8456408,10100643,8334901,12436000
4,Gross Profit Ratio,0.2903,0.4222,0.4530,0.4166,0.5913,0.6087,0.4100,0.5275,0.4987,0.4953,0.5114,0.5029,0.4880,0.4923,0.4665,0.4305,0.4002,0.4140,0.3721,0.4025,0.4355,0.4856,0.5019,0.5351,0.5139,0.5246,0.5309,0.5361
5,Research and Development Exp.,- -,- -,1070000,1050411,999362,1200000,2774720,3746388,3516047,3448537,3658124,3510359,5136507,5004681,4496070,2850167,2403268,2775058,2710754,2269454,2332918,2323005,2889168,3473610,3640296,3893563,3140104,3965000
6,General and Administrative Exp.,- -,- -,4310000,4332542,3201455,3700000,5402207,7253285,- -,- -,- -,- -,- -,- -,2673320,2236306,2546648,2142214,1972820,1829294,1950191,1985804,2207225,2545786,2420198,2585279,2269819,2772000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7777217,5167783,4106260,3606982,3372692,2327296,2199009,2497093,2774809,2952898,2981902,3015431,2848549,3002000
8,"Selling, General and Administrative Exp.",4000000,5000000,4310000,4332542,3201455,3700000,5402207,7253285,7006903,8055808,8997140,9129208,9842917,10121970,10450537,7404089,6652908,5749196,5345512,4156590,4149200,4482897,4982034,5498684,5402100,5600710,5118368,5774000
9,Other Expenses,100000,300000,- -,- -,- -,200000,684305,1717324,486605,410291,397148,203042,140446,134557,127147,76787,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4100000,5300000,5380000,5382953,4200817,5100000,8861232,12716997,11009555,11914636,13052412,12842609,15119870,15261208,15073754,10331043,9116176,8524254,8056266,6426044,6482118,6805902,7871202,8972294,9042396,9494273,8258472,9739000
11,COGS and Expenses,6300000,7900000,7880000,8171061,6439475,7800000,15676436,18542451,19186926,22821969,25820795,25287691,27909932,27506081,29240839,20084049,17212696,18785866,16573914,15783912,16089947,16271345,18224572,18868085,17040414,18646735,15623607,20502000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22253,455,106,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71126,225155,245928,1115335,- -,- -,- -,- -,- -,- -,- -,-100656,97488,199000
14,Depreciation and Amortization,-100000,-300000,230000,272115,194214,200000,684305,2065402,930456,978714,862597,642770,875724,751039,643197,580770,519686,396996,324512,281337,246577,197686,279392,313653,432042,462930,596900,- -
15,EBITDA,-3400000,-3600000,-3120000,-3282674,-873325,-600000,-3063205,-3997837,-2041374,-271229,1200480,476095,-1885993,-2557331,-2018341,-7297140,-3194708,-878090,-2941630,-307217,710634,2047298,2711059,2651925,-282558,867988,-2634971,2762000
16,EBITDA ratio,-1.0968,-0.8000,-0.6827,-0.6869,-0.1594,-0.0870,-0.2652,-0.3242,-0.1251,-0.0126,0.0459,0.0190,-0.0755,-0.1060,-0.0760,-0.4261,-0.2367,-0.0501,-0.2169,-0.0196,0.0418,0.1113,0.1304,0.1246,-0.0172,0.0451,-0.1678,0.1191
17,Operating Income,-3200000,-3400000,-3310000,-3391861,-961671,-900000,-4125957,-6212251,-2874258,-1211267,309422,-253583,-2928477,-3388049,-2683791,-8328365,-3714500,-1275086,-3009150,-122607,930807,2128837,2563016,2417715,-585988,606370,-4350571,2697000
18,Operating Income ratio,-1.0323,-0.7556,-0.7243,-0.7097,-0.1756,-0.1304,-0.3572,-0.5038,-0.1762,-0.0560,0.0118,-0.0101,-0.1172,-0.1405,-0.1011,-0.4863,-0.2752,-0.0728,-0.2218,-0.0078,0.0547,0.1157,0.1233,0.1136,-0.0356,0.0315,-0.2771,0.1163
19,Total Other Income Expenses (Gains),- -,100000,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,166760,79679,-48873,225300,-245822,-1115335,-256992,-465947,-466750,-279225,-131349,-79443,-128612,-100656,1021212,-134000
20,Income Before Tax,- -,- -,-3330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2761717,-3308370,-2732664,-8103065,-3960322,-2390421,-3266142,-588554,464057,1849612,2431667,2338272,-714600,505714,-3329359,2563000
21,Income Before Tax Ratio,- -,- -,-0.7287,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1106,-0.1372,-0.1029,-0.4731,-0.2934,-0.1365,-0.2408,-0.0376,0.0273,0.1005,0.1170,0.1099,-0.0434,0.0263,-0.2121,0.1105
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150379,31943,31939,-214261,15515,31940,31940,31939,31940,31940,-9715421,3769003,-143459,219128,-50758,-1903000
23,Net Income,-3300000,-3300000,-3330000,-3554789,-1067539,-800000,-3747510,-6063239,-2971830,-1249943,337883,-166675,-2912096,-3340313,-2764603,-7888804,-3975837,-2422361,-3298082,-620493,432117,1817672,12147088,-1430731,-571141,286586,-3278601,4466000
24,Net Income ratio,-1.0645,-0.7333,-0.7287,-0.7438,-0.1949,-0.1159,-0.3244,-0.4917,-0.1822,-0.0578,0.0129,-0.0067,-0.1166,-0.1385,-0.1041,-0.4606,-0.2945,-0.1383,-0.2431,-0.0396,0.0254,0.0988,0.5843,-0.0672,-0.0347,0.0149,-0.2088,0.1925
25,EPS,-17.10,-16.30,-11.10,-6.99,-2.20,-1.10,-1.80,-2.60,-1.30,-0.70,0.10,-0.10,-0.90,-1.00,-0.86,-0.78,-1.05,-0.56,-0.68,-0.13,0.09,0.33,2.10,-0.23,-0.09,0.05,-0.54,0.58
26,EPS Diluted,-17.10,-16.30,-11.10,-6.99,-2.20,-1.10,-1.80,-2.60,-1.30,-0.70,0.10,-0.10,-0.90,-1.00,-0.86,-0.78,-1.05,-0.56,-0.68,-0.13,0.08,0.30,1.80,-0.23,-0.09,0.05,-0.54,0.48
27,Weighted Average Shares Outstanding,192982,2991000,300000,514900,710339,993919,2053375,2343623,2397600,2630094,3006094,3018126,3144726,3192943,3218535,3562000,3795673,4360217,4854000,4865000,5006000,5555000,5793000,6293000,6095000,5985000,6036000,6036000
28,Weighted Average Shares Outstanding Diluted,192982,2991000,300000,514900,710339,993919,2053375,2343623,2397600,2630094,3397552,3018126,3144726,3192943,3218535,3562000,3795673,4360217,4854000,4865000,5251000,5975000,6820000,6293000,6095000,6208000,6036000,6036000
