,https://roic.ai/company/BNR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,111166000,208867000,381677000,429903000,507862000
2,COGS,39470000,73808000,108343000,115981000,143716000
3,Gross Profit,71696000,135059000,273334000,313922000,364146000
4,Gross Profit Ratio,0.6449,0.6466,0.7161,0.7302,0.7170
5,Research and Development Exp.,49022000,105299000,156935000,263940000,367858000
6,General and Administrative Exp.,76036000,88299000,132157000,293800000,490256000
7,Selling and Marketing Exp.,67505000,102857000,153334000,168587000,303096000
8,"Selling, General and Administrative Exp.",143541000,191156000,285491000,462387000,793352000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,192563000,296455000,442426000,726327000,1161210000
11,COGS and Expenses,232033000,370263000,550769000,842308000,1304926000
12,Interest Income ,- -,1339000,- -,6068000,3457000
13,Interest Expense (Gain),- -,17951000,- -,667000,1536000
14,Depreciation and Amortization,21313000,24679000,31359000,33309000,- -
15,EBITDA,-109962000,-134867000,-137797000,-373259000,-794262000
16,EBITDA ratio,-0.9892,-0.6457,-0.3610,-0.8682,-1.5639
17,Operating Income,-120867000,-161396000,-169092000,-412405000,-797064000
18,Operating Income ratio,-1.0873,-0.7727,-0.4430,-0.9593,-1.5694
19,Total Other Income Expenses (Gains),-10408000,-16101000,-64000,5170000,1266000
20,Income Before Tax,-131275000,-177497000,-169156000,-407235000,-795798000
21,Income Before Tax Ratio,-1.1809,-0.8498,-0.4432,-0.9473,-1.5670
22,Income Tax expense (Gain),- -,- -,- -,- -,899000
23,Net Income,-131275000,-177497000,-169156000,-407235000,-796697000
24,Net Income ratio,-1.1809,-0.8498,-0.4432,-0.9473,-1.5687
25,EPS,-2.25,-10.38,-2.06,-6.88,-9.98
26,EPS Diluted,-2.25,-10.38,-2.06,-6.88,-9.98
27,Weighted Average Shares Outstanding,82077544,22384008,82077544,68634479,79867332
28,Weighted Average Shares Outstanding Diluted,82077544,22384008,82077544,68634479,79867332
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,93341000,94235000,1895308000,1431317000
32,Short-Term Investments,- -,36787000,313988000,362132000,63757000
33,Cash and Short-Term Investments,- -,130128000,408223000,2257440000,1495074000
34,Net Receivables,- -,82456000,208547000,147137000,134588000
35,Inventory,- -,49055000,58116000,68021000,123210000
36,Other Current Assets,- -,31350000,31901000,51054000,68074000
37,Total Current Assets,- -,292989000,706787000,2523652000,1820946000
38,PP&E,- -,69582000,89314000,111481000,406445000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,482000,343000,3457000,- -
41,Intangible Assets,- -,482000,343000,3457000,5150000
42,Investments,- -,1990000,40159000,1417000,910000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,7631000,10954000,23021000,45136000
45,Total Non-Current Assets,- -,79685000,140770000,139376000,457641000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,372674000,847557000,2663028000,2278587000
48,Accounts Payable,- -,16267000,12348000,35482000,63080000
49,Short-Term Debt,- -,178942000,44392000,46881000,37369000
50,Tax Payable,- -,1246000,6380000,6989000,- -
51,Deferred Revenue,- -,57986000,53643000,75522000,143843000
52,Other Current Liabilities,- -,31503000,54059000,83648000,127892000
53,Total Current Liabilities,- -,284698000,164442000,241533000,372184000
54,Long-Term Debt,- -,93330000,23082000,- -,49316000
55,Deferred Revenue,- -,1990000,991000,263000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,596118000,1550536000,228000,11776000
58,Total Non-Current Liabilities,- -,691438000,1574609000,491000,61092000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,8357000,9709000,4816000,84315000
61,Total Liabilities,- -,976136000,1739051000,242024000,433276000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,29000,31000,137000,137000
64,Retained Earnings,- -,-611997000,-946464000,-1418160000,-2228713000
65,Other Comprehensive Income/Loss,- -,-14805000,9299000,-167589000,-207069000
66,Other Total Stockholders Equity,- -,23311000,45640000,4006616000,4280956000
67,Total Stockholders Equity,- -,-603462000,-891494000,2421004000,1845311000
68,Total Liabilities And Stockholders Equity,- -,372674000,847557000,2663028000,2278587000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,372674000,847557000,2663028000,2278587000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-131275000,-177497000,-169156000,-407235000,- -
74,Depreciation and Amortization,21313000,24679000,31359000,33309000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,4053000,5095000,22792000,173220000,- -
77,Change in Working Capital,-34791000,-6161000,-130464000,112097000,- -
78,Accounts Receivable,-31163000,4163000,-65947000,-13042000,- -
79,Inventory,-489000,-32251000,-8122000,-9444000,- -
80,Accounts Payable,9570000,2202000,-3320000,25843000,- -
81,Other Working Capital,22852000,27307000,-7961000,21151000,- -
82,Other Non-Cash Items,6999000,5104000,17428000,15066000,-477886000
83,Cash Provided by Operating Activities,-133701000,-148780000,-228041000,-73543000,-477886000
84,CAPEX,-23014000,-24715000,-45734000,-79539000,- -
85,Acquisitions Net,-2373000,- -,- -,- -,- -
86,Purchases of Investments,-165707000,- -,-408627000,-348420000,- -
87,Sales/Maturities of Investments,- -,130684000,107603000,318000000,- -
88,Other Investing Activites,-557000,-25000,-303000,-3319000,81697000
89,Cash Used for Investing Activites,-191077000,106091000,-346660000,-109312000,81697000
90,Debt Repayment,-18550000,-13713000,-96318000,-43802000,- -
91,Common Stock Issued,- -,- -,- -,1851879000,- -
92,Common Stock Repurchased,-9063000,-1500000,-4159000,-3500000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,381779000,98606000,672212000,361142000,-52899000
95,Cash Used/Provided by Financing Activities,354166000,83393000,571735000,2165719000,-52899000
96,Effect of Forex Changes on Cash,-11406000,-159000,5876000,-155902000,-37006000
97,Net Change In Cash,17982000,40545000,2910000,1826962000,-486094000
98,Cash at the End of Period,54789000,95334000,98244000,1925206000,1439112000
99,Cash at the Beginning of Period,36807000,54789000,95334000,98244000,1925206000
100,Free Cash Flow,-156715000,-173495000,-273775000,-153082000,-477886000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
