,https://roic.ai/company/SPND,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1070000,2345000,2610000,2084000,3458000,4515000,6395000,5800000,8707000,14064000,6913000,7656000,9257000,12028000,13466000,13083000,5876000,4432000,5289000,6553000,5394000,4179000
2,COGS,507000,728000,966000,815000,1267000,1259000,2260000,2156000,2873000,3881000,1923000,2180000,3503000,3733000,3782000,3505000,3212000,2142000,2802000,3235000,3249000,- -
3,Gross Profit,563000,1617000,1644000,1269000,2191000,3256000,4135000,3644000,5834000,10183000,4990000,5476000,5754000,8295000,9684000,9578000,2664000,2290000,2487000,3318000,2145000,4179000
4,Gross Profit Ratio,0.5262,0.6896,0.6299,0.6089,0.6336,0.7212,0.6466,0.6283,0.6700,0.7240,0.7218,0.7153,0.6216,0.6896,0.7191,0.7321,0.4534,0.5167,0.4702,0.5063,0.3977,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,1125000,1864000,2221000,3198000,4139000,4179000,3275000,3759000,3766000,4019000,3198000,2512000,2560000,2943000,2967000,2640000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,1125000,1864000,2221000,3198000,4139000,4179000,3275000,3759000,3766000,4019000,3198000,2512000,2560000,2943000,2967000,3315000
9,Other Expenses,758000,584000,571000,745000,977000,1401000,795000,528000,728000,1215000,997000,1042000,1186000,1647000,1913000,1846000,2461000,1140000,12000,189000,120000,- -
10,Operating Expenses,758000,584000,571000,745000,977000,1401000,1920000,2392000,2949000,4413000,5136000,5221000,4461000,5406000,5679000,5865000,5659000,3652000,2572000,3132000,3087000,3315000
11,COGS and Expenses,1265000,1312000,1537000,1560000,2244000,2660000,4180000,4548000,5822000,8294000,7059000,7401000,7964000,9139000,9461000,9370000,8871000,5794000,5374000,6367000,6336000,3315000
12,Interest Income ,- -,- -,85000,90000,107000,100000,132000,275000,299000,285000,208000,158000,83000,78000,81000,125000,68000,83000,167000,181000,193000,216000
13,Interest Expense (Gain),- -,30000,111000,9000,3000,- -,105000,142000,86000,112000,71000,84000,55000,29000,17000,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,207000,274000,106000,269000,328000,498000,795000,528000,728000,1215000,997000,1042000,1152000,1647000,1913000,1846000,2426000,1104000,522000,499000,456000,452000
15,EBITDA,-64000,1307000,1179000,793000,1542000,2351000,3010000,2120000,3589000,6947000,1449000,1249000,2528000,4614000,5999000,5642000,-5617000,-870000,752000,866000,-293000,-633000
