,https://roic.ai/company/JG,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,70322000,284709000,714141000,906458000,471614000,357322000
2,COGS,47722000,213370000,517074000,649596000,265436000,92393000
3,Gross Profit,22600000,71339000,197067000,256862000,206178000,264929000
4,Gross Profit Ratio,0.3214,0.2506,0.2759,0.2834,0.4372,0.7414
5,Research and Development Exp.,33717000,71651000,134358000,176248000,174597000,206722000
6,General and Administrative Exp.,13480000,32431000,71641000,109291000,119087000,79922000
7,Selling and Marketing Exp.,33062000,59673000,83853000,118548000,102319000,116415000
8,"Selling, General and Administrative Exp.",46542000,92104000,155494000,227839000,221406000,196337000
9,Other Expenses,- -,- -,- -,-12546000,-10346000,- -
10,Operating Expenses,80259000,163755000,289852000,391541000,385657000,403059000
11,COGS and Expenses,127981000,377125000,806926000,1041137000,651093000,495452000
12,Interest Income ,283000,314000,3657000,6300000,6131000,6597000
13,Interest Expense (Gain),- -,122000,7054000,11118000,11724000,8815000
14,Depreciation and Amortization,3433000,8840000,18391000,32366000,42070000,- -
15,EBITDA,-54039000,-85309000,-40722000,-66195000,-171195000,-131737000
16,EBITDA ratio,-0.7685,-0.2996,-0.0570,-0.0730,-0.3630,-0.3687
17,Operating Income,-57659000,-92416000,-92785000,-147225000,-189825000,-138130000
18,Operating Income ratio,-0.8199,-0.3246,-0.1299,-0.1624,-0.4025,-0.3866
19,Total Other Income Expenses (Gains),187000,-1855000,26618000,37546000,-35164000,-2422000
20,Income Before Tax,-57472000,-94271000,-66167000,-109679000,-224989000,-140552000
21,Income Before Tax Ratio,-0.8173,-0.3311,-0.0927,-0.1210,-0.4771,-0.3933
22,Income Tax expense (Gain),3910000,-3980000,30000,162000,86000,32000
23,Net Income,-61382000,-90291000,-66197000,-109841000,-225075000,-140584000
24,Net Income ratio,-0.8729,-0.3171,-0.0927,-0.1212,-0.4772,-0.3934
25,EPS,-1.15,-0.85,-1.05,-0.96,-1.94,-1.21
26,EPS Diluted,-1.15,-0.85,-1.05,-0.96,-1.94,-1.21
27,Weighted Average Shares Outstanding,64000005,105801910,86163282,114560614,116124250,116124250
28,Weighted Average Shares Outstanding Diluted,64000005,105801910,86163282,114560614,116124250,116124250
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,103168000,208161000,576562000,431459000,356115000,90552000
32,Short-Term Investments,10000000,- -,- -,8000000,80000000,30000000
33,Cash and Short-Term Investments,113168000,208161000,576562000,439459000,436115000,120552000
