,https://roic.ai/company/SJR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,584400000,688324309,783796514,728358209,971000736,1571952580,1888559626,2076740607,2079749475,2209810089,2209810000,2774444562,3104859147,3390913000,3717580000,4740903000,4998000000,5142000000,5241000000,5488000000,4884000000,4882000000,5239000000,5340000000,5407000000,5509000000
2,COGS,- -,317300000,386227961,453917412,415074627,573336277,1111613203,1255887763,1256140302,1153814271,1227817211,- -,1534820129,1696622728,1851963000,1958829000,2710075000,2871000000,2022000000,2092000000,2174000000,1927000000,2080000000,2420000000,2514000000,2373000000,2359000000
3,Gross Profit,- -,267100000,302096348,329879102,313283582,397664459,460339377,632671863,820600305,925935204,981992878,2209810000,1239624433,1408236419,1538950000,1758751000,2030828000,2127000000,3120000000,3149000000,3314000000,2957000000,2802000000,2819000000,2826000000,3034000000,3150000000
4,Gross Profit Ratio,- -,0.4570,0.4389,0.4209,0.4301,0.4095,0.2928,0.3350,0.3951,0.4452,0.4444,1.0000,0.4468,0.4536,0.4538,0.4731,0.4284,0.4256,0.6068,0.6008,0.6039,0.6054,0.5739,0.5381,0.5292,0.5611,0.5718
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1227817000,- -,- -,- -,- -,- -,835000000,900000000,945000000,987000000,866000000,859000000,1176000000,663000000,657000000,664000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1227817000,- -,- -,- -,- -,- -,835000000,900000000,945000000,987000000,866000000,859000000,1176000000,663000000,657000000,664000000
9,Other Expenses,- -,85700000,117867555,161092793,159104478,219635026,471391601,577872175,586205462,545394806,541004154,- -,473115308,505133411,583196000,656271000,735987000,-27000000,854000000,765000000,895000000,957000000,944000000,1012000000,1038000000,1217000000,1219000000
10,Operating Expenses,- -,85700000,117867555,161092793,159104478,219635026,471391601,577872175,586205462,545394806,541004154,1227817000,473115308,505133411,583196000,656271000,735987000,808000000,1754000000,1710000000,1882000000,1823000000,1803000000,2188000000,1701000000,1874000000,1883000000
11,COGS and Expenses,- -,403000000,504095516,615010205,574179105,792971303,1583004804,1833759938,1842345764,1699209077,1768821365,1227817000,2007935437,2201756139,2435159000,2615100000,3446062000,3679000000,3776000000,3802000000,4056000000,3750000000,3883000000,4608000000,4215000000,4247000000,4242000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3468000,- -,2000000,5000000,2000000,2000000,3000000,6000000,29000000,7000000,38000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237047000,248011000,335052000,330000000,311000000,271000000,285000000,303000000,261000000,254000000,287000000,281000000,269000000
14,Depreciation and Amortization,- -,85700000,117867555,161092793,159104478,219635026,471391601,577872175,586205462,545394806,541004154,-579000,473115308,508759434,727692000,526432000,649424000,813000000,858000000,768000000,899000000,962000000,946000000,1015000000,1041000000,1220000000,1221000000
15,EBITDA,- -,229300000,161321671,246035484,286119404,409323032,-25457926,206241622,568303063,711036202,795458753,233024000,1004464606,1196686510,1690752000,1490312000,1643006000,2085000000,2198000000,2204000000,2334000000,2656000000,2248000000,1472000000,2177000000,2368000000,2522000000
16,EBITDA ratio,- -,0.3924,0.2344,0.3139,0.3928,0.4215,-0.0162,0.1092,0.2737,0.3419,0.3600,0.1054,0.3620,0.3854,0.4986,0.4009,0.3466,0.4172,0.4275,0.4205,0.4253,0.5438,0.4605,0.2810,0.4077,0.4380,0.4578
17,Operating Income,- -,181400000,184228794,168786309,154179104,178029433,-11052224,54801247,234394843,380540399,440988724,440731000,766510180,903103008,955754000,1102480000,1294841000,1319000000,1366000000,1439000000,1432000000,1134000000,999000000,631000000,1125000000,1160000000,1267000000
18,Operating Income ratio,- -,0.3104,0.2676,0.2153,0.2117,0.1833,-0.0070,0.0290,0.1129,0.1830,0.1996,0.1994,0.2763,0.2909,0.2819,0.2966,0.2731,0.2639,0.2657,0.2746,0.2609,0.2322,0.2046,0.1204,0.2107,0.2145,0.2300
19,Total Other Income Expenses (Gains),- -,-20200000,-157156741,-83843618,-26865671,11896983,-415239423,-372944661,-250377097,-214559287,-186248071,-206842000,-235522734,-215470394,-229642000,-375361000,-542160000,-344000000,-299000000,-244000000,-258000000,-507000000,-252000000,-422000000,-274000000,-293000000,-235000000
20,Income Before Tax,- -,161200000,27072053,84942691,127313433,189926416,-426291647,-318143414,-15982254,165981112,254740653,233889000,530987446,687632614,726112000,727119000,752681000,975000000,1067000000,1195000000,1174000000,627000000,747000000,209000000,851000000,867000000,1032000000
21,Income Before Tax Ratio,- -,0.2758,0.0393,0.1084,0.1748,0.1956,-0.2712,-0.1685,-0.0077,0.0798,0.1153,0.1058,0.1914,0.2215,0.2141,0.1956,0.1588,0.1951,0.2075,0.2280,0.2139,0.1284,0.1530,0.0399,0.1594,0.1603,0.1873
22,Income Tax expense (Gain),- -,75700000,26794391,71439786,81194030,71427520,-349428173,-83339049,29925135,74732424,93869436,80382000,142870556,16365473,190774000,183137000,204829000,214000000,283000000,308000000,294000000,171000000,190000000,143000000,118000000,179000000,46000000
23,Net Income,- -,67900000,16659725,13502905,45820896,118260486,-147421354,-288291504,-47827534,90908972,160585163,153221000,388478742,671561603,535239000,532732000,453701000,728000000,746000000,857000000,856000000,1220000000,851000000,60000000,731000000,688000000,986000000
24,Net Income ratio,- -,0.1162,0.0242,0.0172,0.0629,0.1218,-0.0938,-0.1527,-0.0230,0.0437,0.0727,0.0693,0.1400,0.2163,0.1578,0.1433,0.0957,0.1457,0.1451,0.1635,0.1560,0.2498,0.1743,0.0115,0.1369,0.1272,0.1790
25,EPS,- -,0.06,0.02,-0.00,0.06,-0.15,0.27,-0.71,0.14,-0.08,-0.27,-0.18,0.90,0.31,1.25,1.23,1.03,1.62,1.64,1.84,1.80,2.51,1.72,0.10,1.42,1.32,1.94
26,EPS Diluted,- -,0.06,0.02,-0.00,0.06,-0.15,0.27,-0.71,0.14,-0.08,-0.27,-0.18,0.89,0.31,1.24,1.23,1.03,1.61,1.63,1.84,1.79,2.51,1.71,0.10,1.42,1.32,1.94
27,Weighted Average Shares Outstanding,- -,280012000,280056000,330196000,359216000,753480000,869936000,462408364,927392000,925576000,920856000,434360478,431643047,429694000,429153000,432675000,434881000,441000000,448000000,457000000,468000000,480000000,491000000,502000000,511000000,515000000,504000000
28,Weighted Average Shares Outstanding Diluted,- -,280012000,280056000,330196000,359216000,753480000,869936000,462408364,927392000,929228000,920856000,438517037,436492969,429694000,430238000,433882000,434881000,442000000,450000000,459000000,471000000,481000000,492000000,503000000,511000000,515000000,505000000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/932872/000113031903000954/o11546e40vf.htm,https://www.sec.gov/Archives/edgar/data/932872/000113031904000827/o14612exv1.htm,https://www.sec.gov/Archives/edgar/data/932872/000113031905000777/o18739exv99w1.htm,https://www.sec.gov/Archives/edgar/data/932872/000113031906000965/0001130319-06-000965-index.htm,https://www.sec.gov/Archives/edgar/data/932872/000113031907000775/0001130319-07-000775-index.html,https://www.sec.gov/Archives/edgar/data/932872/000113031908000856/0001130319-08-000856-index.html,https://www.sec.gov/Archives/edgar/data/932872/000095012309066971/0000950123-09-066971-index.html,https://www.sec.gov/Archives/edgar/data/932872/000095012310101697/0000950123-10-101697-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312511324692/0001193125-11-324692-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312512486201/0001193125-12-486201-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/932872/000119312515389731/0001193125-15-389731-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312516777493/0001193125-16-777493-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312517354143/0001193125-17-354143-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312518335859/0001193125-18-335859-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312519302701/0001193125-19-302701-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,20752807,- -,1712760,265445000,165309632,- -,253862000,216735000,443427000,427000000,422000000,637000000,398000000,405000000,507000000,384000000,1446000000,763000000,355000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,20752807,- -,1712760,265445000,165309632,- -,453237000,216735000,443427000,427000000,422000000,637000000,398000000,405000000,507000000,384000000,1446000000,763000000,355000000
34,Net Receivables,- -,- -,- -,- -,67313433,89542311,182612738,187504287,140998198,119518625,114663501,114664000,155499525,188144998,194483000,196415000,442817000,433000000,487000000,494000000,469000000,268000000,286000000,438000000,517000000,527000000,653000000
35,Inventory,- -,- -,- -,- -,- -,- -,95374245,128810600,81787051,42973505,45223739,45224000,60601329,51774211,52304000,53815000,96945000,102000000,96000000,119000000,60000000,65000000,109000000,101000000,86000000,60000000,63000000
36,Other Current Assets,- -,- -,- -,- -,29701492,9264164,120435456,28177708,16783585,16975341,19116914,- -,208833211,164547677,57645000,128558000,279129000,89000000,190000000,83000000,82000000,138000000,216000000,103000000,167000000,150000000,163000000
37,Total Current Assets,- -,- -,- -,- -,97014925,98806475,398422439,344492595,260321641,179467471,180716914,425333000,590243697,404466886,757669000,595523000,1262318000,1051000000,1195000000,1333000000,1009000000,876000000,1118000000,1026000000,2216000000,1500000000,1234000000
38,PP&E,- -,- -,- -,- -,1191940299,1683371597,2522922672,2777697584,2415661999,2292339979,2189234421,2189235000,2422900095,2616500478,2821544000,3004649000,3200200000,3242000000,3370000000,3652000000,4220000000,4607000000,4344000000,4672000000,4883000000,6142000000,6019000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88111000,88110560,88110981,88111000,169143000,814808000,715000000,698000000,698000000,1506000000,1172000000,280000000,280000000,280000000,280000000,280000000
40,Intangible Assets,- -,- -,- -,- -,1306268657,2318428256,5038123353,5023120811,4706675447,4773693599,4772758457,- -,4776077646,4776078452,4816153000,5408534000,6954659000,7355000000,7153000000,7198000000,7459000000,7450000000,7435000000,7482000000,7979000000,7997000000,7996000000
41,Intangible Assets,- -,- -,- -,- -,1306268657,2318428256,5038123353,5023120811,4706675447,4773693599,4772758457,88111000,4864188206,4864189433,4904264000,5577677000,7769467000,8070000000,7851000000,7896000000,8965000000,8622000000,7715000000,7762000000,8259000000,8277000000,8276000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194854000,743273000,13314000,13000000,- -,60000000,97000000,853000000,937000000,660000000,37000000,42000000,70000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21810000,14000000,- -,26000000,14000000,6000000,4000000,4000000,4000000,1000000,2000000
44,Other Non-Current Assets,- -,- -,- -,- -,1139104477,1221252391,828487525,367689789,218459726,311403463,274227894,- -,286406793,472643777,259738000,232843000,258768000,332000000,316000000,283000000,259000000,275000000,255000000,300000000,247000000,203000000,191000000
45,Total Non-Current Assets,- -,- -,- -,- -,3637313433,5223052244,8389533550,8168508184,7340797172,7377437041,7236220772,2277346000,7573495094,7953333688,8180400000,9558442000,11263559000,11671000000,11537000000,11917000000,13555000000,14363000000,13255000000,13398000000,13430000000,14665000000,14558000000
