,https://roic.ai/company/NESR,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,271324000,- -,658385000,834146000
2,COGS,- -,- -,200149000,- -,522731000,694537000
3,Gross Profit,- -,- -,71175000,- -,135654000,139609000
4,Gross Profit Ratio,- -,- -,0.2623,- -,0.2060,0.1674
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,30336000,- -,63840000,72077000
9,Other Expenses,- -,- -,607000,- -,- -,- -
10,Operating Expenses,- -,- -,30943000,- -,63840000,72077000
11,COGS and Expenses,- -,- -,231092000,- -,586571000,766614000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,6720000,- -,18971000,15879000
14,Depreciation and Amortization,- -,- -,38408000,59700000,88111000,120778000
15,EBITDA,- -,- -,80340000,- -,159517000,197449000
16,EBITDA ratio,- -,- -,0.2961,- -,0.2423,0.2367
17,Operating Income,- -,- -,40232000,- -,71814000,67532000
18,Operating Income ratio,- -,- -,0.1483,- -,0.1091,0.0810
19,Total Other Income Expenses (Gains),- -,- -,-7293000,- -,-19379000,-6740000
20,Income Before Tax,- -,- -,32939000,- -,52435000,60792000
21,Income Before Tax Ratio,- -,- -,0.1214,- -,0.0796,0.0729
22,Income Tax expense (Gain),- -,- -,4586000,- -,13071000,10705000
23,Net Income,- -,- -,30626000,- -,39364000,50087000
24,Net Income ratio,- -,- -,0.1129,- -,0.0598,0.0600
25,EPS,- -,0.29,0.09,- -,0.45,0.56
26,EPS Diluted,- -,0.29,0.08,- -,0.45,0.56
27,Weighted Average Shares Outstanding,- -,28652125,342250000,342250000,86997554,88845618
28,Weighted Average Shares Outstanding Diluted,- -,28652125,370000000,342250000,86997554,88990657
29,SEC Link,undefined,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,- -,741096,24892000,73201000,75012000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,741096,24892000,73201000,75012000
34,Net Receivables,- -,- -,- -,157781000,189165000,293746000
35,Inventory,- -,- -,- -,58151000,78841000,94263000
36,Other Current Assets,- -,- -,127420,58821000,62002000,52196000
37,Total Current Assets,- -,- -,868516,299645000,403209000,515217000
38,PP&E,- -,- -,- -,328727000,419307000,437743000
39,Goodwill,- -,- -,- -,570540000,574764000,620921000
40,Intangible Assets,- -,- -,- -,138052000,122714000,110376000
41,Intangible Assets,- -,- -,- -,708592000,697478000,731297000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,230554024,6345000,2370000,2797000
45,Total Non-Current Assets,- -,- -,230554024,1043664000,1119155000,1171837000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,231422540,1343309000,1522364000,1687054000
48,Accounts Payable,- -,- -,3473511,66264000,65704000,144614000
49,Short-Term Debt,- -,- -,- -,76910000,52963000,89860000
50,Tax Payable,- -,- -,- -,- -,- -,20709000
51,Deferred Revenue,- -,- -,989,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,79906000,109469000,124892000
53,Total Current Liabilities,- -,- -,3474500,223080000,228136000,359366000
54,Long-Term Debt,- -,- -,- -,225172000,330564000,308614000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,30756000,26217000,21070000
57,Other Non-Current Liabilities,- -,- -,9022229,33310000,50975000,53586000
58,Total Non-Current Liabilities,- -,- -,9022229,289238000,407756000,383270000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,12496729,512318000,635892000,742636000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,221789842,801545000,801545000,826614000
64,Retained Earnings,- -,- -,-2864031,28297000,67661000,117748000
65,Other Comprehensive Income/Loss,- -,- -,- -,-32522000,-104689000,64000
66,Other Total Stockholders Equity,- -,- -,- -,33604000,121955000,- -
67,Total Stockholders Equity,- -,- -,218925811,830924000,886472000,944426000
68,Total Liabilities And Stockholders Equity,- -,- -,231422540,1343242000,1522364000,1687062000
69,Minority Interest,- -,- -,- -,67000,- -,-8000
70,Total Liabilities & Equity,- -,- -,231422540,1343309000,1522364000,1687054000
71,SEC Link,undefined,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,- -,30626000,- -,39364000,50087000
74,Depreciation and Amortization,- -,- -,38408000,59700000,88111000,120778000
