,https://roic.ai/company/PBLA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,699755,1232704,973813,1356995,- -,- -,- -,- -,- -,- -,- -
2,COGS,550541,691802,558465,595152,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,149214,540902,415348,761843,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.2132,0.4388,0.4265,0.5614,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,279791,- -,2635000,2504000,2593000,1783000,2349000,2505000,5423000
6,General and Administrative Exp.,- -,258098,329879,837241,2809000,2664000,- -,2108000,1973000,3249000,4587000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,258098,329879,837241,2809000,2664000,- -,2108000,1973000,3249000,4587000
9,Other Expenses,253718,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,253718,258098,609670,837241,5444000,5168000,- -,3891000,4322000,5754000,10010000
11,COGS and Expenses,804259,949900,1168135,1432393,5444000,5168000,6016000,3837000,4322000,5754000,- -
12,Interest Income ,- -,- -,18411,4002,8000,2000,1000,- -,- -,- -,- -
13,Interest Expense (Gain),34274,36143,35890,35527,183000,180000,1617000,1814000,2194000,17000,-11000
14,Depreciation and Amortization,3100,5636,8794,9578,- -,- -,- -,- -,- -,114,- -
15,EBITDA,-100824,289443,-167117,-61818,-5436000,-5166000,-6015000,-4345000,-4421000,-5149000,- -
16,EBITDA ratio,-0.1441,0.2348,-0.1716,-0.0456,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
17,Operating Income,-104504,282804,-194322,-75398,-5444000,-5168000,-6016000,-3891000,-4322000,-5754000,-10010000
18,Operating Income ratio,-0.1493,0.2294,-0.1995,-0.0556,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-33694,-35140,-17479,-31525,-239000,-285000,-4894000,-2268000,-2293000,691000,-613000
20,Income Before Tax,-138198,247664,-211801,-106923,-5683000,-5453000,-10910000,-6159000,-6615000,-5063000,-10623000
21,Income Before Tax Ratio,-0.1975,0.2009,-0.2175,-0.0788,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),115,284,220,121,-756000,-341000,-536000,-254000,-415000,-295000,-488000
23,Net Income,-138313,247380,-212021,-107044,-4927000,-5112000,-10374000,-5905000,-6200000,-4768000,-10135000
24,Net Income ratio,-0.1977,0.2007,-0.2177,-0.0789,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-1.00,1.70,-1.50,-0.70,-3.50,-1.60,-2.91,-1.27,-1.09,-0.62,-0.87
26,EPS Diluted,-1.00,1.70,-1.50,-0.70,-3.50,-1.60,-2.91,-1.27,-1.09,-0.62,-0.87
27,Weighted Average Shares Outstanding,145032,145032,145032,145032,1407317,3106876,3566098,4662080,5700314,7732882,11709035
28,Weighted Average Shares Outstanding Diluted,145032,145032,145032,145032,1407317,3106876,3566098,4662080,5700314,7732882,11709035
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029125/000143774920005968/0001437749-20-005968-index.htm,https://www.sec.gov/Archives/edgar/data/1029125/000143774921007154/0001437749-21-007154-index.htm,https://www.sec.gov/Archives/edgar/data/1029125/000143774922007101/0001437749-22-007101-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,47851,110938,58822,163772,925000,438000,152000,1405000,2449000,9022000,11867000
32,Short-Term Investments,18290,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,66141,110938,58822,163772,925000,438000,152000,1405000,2449000,9022000,11867000
34,Net Receivables,177474,225482,373703,226923,733000,321000,420000,332000,361000,323000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,342,389,318,382,74000,118000,195000,110000,283000,412000,412000
37,Total Current Assets,243957,336809,432843,391077,1732000,877000,767000,1847000,3093000,9757000,12279000
38,PP&E,9830,15877,19198,13006,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,258220,80220,3033,76000,- -,- -,51000,51000,56000,593000
45,Total Non-Current Assets,9830,274097,99418,16039,76000,- -,- -,51000,51000,56000,593000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,253787,610906,532261,407116,1808000,877000,767000,1898000,3144000,9813000,12872000
48,Accounts Payable,38701,28142,3995,340,585000,1245000,1196000,1064000,597000,554000,640000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321000
51,Deferred Revenue,24477,27041,33041,18925,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,591769,588321,626659,596397,790000,4274000,2974000,566000,1162000,811000,2020000
53,Total Current Liabilities,654947,643504,663695,615662,1375000,5519000,4170000,1630000,1759000,1365000,2660000
54,Long-Term Debt,- -,- -,- -,- -,3075000,- -,286000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3830,8249,6458,2413,39000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,3830,8249,6458,2413,3114000,- -,286000,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,7302,14436,14225,9295,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,658777,651753,670153,618075,4489000,5519000,4456000,1630000,1759000,1365000,2660000
62,Preferred Stock,200119,200119,200119,200119,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,86033,86033,- -,- -,30000,32000,4000,5000,7000,10000,13000
64,Retained Earnings,-13917351,-13669971,-13881992,-13989036,-13667000,-18779000,-29153000,-35058000,-41258000,-46026000,-56161000
65,Other Comprehensive Income/Loss,-81296,-86932,-95726,-105303,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,13307505,13429904,13839826,13883380,10956000,14105000,25460000,35321000,42636000,54464000,66360000
67,Total Stockholders Equity,-404990,-40847,-137892,-210959,-2681000,-4642000,-3689000,268000,1385000,8448000,10212000
68,Total Liabilities And Stockholders Equity,253787,610906,532261,407116,1808000,877000,767000,1898000,3144000,9813000,12872000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,253787,610906,532261,407116,1808000,877000,767000,1898000,3144000,9813000,12872000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029125/000143774920005968/0001437749-20-005968-index.htm,https://www.sec.gov/Archives/edgar/data/1029125/000143774921007154/0001437749-21-007154-index.htm,https://www.sec.gov/Archives/edgar/data/1029125/000143774922007101/0001437749-22-007101-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-138313,247380,-212021,-107044,-4927000,-5112000,-10374000,-5905000,-6200000,-4768000,-10135000
74,Depreciation and Amortization,3100,5636,8794,9578,- -,- -,- -,- -,- -,114,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,600,600,600,- -,976000,902000,1733000,1279000,1093000,1205000,1287000
77,Change in Working Capital,-108332,75843,6267,581585,-4999000,1239000,3620000,1117000,7058000,5018000,-3791000
78,Accounts Receivable,19120,-32852,60682,-3280,- -,- -,- -,- -,- -,-2,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,25507,-10558,-24147,-3654,- -,726000,-319000,360000,301000,-747000,631000
81,Other Working Capital,-306695,-230852,-224585,357000,-4642000,-3403000,217000,1334000,8392000,13410000,9619000
82,Other Non-Cash Items,169904,-292346,160970,-495572,5053000,573000,1619000,1122000,-4690000,-5309114,5935000
83,Cash Provided by Operating Activities,-73041,37113,-35390,-11453,-3897000,-2398000,-3402000,-2387000,-2739000,-3854000,-6704000
84,CAPEX,-9527,- -,-5115,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,19123,- -,- -,500000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,124720,- -,- -,- -,- -,- -,- -,-540000
