,https://roic.ai/company/BBIG,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,16022000,14960450,16502209,19629062,15781319
2,COGS,11054995,11017625,11425619,12822450,11403474
3,Gross Profit,4967005,3942825,5076590,6806612,4377845
4,Gross Profit Ratio,0.3100,0.2635,0.3076,0.3468,0.2774
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4535920,2383104,- -,15909840,12280192
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4535920,2383104,- -,15909840,12280192
9,Other Expenses,- -,- -,9718286,-520000,- -
10,Operating Expenses,4535920,2383104,9718286,15389840,12280192
11,COGS and Expenses,15590915,13400729,21143905,28212290,23683666
12,Interest Income ,5838,4000,-501221,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1298168,3378131
14,Depreciation and Amortization,190938,188283,487878,1611607,1932888
15,EBITDA,730676,1854819,-4538333,-10039478,176780
16,EBITDA ratio,0.0456,0.1240,-0.2750,-0.5115,0.0112
17,Operating Income,431085,1559721,-4641696,-13026228,-7902347
18,Operating Income ratio,0.0269,0.1043,-0.2813,-0.6636,-0.5007
19,Total Other Income Expenses (Gains),108653,106815,-398406,-1192299,1614444
20,Income Before Tax,539738,1666536,-5040102,-14218527,-6287903
21,Income Before Tax Ratio,0.0337,0.1114,-0.3054,-0.7244,-0.3984
22,Income Tax expense (Gain),40372,133105,303915,-19547,19197
23,Net Income,499366,1533431,-5330126,-12929706,-5153436
24,Net Income ratio,0.0312,0.1025,-0.3230,-0.6587,-0.3266
25,EPS,0.11,0.35,-1.28,-2.36,-0.37
26,EPS Diluted,0.11,0.35,-1.28,-2.36,-0.37
27,Weighted Average Shares Outstanding,4368930,4368930,4157054,6026049,14058101
28,Weighted Average Shares Outstanding Diluted,4368930,4368930,4157054,6026049,14058101
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1717556/000149315220010532/0001493152-20-010532-index.htm,https://www.sec.gov/Archives/edgar/data/1717556/000149315221008880/0001493152-21-008880-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,2534753,557268,2052731,412719,249356
32,Short-Term Investments,- -,- -,- -,- -,1018000
33,Cash and Short-Term Investments,2534753,557268,2052731,412719,1267356
34,Net Receivables,1498705,2265133,1877351,2274954,1603127
35,Inventory,164511,240061,923707,1369225,1687462
36,Other Current Assets,42154,41461,611695,898467,784238
37,Total Current Assets,4240123,3103923,5465484,4955365,5342183
38,PP&E,1116036,966904,998863,1664068,1163835
39,Goodwill,- -,- -,9736510,5392123,5983852
40,Intangible Assets,- -,- -,12687730,11598063,15538337
41,Intangible Assets,- -,- -,22424240,16990186,21522189
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -
