,https://roic.ai/company/DRD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,278902500,757518300,1070889450,2030476724,2143728498,3144930300,1990598818,1949652698,1151902259,1753077939,1671998696,1843324010,1910738000,1990522000,2565319000,3004264000,2076496000,1809434000,2105298000,2433064000,2339900000,2490400000,2762100000,4185000000,5269000000
2,COGS,256227500,723353400,959275620,1931459494,1916205110,2251859850,1816062889,1745025571,847400754,1525436015,1559314916,1597855710,1834025000,1891787000,2343548000,2501862000,1639377000,1687270000,1946331000,2236790000,2307900000,2347700000,2553900000,2937900000,3388200000
3,Gross Profit,22675000,34164900,111613830,99017230,227523388,893070450,174535930,204627126,304501505,227641924,112683780,245468300,76713000,98735000,221771000,502402000,437119000,122164000,158967000,196274000,32000000,142700000,208200000,1247100000,1880800000
4,Gross Profit Ratio,0.0813,0.0451,0.1042,0.0488,0.1061,0.2840,0.0877,0.1050,0.2643,0.1299,0.0674,0.1332,0.0401,0.0496,0.0864,0.1672,0.2105,0.0675,0.0755,0.0807,0.0137,0.0573,0.0754,0.2980,0.3570
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83583000,140800000,88086000,121537000,78070000,78120000,56162000,76695000,69400000,90700000,90900000,309900000,64000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83583000,140800000,88086000,121537000,78070000,78120000,56162000,76695000,69400000,90700000,90900000,309900000,64000000
9,Other Expenses,52606000,90713700,163499178,359667718,235455100,1863952200,-158091319,407130903,235498806,252162046,283425321,1312080,- -,-83774000,- -,- -,-9470000,-4618000,-5562000,-6456000,-7500000,-7500000,-30500000,-33300000,-76100000
10,Operating Expenses,52606000,90713700,163499178,359667718,235455100,1863952200,-158091319,407130903,235498806,252162046,283425321,1312080,83583000,57026000,88086000,121537000,68600000,73502000,50600000,70239000,61900000,83200000,60400000,276600000,-12100000
11,COGS and Expenses,308833500,814067100,1122774798,2291127212,2151660210,4115812050,1657971570,2152156474,1082899560,1777598060,1842740237,1599167790,1917608000,1948813000,2431634000,2623399000,1707977000,1760772000,1996931000,2307029000,2369800000,2430900000,2614300000,3214500000,3376100000
12,Interest Income ,- -,- -,- -,- -,8277970,28835100,- -,6075482,- -,12199314,23726239,91947130,205991000,200273000,52792000,33440000,24028000,15740000,14406000,22420000,23600000,22500000,20000000,67000000,113500000
13,Interest Expense (Gain),453500,- -,- -,- -,42452780,24684750,- -,48554757,55698170,81907641,67662413,108035730,41743000,24132000,10615000,17706000,41975000,52295000,49603000,47386000,50200000,45600000,67100000,59100000,58900000
14,Depreciation and Amortization,9523500,55959750,88084428,131392678,112469268,156709350,81055390,184933975,120139697,188113858,177936222,69907310,99217000,190769000,130919000,120850000,143766000,159999000,193301000,180167000,179800000,168000000,169100000,270800000,252500000
15,EBITDA,-4535000,-36521100,44042214,-740250369,-137633330,-808655850,478802399,-21313280,-298962938,123286687,-693388233,1105380540,241640000,430979000,-114229000,455241000,289876000,184034000,339310000,336405000,193300000,246000000,341300000,1308800000,2275000000
16,EBITDA ratio,-0.0163,-0.0482,0.0411,-0.3646,-0.0642,-0.2571,0.2405,-0.0109,-0.2595,0.0703,-0.4147,0.5997,0.1265,0.2165,-0.0445,0.1515,0.1396,0.1017,0.1612,0.1383,0.0826,0.0988,0.1236,0.3127,0.4318
17,Operating Income,-29931000,-103672800,-45852168,-846539706,-289213590,-994200300,372312877,-223988888,72001371,-24541562,-239031111,102162610,-82008000,35485000,-413971000,379765000,121048000,-12547000,94901000,119579000,-24500000,52000000,125200000,937900000,1816900000
18,Operating Income ratio,-0.1073,-0.1369,-0.0428,-0.4169,-0.1349,-0.3161,0.1870,-0.1149,0.0625,-0.0140,-0.1430,0.0554,-0.0429,0.0178,-0.1614,0.1264,0.0583,-0.0069,0.0451,0.0491,-0.0105,0.0209,0.0453,0.2241,0.3448
19,Total Other Income Expenses (Gains),15419000,11191950,1809954,-25103341,-3341788,4150350,97477546,23399809,-258703606,6053204,-15925542,-16096410,164248000,176141000,30745000,15734000,23993000,-24628000,1894000,-10727000,-12200000,-19600000,-20100000,41000000,146700000
20,Income Before Tax,-14512000,-92480850,-44042214,-871643047,-292555378,-990049950,469790423,-200589079,-186702235,-18488358,-254956653,86066200,82240000,211626000,-383226000,395499000,145041000,-37175000,96795000,108852000,-36700000,32400000,105100000,978900000,1963600000
21,Income Before Tax Ratio,-0.0520,-0.1221,-0.0411,-0.4293,-0.1365,-0.3148,0.2360,-0.1029,-0.1621,-0.0105,-0.1525,0.0467,0.0430,0.1063,-0.1494,0.1316,0.0698,-0.0205,0.0460,0.0447,-0.0157,0.0130,0.0381,0.2339,0.3727
22,Income Tax expense (Gain),-5442000,40055400,1809954,-4839035,-57390168,-443642400,312612278,87327376,27699484,23576765,-2889147,-68282830,-28444000,8263000,32152000,8010000,44941000,17548000,28599000,46923000,-50400000,25900000,26600000,343900000,523700000
23,Net Income,-9070000,-132536250,-45852168,-866804012,-235165210,-546407550,85134731,-342129388,-502500289,-170311578,-936097721,995720330,129124000,207815000,-287915000,308675000,59194000,-45808000,67807000,61929000,13700000,6500000,78500000,635000000,1439900000
24,Net Income ratio,-0.0325,-0.1750,-0.0428,-0.4269,-0.1097,-0.1737,0.0428,-0.1755,-0.4362,-0.0972,-0.5599,0.5402,0.0676,0.1044,-0.1122,0.1027,0.0285,-0.0253,0.0322,0.0255,0.0059,0.0026,0.0284,0.1517,0.2733
25,EPS,-7.71,-35.93,-7.84,-83.36,-17.48,-34.16,4.49,-15.96,-21.28,-5.72,-28.19,26.40,3.40,5.46,-7.50,8.00,1.60,-1.20,1.70,1.47,0.32,0.15,1.18,8.25,21.67
26,EPS Diluted,-7.71,-35.93,-7.84,-83.36,-17.48,-34.16,2.99,-15.96,-21.28,-5.72,-28.19,26.40,3.40,5.46,-7.50,8.00,1.60,-1.20,1.70,1.47,0.32,0.15,1.15,8.10,21.67
27,Weighted Average Shares Outstanding,1176471,3740741,5846154,10417554,13452857,15997879,18956667,21442308,23617500,29788750,33210500,37602334,37667897,38040724,38488438,38416992,37917821,37920944,38969944,42215799,42206870,42206870,66455328,76994187,66455328
28,Weighted Average Shares Outstanding Diluted,1176471,3740741,5846154,12132837,15695000,16343543,18956667,21442308,23617500,29788750,33210500,37602334,37690252,38040724,38488438,38475961,37998043,37920944,38969944,42219206,42206870,42206870,67994098,78368956,66455328
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5895500,65384550,82654566,101450302,113918718,246868200,332507488,137790693,241196947,392436296,136381832,845846430,353555000,188152000,259112000,298506000,377169000,208932000,324375000,351796000,253700000,302100000,279500000,1715100000,2180000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5895500,65384550,82654566,101450302,113918718,246868200,332507488,137790693,241196947,392436296,136381832,845846430,353555000,203152000,259112000,298506000,377169000,208932000,324375000,351796000,253700000,302100000,279500000,1715100000,2180000000
34,Net Receivables,19500500,24151050,61538436,138502129,125071430,126404550,172896708,119754491,49833805,77598217,42688909,240126260,87960000,64521000,126410000,61896000,49483000,52250000,80608000,65288000,114300000,79000000,66400000,126200000,135300000
35,Inventory,5895500,37110150,43438896,82134826,75749868,86494950,59221557,101215067,103297932,205215768,108293686,62839260,93935000,132636000,57289000,105840000,138847000,147189000,168729000,160669000,180300000,233000000,304600000,323400000,340000000
36,Other Current Assets,- -,- -,603318,98664807,99802685,89848350,121032935,33206495,-0,134206753,596129680,40010630,15070000,1793000,67204000,4453000,39354000,62031000,35272000,22939000,- -,12200000,5600000,25100000,17400000
37,Total Current Assets,31291500,126645750,188235216,420752064,414542700,549616050,685658688,391966746,394328685,809457033,883494106,1188822580,550520000,402102000,510015000,470695000,604853000,470402000,608984000,600692000,548300000,626300000,656100000,2189800000,2672700000
38,PP&E,361439500,693900900,815685936,962710433,843644320,791019450,623181143,963135650,799102854,1811773293,663164937,815332760,1733219000,1857646000,1540003000,1641557000,1756333000,1755503000,1698888000,1600476000,1497600000,1452700000,2775300000,2621100000,2809700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172680000,174223000,159312000,341752000,213811000,117116000,194082000,102831000,236500000,253400000,618600000,821300000,819300000
43,Tax Assets,- -,- -,- -,- -,- -,600879600,189341319,175078194,- -,- -,- -,81552020,165115000,140742000,69232000,38285000,2889000,1424000,1198000,6819000,5000000,8700000,10000000,8000000,5800000
44,Other Non-Current Assets,48524500,13548150,67571616,27834618,147578168,144517050,211534433,472341071,365837977,281884922,83066500,176060830,4238000,5579000,10099000,- -,93259000,96301000,-114000,108257000,- -,19300000,- -,35000000,40500000
45,Total Non-Current Assets,409964000,707449050,883257552,990545051,991222488,1536416100,1024056894,1610554914,1164940831,2093658214,746231437,1072945610,2075252000,2178190000,1778646000,2021594000,2066292000,1970344000,1894054000,1818383000,1739100000,1734100000,3403900000,3485400000,3675300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,441255500,834094800,1071492768,1411297114,1405765188,2086032150,1709715583,2002521660,1559269515,2903115247,1629725543,2261768190,2625772000,2580292000,2288661000,2492289000,2671145000,2440746000,2503038000,2419075000,2287400000,2360400000,4060000000,5675200000,6348000000
48,Accounts Payable,63490000,134303400,177978810,457681898,352119720,375187500,373982039,375286788,177021379,301002184,256704234,384986140,322138000,268833000,330468000,227511000,220491000,211790000,258353000,289023000,130400000,227000000,324400000,348000000,352900000
49,Short-Term Debt,13605000,- -,10859724,13893588,28127383,170743950,171893714,68382920,9155590,546346335,904429852,523270,2925000,- -,79345000,30690000,24294000,73195000,25096000,2355000,- -,- -,11000000,10100000,16900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,931000,410000,236000,2836000,- -,- -,- -,- -,5200000,4200000,5400000,29400000,9300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,-453500,2945250,18702858,216943294,309948778,103479300,121676648,84117803,142639710,287051942,194347986,41736640,931000,410000,236000,2836000,1018000,22488000,20169000,22170000,126600000,93700000,122800000,387800000,161700000
53,Total Current Liabilities,76641500,137248650,207541392,688518780,690195880,649410750,667552401,527787511,328816679,1134400460,1355482072,427246050,325994000,269243000,410049000,261037000,245803000,307473000,303618000,313548000,257000000,320700000,458200000,745900000,531500000
54,Long-Term Debt,- -,- -,35595762,- -,58533623,262558800,472672159,367382525,359381856,359132953,- -,- -,65146000,58977000,40428000,- -,143332000,75500000,19161000,16806000,16800000,14700000,- -,37000000,37900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,51836400,53695302,70525208,30559238,274709700,217455092,272439319,95691544,94478581,1923749,- -,194560000,168142000,122525000,87032000,100765000,116084000,147801000,194677000,140500000,163700000,193200000,273100000,377100000
57,Other Non-Current Liabilities,25396000,86590350,73604796,210450583,186713318,1015562700,312844314,314624026,154700887,358275356,331793870,529478950,456093000,433969000,496493000,510299000,532976000,460478000,502533000,554488000,570700000,594000000,720000000,579000000,581100000
58,Total Non-Current Liabilities,25396000,138426750,162895860,280975791,275806178,1552831200,1002971565,954445870,609774287,811886891,333717619,529478950,715799000,661088000,659446000,597331000,777073000,652062000,669495000,765971000,728000000,772400000,913200000,889100000,996100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21161000,19161000,16800000,14700000,11000000,47100000,54800000
61,Total Liabilities,102037500,275675400,370437252,969494571,966002058,2202241950,1670523965,1482233381,938590966,1946287351,1689199691,956725000,1041793000,930331000,1069495000,858368000,1022876000,959535000,973113000,1079519000,985000000,1093100000,1371400000,1635000000,1527600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,656643,498671,764690,- -,499840,500000,500000,500000,500000,500000,500000,500000,500000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,3638407950,2697238046,2974973048,3564975458,- -,- -,- -,- -,- -,- -,- -,4089287000,4088474000,4180919000,4177194000,4177700000,4177700000,5072800000,6157900000,6157900000
64,Retained Earnings,-19954000,-161399700,-205128120,-1070599227,-1291121745,-3540165750,-2547934152,-2431137675,-3121304989,-3590021698,-4616596178,-3061402850,-2970917000,-2782056000,-3089215000,-2797500000,-2887694000,-3012759000,-2787324000,-2978310000,-2875300000,-2910400000,-2837800000,-2117700000,-1337500000
65,Other Comprehensive Income/Loss,-141038500,-1363061700,-293212548,-837173394,-1065700060,-1154821950,-392335332,-275470923,170658343,-311086093,-335725928,207870960,-1168217000,198869000,203349000,-571309000,224942000,172856000,135830000,140172000,- -,- -,453600000,-1995700000,- -
66,Other Total Stockholders Equity,500210500,2082880800,1199396184,2349575165,2796584935,940369950,282223056,245566053,6649,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1995700000,- -
67,Total Stockholders Equity,339218000,558419400,701055516,441802544,439763130,-116209800,39191617,514587146,614834131,736203973,-65661151,1243859650,1481473000,1550631000,1247238000,1497192000,1427035000,1249071000,1529925000,1339556000,1302400000,1267300000,2688600000,4040200000,4820400000
68,Total Liabilities And Stockholders Equity,441255500,834094800,1071492768,1411297114,1405765188,2086032150,1709715583,1996820527,1553425097,2682491324,1623538540,2200584650,2523266000,2480962000,2316733000,2355560000,2449911000,2208606000,2503038000,2419075000,2287400000,2360400000,4060000000,5675200000,6348000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,5701134,5844418,220623923,6187003,61183540,102506000,99330000,-28072000,136729000,221234000,232140000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,441255500,834094800,1071492768,1411297114,1405765188,2086032150,1709715583,2002521660,1559269515,2903115247,1629725543,2261768190,2625772000,2580292000,2288661000,2492289000,2671145000,2440746000,2503038000,2419075000,2287400000,2360400000,4060000000,5675200000,6348000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9070000,-132536250,-45852168,-866804012,-235165210,-546407550,85134731,-342129388,-502500289,-170311578,-936097721,995720330,129124000,207815000,-287915000,308675000,59194000,-45808000,67807000,61929000,13700000,6500000,78500000,635000000,1439900000
74,Depreciation and Amortization,9523500,55959750,88084428,131392678,112469268,156709350,81055390,184933975,120139697,188113858,177936222,69907310,99217000,190769000,130919000,120850000,143766000,159999000,193301000,180167000,179800000,168000000,169100000,270800000,252500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-435579750,312619763,41988328,- -,11963475,-1402293,- -,- -,- -,- -,- -,- -,- -,-3600000,- -,- -,- -,- -,343900000,523700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7873000,4115000,3519000,4133000,4515000,3341000,1753000,29874000,10000000,17200000,21400000,224100000,-28300000
77,Change in Working Capital,29024000,-72453150,-25942674,114361173,50706593,-34248150,-178218564,6007976,-32779274,-45495510,129588813,18962680,44113000,-26438000,-3277000,63472000,-42240000,-39394000,42426000,81979000,-117800000,14600000,73800000,-92000000,-194900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19317000,-15233000,1926000,33700000,-57600000,22200000,- -,- -,- -
79,Inventory,-1814000,-19438650,-1206636,31019977,6876835,7224300,726048,30770166,2938831,-9612231,40652412,-3311440,-16648000,-10070000,-10417000,-3328000,-19510000,-17170000,-984000,986000,-14800000,-28200000,-24800000,-26400000,-44700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3413000,-6991000,41484000,47300000,-45400000,48000000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2673000,5015000,- -,- -,- -,- -,- -,- -,- -,-27400000,-11700000,-10600000,-8100000
82,Other Non-Cash Items,-18593500,65384550,-24132720,621944772,6554735,195366600,-479318866,-44786731,313324649,-1579407,609095608,-902031570,-72095000,-322649000,480767000,124040000,337028000,2553000,-18074000,61994000,-34100000,27500000,-54500000,-252900000,-419500000
83,Cash Provided by Operating Activities,10884000,-83645100,-7843134,894612,-65434615,-664159500,-178727546,-153985840,-101815218,-17309162,-20879372,182558750,208232000,53612000,324013000,621170000,502263000,80691000,283613000,415943000,51600000,233800000,288300000,1128900000,1573400000
84,CAPEX,-172783500,-27096300,-113423784,-132592271,-48113688,-84745800,-100404192,-165185591,-154694238,-292704934,-273651548,-286572330,-345132000,-194018000,-317250000,-333175000,-382424000,-158593000,-90856000,-99780000,-110600000,-125900000,-347400000,-181100000,-395700000
85,Acquisitions Net,- -,- -,- -,-202839607,-2584853,- -,- -,-366916125,-47180878,75618598,-542596,-121718850,-300521000,-40562000,- -,-9584000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-20861000,-1767150,- -,-211806055,-7480773,-20296350,-68173653,-66449812,-7998675,-8168610,-15185639,-26530570,-6049000,-5674000,- -,-63226000,-58292000,-7000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,6479550,- -,167888762,- -,114574500,1467066,386622,- -,- -,- -,19220410,47467000,- -,- -,- -,1839000,- -,46483000,12000,- -,- -,- -,- -,- -
88,Other Investing Activites,13151500,122522400,-24736038,13710599,44779953,20006550,93622755,20846879,-29295230,8390155,4643775,1946150470,10816000,13873000,-17915000,-7296000,9494000,-13178000,6704000,-7424000,13900000,-14500000,44400000,-21400000,-50900000
89,Cash Used for Investing Activites,-180493000,100138500,-138159822,-365638572,-13399360,29538900,-73488025,-577318027,-239169021,-216864791,-284736007,1530549130,-593419000,-226381000,-335165000,-413281000,-429383000,-171778000,-37669000,-107192000,-96700000,-140400000,-303000000,-202500000,-446600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54438000,-2101000,-8332000,-96194000,-30690000,-20000000,-122916000,-24500000,-2400000,-2800000,-195700000,-11400000,-11600000
91,Common Stock Issued,121991500,54781650,94720926,211690840,196102533,529267950,67567366,666860805,421948381,226055370,308046491,30318420,6707000,30881000,- -,15296000,350000,247000,- -,2796000,- -,- -,- -,1085600000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1594311,-6087755,-27160920,- -,- -,- -,- -,- -,- -,-58228000,- -,- -,- -,-6521000,- -,- -,-300000,- -,- -
93,Dividends Paid,-6802500,-2945250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37658000,-18954000,-19244000,-28872000,-103063000,-53085000,-7585000,-252915000,-50600000,-42200000,- -,-564500000,-640900000
94,Other Financing Activites,13151500,-8835750,4223226,146689180,-91919288,169988400,349064374,-116888582,38763320,150172346,-202416458,-870073050,-433000,-2043000,108922000,-555000,139100000,-3794000,- -,- -,- -,- -,188100000,-500000,-1000000
95,Cash Used/Provided by Financing Activities,128340500,43000650,98944152,358380019,104183245,699256350,415037428,543884468,433550782,376227716,105630033,-839754630,-85822000,7783000,81346000,-168553000,5697000,-76632000,-130501000,-281140000,-53000000,-45000000,-7900000,509200000,-653500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,38481300,-8847305,52592805,10046548,-7503972,-50581213,-15620000,-21847000,407000,766000,58000,86000,- -,- -,-190000,- -,- -,- -,- -,-8400000
97,Net Change In Cash,128340500,43000650,-47058804,-6363941,25349270,103117050,153974552,-134826595,102619740,134549791,-250566559,857741060,-492856000,-164579000,70960000,39394000,78663000,-167719000,115443000,27421000,-98100000,48400000,-22600000,1435600000,464900000
98,Cash at the End of Period,- -,- -,71794842,87556714,113556355,246868200,332507488,137790693,232041357,392436296,136381832,845315350,352731000,188152000,259112000,298506000,377169000,208932000,324375000,351796000,253700000,302100000,279500000,1715100000,2180000000
99,Cash at the Beginning of Period,47617500,5890500,118853646,93920655,88207085,143751150,178532936,272617288,129421617,257886504,386948390,-12425710,845587000,352731000,188152000,259112000,298506000,376651000,208932000,324375000,351800000,253700000,302100000,279500000,1715100000
100,Free Cash Flow,-161899500,-110741400,-121266918,-131697660,-113548303,-748905300,-279131739,-319171432,-256509456,-310014097,-294530920,-104013580,-136900000,-140406000,6763000,287995000,119839000,-77902000,192757000,316163000,-59000000,107900000,-59100000,947800000,1177700000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.2205,0.1675,0.1663,0.1475,0.1242,0.0973,0.1335,0.1626,0.15,0.1395,0.1421,0.1277,0.1293,0.1303,0.14706,0.1224,0.1007,0.09397,0.08214,0.06789,0.07655,0.07282,0.07098,0.0577,0.07002
